,author,date,section,word_count,abstract,headline,source
0,"Kass, John","Aug 26, 2011",News,948,"Readers unnerved by flying bat men on the moon -- and other column topics -- should get their hands on some legalized Kasshish. Dear Leon -- I assume you saw the illustration accompanying Thursday's column, about the New York Sun's 1835 series ""proving"" life on the moon, with the copper-haired bat men (and women) flying absolutely naked over the lunar landscape. The politicians, whose kids never seem to come home in body bags, can call it what they want, ""kinetic military action"" or whatever, but when we're bombing people, it's a war, and getting involved in yet another war is insane.","Mailbag has room for Libya, wabbit and Kasshish",Chicago Tribune
1,Anonymous,"Mar 6, 2011",News,316,"Before his suicide, the hard-hitting safety on the 1985 Bears Super Bowl team was in deep financial trouble, divorced from his wife, living apart from his teen daughter and struggling with memory loss.",That NU saw created quite a buzz,Chicago Tribune
2,"Kass, John","Jun 26, 2011",News,931,"[...] his enemies moved to take advantage. ""First time I saw the 10th Mountain Division, you guys were in southern Iraq,"" Obama said at Ft.",Politicians' verbal gaffes are just empty calories,Chicago Tribune
3,,"Oct 3, 2011",News,774,President Barack Obama's health care reform law will provide businesses and workers more options in addressing health insurance costs and can make the job market friendlier for older workers.,Voice of the people,Chicago Tribune
4,CNN,"Jun 10, 2011",News,436,The United States and Yemen are taking on Islamic militants on land and from the air amid fears that al-Qaida is exploiting the political chaos and leadership vacuum engulfing the unstable and impoverished Arabian Peninsula nation.,U.S. resumes airstrikes in Yemen as fears mount,Chicago Tribune
5,Anonymous,"Apr 29, 2011",News,223,"A day after a historic rash of tornadoes tore through several states, leaving death and destruction behind, search and rescue teams combed through the rubble as survivors grappled with grief and the struggle for food, water and shelter.","GRIEF, SHOCK IN STORMS' WAKE",Chicago Tribune
6,"Horowitz, Rick","Oct 13, 2011",News,710,"[...] they'd realize -- after lots of humorous fits and starts, of course -- that they'd been talking absolutely past each other! That while Player No. 1 was all hopped up about Occupy Wall Street, Player No. 2 was every bit as ticked at the tea party protesters. The tea party folks are patriotic Americans exercising their right to free speech!",MOB RULE?,Chicago Tribune
7,Anonymous,"Jan 10, 2011",News,747,[...] that highly symbolic moment on Thursday when the 112th House of Representatives opened with a reading of the Constitution.,A promising first step by conservatives,Chicago Tribune
8,"Podmolik, Mary Ellen","Apr 24, 2011",Business,1084,"A year of home price changes in some 200 local ZIP codes, provided to the Tribune by housing industry data provider CoreLogic, shows inklings of real appreciation taking hold in some communities in the three months ended in February. With home affordability strong and 30-year, fixed-rate mortgage interest rates at 4.8 percent last week, it remains a buyer's market, but a lot of consumers still have a bunker mentality, said John Carlson, branch manager of Coldwell Banker's Downers Grove office.","With homes, value not added",Chicago Tribune
9,Matthew Hay Brown,"Nov 4, 2011",News,777,"The center, which developed the introductory course and is working on an advanced class to be taught to all third-year midshipmen, also has established internships at the National Security Agency and the National Defense University, incorporated cybersecurity into the academy's professional development program and is considering developing a major in the field.",Keeping fifth domain of warfare safe,Chicago Tribune
10,Scott Stantis,"Feb 25, 2011",,,A Scott Stantis editorial cartoon depicts President Barack Obama studying the globe as pieces of it is falling off.,Editorial cartoon,Chicago Tribune
11,Anonymous,"Jan 20, 2011",News,194,"In 2009 Barack Obama was formally sworn in as president of the United States, becoming the first African-American to be elected commander-in-chief (this sentence as published has been corrected in this text).",ALMANAC,Chicago Tribune
12,"Coen, Jeff; Huppke, Rex W","Feb 24, 2011",News,1233,"Amy Merritt Rule, Chicago's first lady in waiting, joined her husband on the stage, the first time she had been with him at a campaign event since he announced his candidacy last fall. In more than two decades together, as Emanuel's reputation for political bravado grew, Rule remained the steady hand behind him, caring for their three children and eschewing the spotlight.",Emanuel's wife prefers life outside the spotlight,Chicago Tribune
13,"Kass, John","May 5, 2011",News,2767,"Chicago's queen mother had called to ask me to stop writing columns suggesting that the Chicago Cultural Center be named after her. Black-tie banter Even before I became the Tribune's City Hall writer, I'd see Daley at some evening function -- we covered the mayor of Chicago 24/7 -- and he'd walk over, making fun of himself, tugging at his tuxedo collar, making faces, saying all he wanted was a beer.","The guy I once believed in: Like Meigs, he's long gone",Chicago Tribune
14,"Savage, David G","Oct 31, 2011",News,939,"College students face new hurdles if they want to vote away from home. [...] those who register new voters face the threat of fines for procedural errors, prompting the nonpartisan League of Women Voters to suspend voter registration drives and accuse the Legislature of ""reverting to Jim Crow-like tactics."" ""There has never been in my lifetime, since we got rid of the poll tax and the Jim Crow burdens on voting, the determined effort to limit the franchise that we see today,"" former President Bill Clinton told a group of college students in July.",Vote laws become partisan battlefield,Chicago Tribune
15,"Willman, David","Nov 24, 2011",News,364,"The article reported that after Siga's chief executive complained about the government's ""approach to profit"" in discussing the price to be paid for ST-246, a presidential appointee, Dr. Nicole Lurie, assured him that her department's most senior procurement official would take over the negotiations.",Senator seeks inquiry into smallpox drug contract,Chicago Tribune
16,"West, Paul","Feb 15, 2011",News,1052,"[...] Way, a centrist Democratic organization, issued a statement praising Obama ""for taking on dozens of sacred cows cherished by members of his own party.""",Obama targets the center,Chicago Tribune
17,"Secter, Bob; Coen, Jeff","Jun 28, 2011",News,1530,"The new jury had no such reservations, finding Blagojevich guilty on 11 criminal counts related to the Senate seat and six counts involving fundraising shakedowns of a hospital executive and racetrack owner. Coupled with the lone guilty count from last summer's trial, Blagojevich has now been convicted of 18 counts of wire fraud, bribery, attempted extortion, conspiracy and lying to the FBI.",GUILTY,Chicago Tribune
18,Anonymous,"Feb 22, 2011",News,605,"Libyan leader Moammar Gadhafi, is so imperiled that, on Monday, his son warned that mass protests risk civil war and, with it, ""rivers of blood.""",Siding with democracy,Chicago Tribune
