,author,date,section,word_count,abstract,headline,source
0,"Primack, Phil","Jan 9, 2011",Magazine,680,"""The irony is that most of us social studies teachers feel that standardized testing is not all that beneficial,"" says Janna Bremer, the executive secretary of the Massachusetts Council for the Social Studies and a 39-year veteran of the King Philip regional school system.",A test of our Constitution,Boston Globe
1,"Andersen, Travis","Jan 28, 2011",Metro,676,"According to a Boston police report, an informant told police earlier this month that drugs were being sold out of an apartment on Cardington Street in Roxbury.",Drumgold arrested in Roxbury drug raid,Boston Globe
2,"Weiss, Joanna","Jan 18, 2011",Living Arts,230,CLOUDY WITH A CHANCE OF MEATBALLS (Starz on Comcast) This 3-D animated romp is more than an extrapolation of the 1978 children's book about a town where food falls from the sky.,ON DEMAND PICKS,Boston Globe
3,"Popeo, R Robert","Jan 4, 2011",Letters,357,"[...] the engagement is on behalf of the General Court (which comprises the House and Senate), and not - as some readers might wrongly have concluded from your editorial - on behalf of individual legislators.",Firm deserves praise for pro bono work with Legislature,Boston Globe
4,Anonymous,"Jan 11, 2011",Editorial,241,[...] crazed dashes by terrified would-be dads and screaming would-be moms are celebrated in family lore and played for laughs in movie comedies.,Speeding ticket: Endangerment on board,Boston Globe
5,"Bierman, Noah","Jan 10, 2011",Metro,637,"Organizers, who include Boston Foundation president Paul Grogan and Gloria C. Larson, the president of Bentley University, are hopeful they can build momentum toward reforming what they call ""third rail issues,"" by gathering union presidents, business executives, think-tank members, and political leaders.",Gathering of captains to ponder civic woes,Boston Globe
6,Anonymous,"Jan 31, 2011",Living Arts,319,"LDI Casting, which is based in the Ocean State, has been posting audition notices for Anderson's ""Moon Rise Kingdom,"" which will star Tilda Swinton, Bruce Willis, Frances McDormand, Edward Norton, and Anderson favorite Bill Murray.",Ocean State in limelight,Boston Globe
7,Rebecca Dorr Sampson,"Jan 30, 2011",Magazine,244,"Always keep your gas tank at least half-full (that way, you can keep the car - and the heat - running in an emergency), and make sure you have warm clothing, a blanket, a couple of flares, sand, and a fully charged cellphone.",How to get unstuck from a snowbank,Boston Globe
8,"Lewis, Kevin","Jan 23, 2011",Ideas,701,"College students who were randomly assigned to have power over another student of the opposite sex tended to have more sexual thoughts, even after being distracted on another task, and expected more sexual interest from the subordinate, regardless of the subordinate's actual interest. Power, Mating Motives, and Biases in Social Judgment, Journal of Personality and Social Psychology (forthcoming).",Surprising insights from the social sciences,Boston Globe
9,Anonymous,"Jan 6, 2011",North,148,"First Parish in Malden, Universalist. 781-322-0474, www.MaldenUUA.org. Master Chefs of The Chicken Slacks dish out classic funk, soul, and R&B. Dance to the beat on Friday, 9:45 p.m. Johnny D's Restaurant & Music Club, 17 Holland St. 617-776-2004, www.chickenslacks.com.",Globe North best bets,Boston Globe
10,"Burr, Ty","Jan 22, 2011",Living Arts,252,"Words you didn't hear Sunday night: ""And the Golden Globe for best performance by a corrupt, irrelevant film industry body goes to . . . the Golden Globes!"" That's how disgruntled ex-GG publicist Michael Russell tells it in the lawsuit he slapped his former bosses with, accusing the Hollywood Foreign Press Association and its president Philip Berk of taking kickbacks, selling media favors, ""despicable conduct,"" and generally behaving like a five-dollar hooker when it comes to studios who need nominations for their less than wonderful year-end movies.",A tarnishing of the Golden Globes?,Boston Globe
