,author,date,section,word_count,abstract,headline,source
0,Anonymous,"Jan 2, 2011",South,3158,Joan Wilder BRIDGEWATER CRACKDOWN ON TAX DEBTORS - Auto dealers and lodging house operators who owe back taxes to the town won't be able to obtain licenses for the new year until they clear the debt or work out some arrangement with the treasurer-collector.,AVON: Bridging the culture gap,Boston Globe
1,Anonymous,"Jan 2, 2011",North,3021,"The board will also resume hearings on a special permit application by Dave & Buster's to build one of its restaurant/entertainment facilities at the former Burlington Dodge site at 90 Middlesex Turnpike, a request by Northbridge Cos. for a special permit and site plan approval to build a 110-unit assisted-living facility on Network Drive in Northwest Park, and a request by Nordblom Co., the park's owner, for preliminary approval for its plans to develop a commercial building on each of two adjoining parcels.",Burlington: Planning board busy,Boston Globe
2,Anonymous,"Jan 2, 2011",North,2977,"According to association president Jeff Krieger, the teachers will get no pay raise this school year, but will receive a 2 percent raise for the 2011-12 school year, and a 3 percent raise for 2012-2013, the last year of the contract.",Andover: Voting deadline looms,Boston Globe
3,"Swidey, Neil","Jan 2, 2011",Magazine,3077,"In the special election to fill the seat of Massachusetts's most famous senator, his main obstacle was a credentialed Democrat who had earned a reputation for competence as the state's attorney general. Brown, finishing Kennedy's term, moved right into the late senator's highly coveted suite in the Russell Senate Office Building, with its marble fireplace and a third-floor balcony offering views of the Capitol so sweeping that it is a sought-after backdrop by TV camera crews.",The Life of the party: Scott Brown,Boston Globe
4,"Buote, Brenda J","Jan 6, 2011",North,971,"According to Bohne, enrollment in the town's public schools has ballooned 25 percent over the past decade and is projected to swell an additional 10 percent in the coming five years. According to Assistant Town Manager Mark Twogood, town revenues are projected to grow by about $2 million in the upcoming fiscal year; however, municipal health care costs alone are expected to swell by as much as $1.2 million.",Vote on override set for Jan. 11,Boston Globe
5,"Buote, Brenda J","Jan 6, 2011",North,960,"According to Bohne, enrollment in the town's public schools has ballooned 25 percent over the past decade and is projected to swell an additional 10 percent in the coming five years. According to Assistant Town Manager Mark Twogood, town revenues are projected to grow by about $2 million in the upcoming fiscal year; however, municipal health care costs alone are expected to swell by as much as $1.2 million.",Vote on override set for Jan. 11,Boston Globe
6,Anonymous,"Jan 7, 2011",Opinion,735,"If Congress actually slashed highway spending, liquidated Fannie Mae and Freddie Mac, scaled back the Federal Reserve, and held firm on the country's debt ceiling - to name just four items high on the Tea Party's wish list - the economic ramifications would be catastrophic.","A lot of bark, but little bite",Boston Globe
7,"Mooney, Brian C","Jan 7, 2011",Metro,723,"Ex-governor `quite well' despite years of symptoms; asks for privacy [...] yesterday, it was known only to a small circle of friends and family that A. Paul Cellucci, former Massachusetts governor and US ambassador to Canada, had been diagnosed with Lou Gehrig's disease.",Cellucci says he is living with ALS,Boston Globe
8,Anonymous,"Jan 9, 2011",North,2737,"According to Town Manager Wayne P. Marquis, Tipert, a local businessman, served for 20 years on the Finance Committee, during part of which he chaired the panel.",Andover: School travel review,Boston Globe
9,Anonymous,"Jan 9, 2011",West,2867,"Matt Gunderson BOLTON BUDGET WORRIES - The Nashoba Regional School District will receive no federal stimulus funds in the next fiscal year, which starts in July, meaning the schools will have at least $420,000 less to spend, Superintendent Michael Wood reported.",Land Grab,Boston Globe
10,Anonymous,"Jan 9, 2011",North,1832,"On Wednesday, the City Council and Planning Board will hold a joint public hearing on a proposed ordinance change to change the city's so-called ""residential overlay district"" to include the area between Commercial, Exchange, and Main streets and Route 60.",North Andover: Back to business,Boston Globe
11,Anonymous,"Jan 9, 2011",National,476,"Senators Dick Durbin of Illinois, Lamar Alexander of Tennessee, and Mike Lee of Utah; Representative Austin Scott of Georgia; Ed Gillespie, White House counselor in George W. Bush's administration; John Podesta, Clinton White House chief of staff; Greg Ip, US economics editor at The Economist. 9 a.m. and noon. The Obama administration in 2011; the new GOP congressmen; the agendas of both parties; the latest unemployment numbers and the prospects for economic recovery in the new year.",Late TV listings,Boston Globe
