,author,date,section,word_count,abstract,headline,source
0,"Hennessey, Kathleen","Nov 6, 2012",Main News; Part A; National Desk,840,"The campaign deployed hundreds of volunteers to Wisconsin, in hopes of sending a message with a win in the home state of Rep. Paul D. Ryan, architect of the House Republican budget and the GOP nominee for Biden's job. Axelrod interrupted his impromptu news conference to relish a moment -- the sound of an acoustic guitar, a harmonica and the Boss singing ""meet me in the land of hope and dreams.",ELECTION 2012; One last day of 'four more years'; In the shadow of the Wisconsin Capitol -- and the 2008 campaign -- Obama's team wraps it up.,LA Times
1,"Landsberg, Mitchell","Feb 22, 2012",Main News; Part A; National Desk,987,"(He says he has no desire to ban it.) He has attacked President Obama over requiring faith-based institutions to provide insurance coverage for contraception to their workers, calling it a serious challenge to religious liberty, even in its amended form.",THE NATION; Is he too much for the middle?; Santorum's views are far to the right of many Americans. He'll need the swing vote to win.,LA Times
2,"Mehta, Seema; Reston, Maeve","Mar 21, 2011",LATExtra; Part AA; Metro Desk,681,"Ultimately, a third proposal emerged that called for allowing all 5.3 million registered GOP voters to cast mail ballots to pick a nominee before the primary, starting in 2014, and it gained steam after receiving the blessing of U.S. Rep. Tom McClintock (R-Granite Bay), an influential figure among party activists.",GOP votes to sidestep new 'top-two primary'; State party decides to conduct a mail-in nominating process before the election.,LA Times
3,"West, Paul","Jun 2, 2011",Main News; Part A; National Desk,938,"Mitt Romney formally kicks off his presidential candidacy Thursday as the nominal Republican front-runner, hoping that persistent questions about his beliefs and his record are swamped by overwhelming anxiety about the economy. While it ""clearly can be"" used by and against him in the general election, it is ""almost a nonissue in the primaries,"" where one of the ideas that unites Republicans is slashing the federal government -- which means layoffs.","THE NATION; Economy could be key for Romney; His success may not depend so much on his style, his past stances or his faith.",LA Times
4,"Hsu, Tiffany","Oct 18, 2012",Business; Part B; Business Desk,767,"Other female chief executives at Fortune 500 companies are Hewlett-Packard Co.'s Meg Whitman, Pepsico Inc.'s Indra Nooyi, Avon Products Inc.'s Sheri McCoy and Xerox Corp.'s Ursula Burns.",ELECTION 2012; Gender issue in debate goes viral; Romney's comment about 'binders full of women' raises an ongoing fairness issue.,LA Times
5,"Simon, Richard; Boxall, Bettina","Mar 1, 2012",LATExtra; Part AA; Metro Desk,810,"""If the two senators think they can sit back and do nothing, they've got another thing coming,"" he said. Because there's going to be absolute hell to pay.",CALIFORNIA; House OKs major change to water laws; GOP says regulations are killing jobs. The bill's prospects in the Senate are dim.,LA Times
6,"Barabak, Mark Z","Oct 16, 2012",Main News; Part A; National Desk,1088,"[...]the typical voter, especially an undecided one, may be less attuned to the bullet-point intricacy of policy proposals than the candidates' body language and demeanor, as well as the nonverbal cues sent as they share a stage for one of the few times in the lengthy campaign.",CAMPAIGN 2012; Style is likely to trump facts in debate; Nonverbal cues are expected to prove most persuasive in the second Obama-Romney matchup.,LA Times
7,"West, Paul","Apr 9, 2012",Main News; Part A; National Desk,1095,"Romney's nonstop attack ads have erased Santorum's initial advantage in some previous primaries, particularly in the larger, more diverse states that closely resemble Pennsylvania, with plenty of moderate suburban voters and fewer evangelical Christians. Bob Hillen, a Pittsburgh chairman of Santorum's 2000 Senate reelection campaign, said that Santorum ""lost his way a little bit"" during his final years in Congress, when he seemed more interested in his status as the No. 3 Republican in the Senate leadership than in representing Pennsylvania.",CAMPAIGN 2012; It's do or die in GOP primary; Santorum hopes Pennsylvania voters recall what they like about him and not why they voted him out.,LA Times
8,"Gold, Matea; Tanfani, Joseph","May 28, 2012",Main News; Part A; National Desk,1323,"With such spending set to reach unprecedented levels in the 2012 election, the activities of the Center to Protect Patient Rights -- whose existence was first reported this month by the Center for Responsive Politics -- provide a glimpse into the network of deep-pocketed conservative advocacy groups that have already begun an air war against President Obama. Because these nonprofit groups are under no obligation to reveal their donors, the sources of their funding have remained a mystery.","CAMPAIGN 2012; Silent money speaks volumes; More than $55 million for the conservative agenda, but where did it all come from?",LA Times
9,"Continetti, Matthew","Aug 31, 2011",Main News; Part A; Editorial Desk,788,"[...] their policies -- cutting the corporate, income, dividend, capital gains and estate tax rates, imposing a moratorium on regulations, reducing frivolous lawsuits -- favor investment capital over human capital. Massively increasing the child tax credit, and applying that credit to both income taxes and payroll taxes, would ease the burden of rearing children and align the Republican Party with middle-class parents.","No American left behind; In the 2012 presdidential race, the Republicans should favor human capital over investment capital.",LA Times
