,abstract,author,blog,headline,id,keywords,lead_paragraph,news_desk,pub_date,seo_headline,snippet,source,url,word_count
0,"Former Pres Bill Clinton continues his campaign tour for Pres Obama, making last-minute pit stops at crucial battleground states in final days before election; Clinton's tireless efforts in 2012 election, regardless of who wins, has solidified--or restored--his status as the hardest-working and most resilient man in politics.",MARK LEIBOVICH,[],"Voice Is Strained, but Support on the Trail Unstinting",50971f0995e998af7118b44d,"[{u'value': u'Obama, Barack', u'is_major': u'N', u'rank': u'3', u'name': u'persons'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'1', u'name': u'subject'}, {u'value': u'Clinton, Bill', u'is_major': u'Y', u'rank': u'2', u'name': u'persons'}, {u'value': u'Democratic Party', u'is_major': u'N', u'rank': u'4', u'name': u'organizations'}]","Whoever wins, the campaign has solidified (or restored) Bill Clinton’s status as the hardest-working man in a game he loves and plays like no one else.",National,2012-11-05T00:00:00Z,Bill Clinton Presses On in Campaign for Barack Obama,"Whoever wins, the campaign has solidified (or restored) Bill Clinton’s status as the hardest-working man in a game he loves and plays like no one else.",The New York Times,http://www.nytimes.com/2012/11/05/us/politics/bill-clinton-presses-on-in-campaign-for-barack-obama.html,1186
1,"""Pres Obama and Mitt Romney hunt for last-minute support in a frenetic sprint across battleground states, even as their parties face off in the first of what could be a growing number of legal disputes over presidential ballots and how they are counted;"" pre-election legal skirmishes are a potential preview of the clashes that could emerge in as many as a half-dozen swing states over voting on Nov 6.",MARK LANDLER and MICHAEL D. SHEAR,[],"As Candidates Make Final Pleas, Legal Battles Begin",5096ad5095e998af7118b35a,"[{u'value': u'Elections', u'is_major': u'Y', u'rank': u'5', u'name': u'subject'}, {u'value': u'States (US)', u'is_major': u'Y', u'rank': u'7', u'name': u'subject'}, {u'value': u'Romney, Mitt', u'is_major': u'N', u'rank': u'3', u'name': u'persons'}, {u'value': u'Senate', u'is_major': u'N', u'rank': u'6', u'name': u'organizations'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'1', u'name': u'subject'}, {u'value': u'Obama, Barack', u'is_major': u'N', u'rank': u'2', u'name': u'persons'}, {u'value': u'United States', u'is_major': u'Y', u'rank': u'4', u'name': u'glocations'}]",President Obama and Mitt Romney hunted for support in battleground states even as their parties faced off in the first court skirmishes over presidential ballots and how they are counted.,National,2012-11-05T00:00:00Z,Obama and Romney Campaigns Begin Skirmish Over Balloting,President Obama and Mitt Romney hunted for support in battleground states even as their parties faced off in the first court skirmishes over presidential ballots and how they are counted.,The New York Times,http://www.nytimes.com/2012/11/05/us/politics/candidates-make-final-dash-as-race-winds-down.html,1289
2,,ASHLEY PARKER and MICHAEL BARBARO,[],"Romney, a Challenger at the Crossroads",5097450d95e998af7118b49e,"[{u'rank': u'3', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'2', u'name': u'persons', u'value': u'Romney, Mitt'}]","Mitt Romney has arrived at a strange and unfamiliar moment. The political prize that eluded him four years ago, and his father, George, decades before that, is suddenly within agonizingly close reach.",U.S. / Politics,2012-11-05T00:00:00Z,"Romney, a Challenger at the Crossroads","Mitt Romney has arrived at a strange and unfamiliar moment. The political prize that eluded him four years ago, and his father, George, decades before that, is suddenly within agonizingly close reach.",The New York Times,http://www.nytimes.com/2012/11/05/us/politics/romney-a-challenger-at-the-crossroads.html,1534
3,,PETER BAKER,[],"A President’s Last Race, Win or Lose",5097450d95e998af7118b49f,"[{u'rank': u'5', u'name': u'persons', u'value': u'Plouffe, David'}, {u'rank': u'3', u'name': u'subject', u'value': u'United States Politics and Government'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'organizations', u'value': u'Democratic Party'}, {u'rank': u'2', u'name': u'persons', u'value': u'Obama, Barack'}]",President Obama’s checklist of “lasts” grew longer as he raced through a bone-weary last weekend before Tuesday’s election.,U.S. / Politics,2012-11-05T00:00:00Z,"Obama Takes Frenetic, Final Campaign Days in Stride",President Obama’s checklist of “lasts” grew longer as he raced through a bone-weary last weekend before Tuesday’s election.,The New York Times,http://www.nytimes.com/2012/11/05/us/politics/obama-takes-frenetic-final-campaign-days-in-stride.html,1584
4,,BRIAN STELTER,[],Facing an Election Night Clamor,5097172095e998af7118b437,"[{u'rank': u'3', u'name': u'subject', u'value': u'Social Networking (Internet)'}, {u'rank': u'2', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'1', u'name': u'subject', u'value': u'News and News Media'}]","After several missteps this year, news organizations have fine-tuned their safeguards and tried to prepare for a huge influx of social media reaction.",Business Day / Media & Advertising,2012-11-05T00:00:00Z,A Media Vow of Election Night Restraint Despite Social Media Clamor,"After several missteps this year, news organizations have fine-tuned their safeguards and tried to prepare for a huge influx of social media reaction.",The New York Times,http://www.nytimes.com/2012/11/05/business/media/a-media-vow-of-election-night-restraint-despite-social-media-clamor.html,1061
5,,NEIL GENZLINGER,[],Here’s the Reality: The Cabinet Needs a Jolt,5096f91795e998af7118b3e6,"[{u'rank': u'5', u'name': u'persons', u'value': u'Taffer, Jon'}, {u'rank': u'6', u'name': u'persons', u'value': u'Helm, Tommy'}, {u'rank': u'3', u'name': u'persons', u'value': u'Ramsay, Gordon'}, {u'rank': u'2', u'name': u'subject', u'value': u'Reality Television'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'7', u'name': u'subject', u'value': u'Television'}, {u'rank': u'4', u'name': u'persons', u'value': u'Degel, Willie'}]",Reality TV stars who promote themselves as problem solvers would make interesting fits in the next president’s cabinet.,Arts / Television,2012-11-05T00:00:00Z,Reality TV and the Presidential Cabinet,Reality TV stars who promote themselves as problem solvers would make interesting fits in the next president’s cabinet.,The New York Times,http://www.nytimes.com/2012/11/05/arts/television/reality-tv-and-the-presidential-cabinet.html,1157
6,,STEVEN GREENHOUSE,[],Unions Recruit New Allies for Obama in Battleground States,5096a4d895e998af7118b34d,"[{u'rank': u'3', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'2', u'name': u'subject', u'value': u'Organized Labor'}, {u'rank': u'1', u'name': u'subject', u'value': u'Labor and Jobs'}, {u'rank': u'4', u'name': u'subject', u'value': u'Citizens United v Federal Election Commission (Supreme Court Decision)'}]","After labor’s political clout fell short in the 2010 elections, unions are hoping two new strategies will beef up their efforts.",U.S. / Politics,2012-11-05T00:00:00Z,Unions Recruit Allies on Obama&#8217;s Behalf,"After labor’s political clout fell short in the 2010 elections, unions are hoping two new strategies will beef up their efforts.",The New York Times,http://www.nytimes.com/2012/11/05/us/politics/unions-recruit-allies-on-obamas-behalf.html,917
7,,MICHAEL WINES,[],Ohio Canvassers Pitch the Opposition in Calls,509737a395e998af7118b48a,"[{u'rank': u'5', u'name': u'persons', u'value': u'Davis, Greg'}, {u'rank': u'6', u'name': u'glocations', u'value': u'Cincinnati (Ohio)'}, {u'rank': u'3', u'name': u'persons', u'value': u'Obama, Barack'}, {u'rank': u'2', u'name': u'persons', u'value': u'Romney, Mitt'}, {u'rank': u'1', u'name': u'subject', u'value': u'Presidential Election of 2012'}, {u'rank': u'4', u'name': u'glocations', u'value': u'Ohio'}]","Just outside Cincinnati, Greg Davis was dialing numbers from a list of ostensibly pro-Republican households when, unexpectedly, he found an Obama supporter at the other end of the line.",U.S. / Politics,2012-11-05T00:00:00Z,Ohio Canvassers Pitch the Opposition in Calls,"Just outside Cincinnati, Greg Davis was dialing numbers from a list of ostensibly pro-Republican households when, unexpectedly, he found an Obama supporter at the other end of the line.",The New York Times,http://www.nytimes.com/2012/11/05/us/politics/ohio-canvassers-pitch-the-opposition-in-calls.html,226
8,"Robert J Shiller Economic View column observes that while Americans admire financial success, they have not elected many businessmen as presidents; holds that voters usually recognize that other factors, like wise policies and strong leadership ability, are much more important than business acumen.",ROBERT J. SHILLER,[],Businessmen as Presidents: A Historical Circle,5095ac7795e998af7118b207,"[{u'value': u'High Net Worth Individuals', u'is_major': u'Y', u'rank': u'5', u'name': u'subject'}, {u'value': u'Presidents and Presidency (US)', u'is_major': u'Y', u'rank': u'1', u'name': u'subject'}, {u'value': u'United States Economy', u'is_major': u'N', u'rank': u'3', u'name': u'subject'}, {u'value': u'Romney, Mitt', u'is_major': u'N', u'rank': u'2', u'name': u'persons'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'4', u'name': u'subject'}]","Americans admire financial success, but they don’t always reward it at the ballot box.",SundayBusiness,2012-11-04T00:00:00Z,Businessmen as U.S. Presidents: A Historical Circle,"Americans admire financial success, but they don’t always reward it at the ballot box.",The New York Times,http://www.nytimes.com/2012/11/04/business/businessmen-as-us-presidents-a-historical-circle.html,975
9,"Influential conservative pundit Glenn Beck, perhaps best-known Mormon after Mitt Romney and major influence on evangelical Christians, emerges as unlikely theological bridge between Romney and a critical electorate.",AMY CHOZICK,[],Beck Acts as a Bridge Between Romney and Evangelical Christians,5095726595e998af7118b1a2,"[{u'value': u'Evangelical Movement', u'is_major': u'Y', u'rank': u'5', u'name': u'subject'}, {u'value': u'Presidential Election of 2012', u'is_major': u'Y', u'rank': u'1', u'name': u'subject'}, {u'value': u'Romney, Mitt', u'is_major': u'N', u'rank': u'3', u'name': u'persons'}, {u'value': u'Beck, Glenn', u'is_major': u'Y', u'rank': u'2', u'name': u'persons'}, {u'value': u'Mormons (Church of Jesus Christ of Latter-Day Saints)', u'is_major': u'Y', u'rank': u'4', u'name': u'subject'}]",The influential conservative pundit Glenn Beck has emerged as an unlikely theological bridge between the first Mormon presidential nominee and a critical electorate.,National,2012-11-04T00:00:00Z,,The influential conservative pundit Glenn Beck has emerged as an unlikely theological bridge between the first Mormon presidential nominee and a critical electorate.,The New York Times,http://www.nytimes.com/2012/11/04/us/politics/beck-acts-as-a-bridge-between-romney-and-evangelical-christians.html,1376
