,headline,metadata,pubdate,source,summary,url
0,Menu suggestions for Obama and Romney's lunch,"[{u'isPermalink': u'true', u'value': u'http://storify.com/USATODAY/what-s-for-lunch-at-the-white-house'}]",2012-11-28 01:40:30,USA Today,Twitter users serve up some suggestions for President Obama and Mitt Romney's lunch tomorrow.,http://storify.com/USATODAY/what-s-for-lunch-at-the-white-house
1,Horrific N.C. crash puts spotlight on dram shop laws,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/2012/11/24/dram-shop-laws/1660707/?kjnd=i4DzRb4rYmwY4roPnD2tgZ6ZwGsQqSkjSmTn%2FE9ZBm7xo5yHPHNUWHnuIbtJ9g45-d0e11386-1e32-4b2c-aeef-da301225b0ed_ukffOdbW5M9%2FJtswT07NyYmGbqsEGwwNh3d5zxja%2BZ0buX8dLdPYz3f97QwTaNzI'}]",2012-11-24 10:52:40,USA Today,"$1.7 million verdict in North Carolina drunken driving crash puts spotlight on ""dram shop"" laws, which vary across USA.",http://apidata.usatoday.com/story/news/2012/11/24/dram-shop-laws/1660707/?kjnd=n2%2Fs1eNs4J2stTtAnVeFjZ%2BGCQPacoV7U3xRNbT3HFPDmxUzXuIfclBJ7ruVSGln-d0e11386-1e32-4b2c-aeef-da301225b0ed_sPCKIzVDQ%2Fpraxaa6%2B%2B%2BumrD%2FrZq%2BAXF6K7wla%2BzlE%2BpnM9ykYTKKieHnE7DTDoL
2,Self-funding candidates fall short in Congress,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/politics/2012/11/20/self-funders-mcmahon-senate/1714225/?kjnd=FV13WbwHbOYi%2FgWDUk5IEUvh91uYz5uSLTYjBlEERCFmaQeYEu11fo14SS33ft6p-d0e11386-1e32-4b2c-aeef-da301225b0ed_HoWGDdSVgbBgPm1k0QFNNlcmDV5%2BkSme7JuVTl737oukfcxIeXBp6EO%2F%2BDDalYnH'}]",2012-11-20 05:58:23,USA Today,Self-funding candidates prove again and again that money is not enough to win an election.,http://apidata.usatoday.com/story/news/politics/2012/11/20/self-funders-mcmahon-senate/1714225/?kjnd=LU3c9Td%2FftzBd3DZVHDUzz65M7jAWxCsUCWHRmP5Bguumc5Qf49K1vhwlZoTEB1F-d0e11386-1e32-4b2c-aeef-da301225b0ed_3evIDsxDhr9u7z68j%2F5PK5YfpB5aoQgyNC4To9MQOmMx0vbGFxsHqjQF3SlPjT%2Ft
3,Iowa governor: Straw poll 'outlived usefulness',"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/21/branstad-iowa-straw-poll/1719037/?kjnd=w04wmCHiuiqqO6rNeTNcnsyxTQMlD4193JCHmZbsbeLPGIEi9UOfGoWHpqxExcmx-d0e11386-1e32-4b2c-aeef-da301225b0ed_V7gHuNoa7sxNq0WMPVROf26dfvGWiTfaNawqU%2BOyFDhpe3fshQh%2BKyJrzhpr7IEm'}]",2012-11-21 10:10:05,USA Today,The Iowa Straw Poll is a GOP presidential ritual and fundraiser that goes back to 1979.,http://apidata.usatoday.com/story/onpolitics/2012/11/21/branstad-iowa-straw-poll/1719037/?kjnd=cSUy8GDiwMfB3A2XMdDrY4olrpDt9yGzve2rb6nqEkINBS%2BCxyDo8sacPZd6hlM0-d0e11386-1e32-4b2c-aeef-da301225b0ed_4VwhfQRodkqMW1u%2FDq96gFmLYt5f9DL92AuPvfRRdbpn19NZwsV0yBkJZs8Oq5u4
4,"Split-ticket voting popular in Montana, N.D.","[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/21/split-ticket-election-tester-heitkamp/1719377/?kjnd=%2FhaKfaNlS7EEaPA7pRQtDmBrZE2fE3ViICaDHIU45rV6Z5qB86i5vVPMzewKGG%2BT-d0e11386-1e32-4b2c-aeef-da301225b0ed_7EDN3V5xvN9sVGkixg3FBsGipG4eIvwl8K3gp%2FiNYGJobCamv%2Bpz9BMrqSythub6'}]",2012-11-21 11:40:25,USA Today,"Montana and North Dakota voters backed Mitt Romney for president, but a Democrat for the U.S. Senate.",http://apidata.usatoday.com/story/onpolitics/2012/11/21/split-ticket-election-tester-heitkamp/1719377/?kjnd=MsWzLMWdoEf4O%2FpGN5JU%2BwzkknUfECDL%2F9Hj%2B%2FtaNWX7u15uSkr7ZVEB05l48kSx-d0e11386-1e32-4b2c-aeef-da301225b0ed_RdW9Seh8ewoeCk09nPjSeiDO6ibCED6U8We7bIk1Vh8jC1MohNuTVeHLlracm3FZ
5,Rep. Jesse Jackson Jr. resigns from Congress,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/nation/2012/11/21/jesse-jackson-jr-resign-congress/1719963/?kjnd=H7k6pIdz71qtUrhlWX1pEnJY4PPecfoI72S9SY%2BCWgff7pJ0QrmYHj2xwwKT57a6-d0e11386-1e32-4b2c-aeef-da301225b0ed_ttLNo4z25UMNacYCS7yzDdgKBI%2BYpVHNOr%2FqaZAUDY%2B92omg%2FwJ%2Fz0Dw2%2BWSqnKl'}]",2012-11-21 01:47:11,USA Today,Democrat Jesse Jackson Jr. resigned from Congress amid separate investigations of wrongdoing.,http://apidata.usatoday.com/story/news/nation/2012/11/21/jesse-jackson-jr-resign-congress/1719963/?kjnd=CBqn%2Bfnsv1RlS2MKnRFQN7L3giK1hCEEzA82jsg%2FZ2ENCKdTiOtwPJg0yUD2qEfv-d0e11386-1e32-4b2c-aeef-da301225b0ed_aQBDMUhvY6PhbL2eXlPWXL841Cb6djcBxRZbHdwTKxhjEGjeD%2B5kjnL5vXW62NIB
6,Romney supporters form immigration super PAC,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/19/republicans-immigration-gutierrez-romney-super-pac/1715369/?kjnd=9hfemg7E8RTKBVN1nwcRlIy8qcsLIiMGhhrxO3kboz9JJhACgrKgUgQi8K7DrQFd-d0e11386-1e32-4b2c-aeef-da301225b0ed_gsIX7FgXqSfNOcIpVlVrtjUi8zJCaof7gzBAWCH%2BMY2QOypAlygmS2nEmw%2BQCwAY'}]",2012-11-19 03:21:24,USA Today,"Carlos Gutierrez, a former Commerce secretary, says the new GOP group's goal is to pass an immigration bill.",http://apidata.usatoday.com/story/onpolitics/2012/11/19/republicans-immigration-gutierrez-romney-super-pac/1715369/?kjnd=xaxZD7RCLxozaSceniLKKeKVpXm1n5T5Ld3ekWPoU4NlQYvO5lW7O%2BHLJvof9EwB-d0e11386-1e32-4b2c-aeef-da301225b0ed_FnAJ7O1G1QDsvVbF7x0DxWVCj4PRSOlLv1IpuHu%2B9n0eXaTLVB9jPEhfOXEkX3IC
7,GOP candidate asks for recount in North Carolina,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/20/rouzer-mcintyre-recount-election-north-carolina/1717329/?kjnd=iiQ4w16LaU7VJx%2B687WS1KmWLPoZmG%2BSqNhv5e9a8rVckBqADgpkNPd%2BRWVTc%2BzX-d0e11386-1e32-4b2c-aeef-da301225b0ed_FRP3P%2FyHNg%2BY7jmYAnpBOy4zSXbq7W2qdNb4j9SMaAQTlaFPSVzX%2BA4CmwAr1LKe'}]",2012-11-20 01:49:22,USA Today,"State Sen. David Rouzer, R-N.C., says ""accidental human error"" could change the outcome in his race for Congress.",http://apidata.usatoday.com/story/onpolitics/2012/11/20/rouzer-mcintyre-recount-election-north-carolina/1717329/?kjnd=Hem74V%2BWqJo4HTDoRwnIixxKt%2FZxAGpt8wzQkKCuVFZWA1ZF1%2Ffd8oeawnPam7Nq-d0e11386-1e32-4b2c-aeef-da301225b0ed_PJu%2BsIWqt0WtMA%2BeliBk%2FYwh6OP2lctg1LuPGbstpcwHuaMmcdg9199w%2BjEGaIBR
8,Rand Paul 'interested' in 2016 presidential race,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/20/rand-paul-president-2016/1717601/?kjnd=%2B0u6%2FS3QQUtwqqHVcYSkiBJlF4XQx6sLyKsRvWHskYHaORNGqfJWWLEvctrseLxj-d0e11386-1e32-4b2c-aeef-da301225b0ed_YGvj1y5IGXzBbcR7vpNsICkEf1es7hDsboQTtN9G4hJUorta3OKsd0cojB5H60Uj'}]",2012-11-20 02:47:52,USA Today,"The Kentucky senator, a Tea party favorite, has watched his dad run for the White House three times.",http://apidata.usatoday.com/story/onpolitics/2012/11/20/rand-paul-president-2016/1717601/?kjnd=frpYXb4Mor%2Fd0H2SX9LviUVhhG2IgrjJwSZdW%2B25naoUNBrU4EsugnU8RXwRx7Av-d0e11386-1e32-4b2c-aeef-da301225b0ed_u%2F4sMp2%2FTcWRBKsUQT5PxMX6EvtUgTKZdbPjyoBVSRpL6YMe4zfhKmylHy3FW%2FGl
9,"Candidate wins coin flip, but council seat up in air","[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/nation/2012/11/20/every-vote-counts/1717649/?kjnd=t22M8e7QmZASje1RrhzSHAqP3b0aEdyxqN3HVzVbBYVHjIDeb%2BHl1g5l8pduFSwt-d0e11386-1e32-4b2c-aeef-da301225b0ed_jDm8b328Q0segvxY8Pir26Vmt6BTf%2FScW%2BcHiUqCiB%2Fz2Ea5fL26Tz4r%2BhR4jq4b'}]",2012-11-20 05:47:43,USA Today,A candidate whose wife couldn't vote on Election Day lost a tie-breaker but still might serve on his city's council.,http://apidata.usatoday.com/story/news/nation/2012/11/20/every-vote-counts/1717649/?kjnd=MA4zU1bExmPV9MhE4jtWkCfjqAF3YmjyedVlnIIxFSuZHV5Ny2izbNpow6DQOGQr-d0e11386-1e32-4b2c-aeef-da301225b0ed_ZOUI0lnOFuhQWKQFOSEI3xRPQ32RiFB6c0AdKvR5rzA8ylrXgd0OgFW5PkP36EGg
