,Unnamed: 0,author,date,section,word_count,abstract,headline,source
0,0,"Krawczeniuk, Borys","Jan 28, 2012",News,1596,"""I'm going to tell you there wasn't anybody that I talked to, Democrat or Republican, that when I explained (the bill), they didn't think this was a great idea,"" [Lou Barletta], R-Hazleton, said. ""When I talk about the fact that we gave Pakistan $215 million for flood disaster relief, zero interest, no payback, but yet we're going to charge Americans 6 percent interest? How is that fair?"" ""I still, in my (Washington) office, have the pictures of the homes and the total destruction and watching people take their life's memories out to the sidewalk and dump them. Photos of their children, standing there while senior citizens told me they just can't do it any more, they don't even want to go back in their home again,"" Barletta said. ""I never thought I was going to be a flood congressman, but this was the turn that it took."" ""And that's where the system is broken,"" Barletta said. ""In a perfect world, if you and I were trying to negotiate on something, that's exactly what we would do. If I gave you something and said, 'Take a look at this' and you don't like it, well, then change it, amend it, send me something back, give me another opportunity to find the common ground where we could pass something. But if you're going to take it and throw it a drawer, we're not going to get anywhere.""",Barletta: A Frustrating First Year,Citizens' Voice
1,1,,"Aug 14, 2012",Opinion,345,"Further highlighting the absurdity of the law is that the at-risk voters include some who have voted in 50 consecutive general elections, some public officials and others who are valid voters but who may encounter needless obstacles on Election Day. For example, state Rep. Frank Dermody, a Clarks Summit native and the state House minority leader, told the Pittsburgh Post-Gazette that his name is ""Francis"" on his driver's license but ""Frank"" on his voter registration card.",Judge's Ruling Should Protect Right To Vote,Republican & Herald
2,2,"Sisak, Michael R","Jul 30, 2011",News,365,"""I'm not one of these people that believe that it can't happen,"" Mr. [Paul Kanjorski] said in a recent interview in his Wilkes-Barre office. ""It can, and it can happen not because it's intended to happen, but only because people play the game too long - and we're getting too close to the end."" ""With the full faith and credit of the United States, once it's lost - for whatever reason, political, philosophical, craziness, some one senator filibustering - we will never again rise to the epitome of what we are today in the finances of the world,"" Mr. Kanjorski said. ""That's a loss of incredible value that you can't replace.""",Former Congressmen Weigh In On Potential Debt Ceiling Debacle,The Times - Tribune
3,3,,"Sep 28, 2012",Opinion,367,"Commentator: This is the problem. There are some elderly people who have voted every year since they were eligible. But now they can't get a photo ID because they never drove a car, do not have birth certificates due to their age or they were not born in a hospital. Now, our legislators, in their collective wisdom, decided to mandate every potential voter have a certified state photo ID in order to vote. What's ironic is that we can't get people to vote in the best circumstances, and now we make it more difficult, especially within a group that included the most loyal voters.","Thunder/Enlightning, Sept. 28, 2012",Republican & Herald
4,4,"Swift, Robert","Sep 10, 2011",News,578,"HARRISBURG - Pennsylvania is entering a long recovery phase now that the worst of the flooding in the Susquehanna River Basin flooding appears over, Gov. Tom Corbett said Saturday. Pennsylvania is counting on additional federal aid for recovery efforts with its request for a presidential major disaster declaration in 44 of the 67 counties. Corbett said he anticipates quick approval from President Barack Obama of this request based on the extent of long-term damages to public infrastructure and losses suffered by individuals and businesses. Corbett said he wasn't aware of the environmental groups' statement. He said he told his cabinet officials to get word to Marcellus Shale drillers that they needed to act promptly to prevent any overflows from well wastewater retention ponds due to the flooding.",Flood-ravaged Pa. Enters Recovery Phase,Citizens' Voice
5,5,,"Sep 6, 2012",Opinion,368,"One thing is for sure: The governor's posture on the government's role in business does not mesh with one of the principal themes of the convention - that the government is a drag on business, and that its only role should be to get out of industries' way. An entire night of the convention was themed ""We Built It,"" a play on President Barack Obama's assertion, on the campaign trail, that public contributions to infrastructure, education and so on are a foundation for entrepreneurial success.","Corbett, GOP Don't Mesh On Business",Republican & Herald
6,6,"Staub, Andrew","Jan 15, 2011",News,1029,"While President Barack Obama, in Tucson to memorialize those killed, called Wednesday to talk ""in a way that heals, not a way that wounds,"" the political blame game he admonished festered in the background. The finger-pointing following the shooting ""certainly doesn't help,"" said Randall Miller, a political historian from St. Joseph's University in Philadelphia. ""Structurally,"" Miller said, ""I would argue this is so built into our culture now that it's going to be very difficult to believe this kind of heated political rhetoric is simply going to cool off over the long term."" ""We've all been children,"" said [Nora Bredes], director of the Anthony Center for Women's Leadership at the University of Rochester. ""We've all had this sense of striving for something beyond ourselves, to believe in something that's greater than ourselves.""",Political Blame Game Continues To Smolder,Citizens' Voice
7,7,"KRAWCZENIUK, BORYS","Mar 15, 2011",News,758,"""He said to me, 'When I win for Congress, you'll have the opportunity to replace me (as commissioner),'"" Mr. [Harry McGrath] recalled. ""I said, 'We're looking for candidates today."" Mr. O'[Brien], who has refused to rule out a possible second run for Congress, labeled Mr. McGrath's version of the conversation as ""completely false."" ""He said to me, '[Corey O], I think you should run for Congress,'"" Mr. O'Brien said. ""I said, 'Well, I'm running for commissioner' and he said, 'Run for Congress.'"" Mr. [Jim Wansacz] blasted Mr. O'Brien for running an already negative campaign. He favors old-school politics if it means ""opening the process and letting people have an idea what's going on,"" he said. Mr. O'Brien's and Mrs. [Jeanette Mariani]'s failure to appear signaled ""total disrespect"" and displayed the ""arrogance of this administration that people are tired of.""",Lackawanna County Democrats In Open Warfare,The Times - Tribune
8,8,"KRAWCZENIUK, BORYS","Mar 28, 2011",News,530,"""We believe these cuts will be devastating,"" said Paula A. Bussard, senior vice president for policy and regulatory services for the Hospital and Healthsystem Association of Pennsylvania. ""We believe that it will create more instability (in health care) both in our rural communities, but also in the urban communities."" ""The cuts are not (just) reimbursement to hospitals. It's health care that's being taken out of our community,"" said Karen Kuck, R.N., president and chief executive officer of Pocono Medical Center in East Stroudsburg. ""Because if I have to make a decision to no longer do psychiatry or to no longer do women's services, people are going to have to be traveling quite a distance in order to receive that care."" Karen Murphy, [Moses Taylor]'s president and chief executive officer, said Scranton's three-hospital system is ""unsustainable"" and was even before President Barack Obama's health care reform plans and the proposed Medicaid cuts.",Corbett's Cuts Could Leave Tough Medical Care Choices,The Times - Tribune
9,9,,"Mar 22, 2012",Opinion,329,"Well I hope all you people are satisfied when you got your taxes in. We have to get together. I know you're disgusted. We have to start going to these meetings. The people above us are taking us hostage. They're running away with our money, not theirs. Most of them don't even live in this borough. We have to go and start questioning at these meetings, where is all the money? I noticed in the paper that Frackville borough wants to start up fireworks again. Let them put it in Frackville borough at Memorial Park instead of other communities like Gilberton borough.",Thunder/Enlightning,Republican & Herald
