date,fav_sum,fav_mean,net_probability_subjective,polls,running_pos_avg,geom_avg
2011-02-01,0.129568012301,0.0647840061504,-0.870431987699,41.5,0.0647840061504,0.0647840061504
2011-02-02,0.440391012507,0.220195506254,-0.559608987493,41.5,0.142489756202,0.236391507791
2011-02-08,0.0155240550479,0.0155240550479,-0.484475944952,42.0,0.100167855817,0.0777711545169
2011-02-09,0.0475829693762,0.0475829693762,-0.452417030624,42.7,0.0870216342071,0.0799791508841
2011-02-14,0.0218011846036,0.0218011846036,-0.478198815396,42.0,0.0739775442864,0.0517754013398
2011-02-18,0.553748573703,0.553748573703,0.053748573703,41.7,0.171770457797,0.576063495868
2011-02-25,0.286138451871,0.286138451871,-0.213861548129,42.8,0.18495904692,0.438031511344
2011-02-28,0.0210969670467,0.0210969670467,-0.478903032953,42.8,0.18607362932,0.163362351817
2011-03-01,0.141820765726,0.0709103828632,-0.858179234274,42.8,0.190739112017,0.149338043114
2011-03-02,0.41925894775,0.41925894775,-0.08074105225,42.4,0.270230664647,0.484549783036
2011-03-05,0.11223822829,0.11223822829,-0.38776177171,42.4,0.181928595564,0.257195321101
2011-03-06,0.0227131357451,0.0113565678726,-0.977286864255,42.4,0.126972218764,0.113878526344
2011-03-08,0.0806632110007,0.0806632110007,-0.419336788999,42.4,0.138885467555,0.142877026212
2011-03-09,0.203104934828,0.203104934828,-0.296895065172,42.4,0.165324377948,0.264377952389
2011-03-14,0.424175939204,0.424175939204,-0.075824060796,42.4,0.166307776239,0.513620844472
2011-03-15,0.0194379366695,0.0194379366695,-0.480562063331,42.4,0.147747717915,0.175769000329
2011-03-17,0.157188356387,0.157188356387,-0.342811643613,42.6,0.176914075618,0.243077779946
2011-03-20,0.0707362555538,0.0353681277769,-0.929263744446,42.6,0.167855058973,0.128354725689
2011-03-21,0.711620495416,0.711620495416,0.211620495416,42.6,0.269558171091,0.775599965736
2011-03-28,0.020524120021,0.020524120021,-0.479475879979,42.6,0.188827807254,0.240484292335
2011-03-30,0.00752585387902,0.00752585387902,-0.492474146121,42.6,0.186445390696,0.122467220405
2011-04-03,0.563298943305,0.563298943305,0.063298943305,42.6,0.26766750808,0.635771298826
2011-04-04,1.16903006282,0.584515031412,0.169030062824,42.6,0.377496888807,0.775122873389
2011-04-09,0.341681979847,0.341681979847,-0.158318020153,42.6,0.303509185693,0.587349869139
2011-04-10,0.000451218880137,0.000451218880137,-0.49954878112,42.6,0.299494605465,0.214843983929
2011-04-11,0.0959180611972,0.0479590305986,-0.904081938803,42.6,0.307581240809,0.16837384698
2011-04-12,0.7049428583,0.117490476383,-2.2950571417,42.2,0.218419547424,0.209197534488
2011-04-13,0.31854058149,0.159270290745,-0.68145941851,42.2,0.133370599291,0.251699438386
2011-04-14,0.0360025517424,0.0360025517424,-0.463997448258,42.0,0.0722347136699,0.136108848769
2011-04-15,0.210888755916,0.0527221889789,-1.78911124408,42.9,0.0826889076896,0.123930096674
2011-04-16,0.147314818544,0.147314818544,-0.352685181456,42.9,0.102560065279,0.209385528664
2011-04-17,0.297396431011,0.297396431011,-0.202603568989,42.9,0.138541256204,0.377172697733
2011-04-21,0.00850744419862,0.00850744419862,-0.491492555801,43.7,0.108388686895,0.132192499569
2011-04-28,0.122508109237,0.122508109237,-0.377491890763,43.7,0.125689798394,0.193543976584
2011-04-30,0.0319234402171,0.0319234402171,-0.468076559783,43.7,0.121530048642,0.110231808392
