,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
0,0.0,-inf,1e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
1,0.1,-1212.5861265,1e-05,"(1, 1)","[-1161.83723961, -1099.26452054, -1376.65661935]",log_likelihood,CountVectorizer
2,1.0,-897.013876591,1e-05,"(1, 1)","[-852.771673761, -851.605871959, -986.664084051]",log_likelihood,CountVectorizer
3,5.0,-861.086647787,1e-05,"(1, 1)","[-800.70536229, -848.838299636, -933.716281434]",log_likelihood,CountVectorizer
4,10.0,-898.497745365,1e-05,"(1, 1)","[-831.459452118, -895.194760795, -968.839023183]",log_likelihood,CountVectorizer
5,50.0,-1092.24453972,1e-05,"(1, 1)","[-1022.4851731, -1094.26296957, -1159.98547651]",log_likelihood,CountVectorizer
6,0.0,-inf,0.0001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
7,0.1,-1212.5861265,0.0001,"(1, 1)","[-1161.83723961, -1099.26452054, -1376.65661935]",log_likelihood,CountVectorizer
8,1.0,-897.013876591,0.0001,"(1, 1)","[-852.771673761, -851.605871959, -986.664084051]",log_likelihood,CountVectorizer
9,5.0,-861.086647787,0.0001,"(1, 1)","[-800.70536229, -848.838299636, -933.716281434]",log_likelihood,CountVectorizer
10,10.0,-898.497745365,0.0001,"(1, 1)","[-831.459452118, -895.194760795, -968.839023183]",log_likelihood,CountVectorizer
11,50.0,-1092.24453972,0.0001,"(1, 1)","[-1022.4851731, -1094.26296957, -1159.98547651]",log_likelihood,CountVectorizer
12,0.0,-inf,0.001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
13,0.1,-1097.23378606,0.001,"(1, 1)","[-1022.41163681, -1098.81211342, -1170.47760794]",log_likelihood,CountVectorizer
14,1.0,-987.640543953,0.001,"(1, 1)","[-928.74801491, -987.291881034, -1046.88173591]",log_likelihood,CountVectorizer
15,5.0,-947.691597836,0.001,"(1, 1)","[-881.28034818, -957.649779995, -1004.14466533]",log_likelihood,CountVectorizer
16,10.0,-955.039493663,0.001,"(1, 1)","[-884.393503976, -968.492541786, -1012.23243523]",log_likelihood,CountVectorizer
17,50.0,-1081.45530863,0.001,"(1, 1)","[-1010.35611383, -1090.1763152, -1143.83349687]",log_likelihood,CountVectorizer
18,0.0,-1399.67145454,0.01,"(1, 1)","[-1307.85892695, -1420.67816923, -1470.47726744]",log_likelihood,CountVectorizer
19,0.1,-1398.97983011,0.01,"(1, 1)","[-1307.23458613, -1420.00834809, -1469.69655613]",log_likelihood,CountVectorizer
20,1.0,-1393.16054029,0.01,"(1, 1)","[-1301.96405541, -1414.29590286, -1463.22166259]",log_likelihood,CountVectorizer
21,5.0,-1373.46711696,0.01,"(1, 1)","[-1284.13762985, -1394.09543734, -1442.16828368]",log_likelihood,CountVectorizer
22,10.0,-1357.21439519,0.01,"(1, 1)","[-1269.7717424, -1376.58091172, -1425.29053144]",log_likelihood,CountVectorizer
23,50.0,-1325.37569284,0.01,"(1, 1)","[-1248.29544438, -1337.40230659, -1390.42932754]",log_likelihood,CountVectorizer
24,0.0,-1948.67433231,0.1,"(1, 1)","[-1918.73135072, -1944.94074946, -1982.35089673]",log_likelihood,CountVectorizer
25,0.1,-1948.6376847,0.1,"(1, 1)","[-1918.69898634, -1944.91138014, -1982.30268762]",log_likelihood,CountVectorizer
26,1.0,-1948.31043033,0.1,"(1, 1)","[-1918.4101526, -1944.64921115, -1981.87192724]",log_likelihood,CountVectorizer
27,5.0,-1946.91060542,0.1,"(1, 1)","[-1917.17837695, -1943.52980204, -1980.02363728]",log_likelihood,CountVectorizer
28,10.0,-1945.28016566,0.1,"(1, 1)","[-1915.75214417, -1942.23073551, -1977.8576173]",log_likelihood,CountVectorizer
29,50.0,-1936.06152671,0.1,"(1, 1)","[-1907.98530697, -1935.07304757, -1965.1262256]",log_likelihood,CountVectorizer
30,0.0,0.0,1e-05,"(1, 2)","[0.0, 0.0, 0.0]",log_likelihood,CountVectorizer
31,0.1,-1861.13378293,1e-05,"(1, 2)","[-1810.57533818, -1678.42584925, -2094.40016136]",log_likelihood,CountVectorizer
32,1.0,-1227.43472534,1e-05,"(1, 2)","[-1168.82646813, -1140.85460284, -1372.62310504]",log_likelihood,CountVectorizer
33,5.0,-1059.01576071,1e-05,"(1, 2)","[-984.074064378, -1013.46266226, -1179.51055548]",log_likelihood,CountVectorizer
34,10.0,-1046.84083593,1e-05,"(1, 2)","[-968.996945231, -1014.98622962, -1156.53933293]",log_likelihood,CountVectorizer
35,50.0,-1125.08560969,1e-05,"(1, 2)","[-1048.13495551, -1115.0235263, -1212.09834727]",log_likelihood,CountVectorizer
