,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
0,0.0,-inf,1e-06,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
1,0.001,-2609.15899457,1e-06,"(1, 1)","[-2553.34711859, -2342.64046846, -2931.48939665]",log_likelihood,CountVectorizer
2,0.05,-1367.55738883,1e-06,"(1, 1)","[-1312.71988018, -1233.6406796, -1556.31160671]",log_likelihood,CountVectorizer
3,0.1,-1212.5861265,1e-06,"(1, 1)","[-1161.83723961, -1099.26452054, -1376.65661935]",log_likelihood,CountVectorizer
4,0.5,-959.049411587,1e-06,"(1, 1)","[-914.902814161, -895.245989632, -1066.99943097]",log_likelihood,CountVectorizer
5,1.0,-897.013876591,1e-06,"(1, 1)","[-852.771673761, -851.605871959, -986.664084051]",log_likelihood,CountVectorizer
6,0.0,-inf,5e-06,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
7,0.001,-2609.15899457,5e-06,"(1, 1)","[-2553.34711859, -2342.64046846, -2931.48939665]",log_likelihood,CountVectorizer
8,0.05,-1367.55738883,5e-06,"(1, 1)","[-1312.71988018, -1233.6406796, -1556.31160671]",log_likelihood,CountVectorizer
9,0.1,-1212.5861265,5e-06,"(1, 1)","[-1161.83723961, -1099.26452054, -1376.65661935]",log_likelihood,CountVectorizer
10,0.5,-959.049411587,5e-06,"(1, 1)","[-914.902814161, -895.245989632, -1066.99943097]",log_likelihood,CountVectorizer
11,1.0,-897.013876591,5e-06,"(1, 1)","[-852.771673761, -851.605871959, -986.664084051]",log_likelihood,CountVectorizer
12,0.0,-inf,1e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
13,0.001,-2609.15899457,1e-05,"(1, 1)","[-2553.34711859, -2342.64046846, -2931.48939665]",log_likelihood,CountVectorizer
14,0.05,-1367.55738883,1e-05,"(1, 1)","[-1312.71988018, -1233.6406796, -1556.31160671]",log_likelihood,CountVectorizer
15,0.1,-1212.5861265,1e-05,"(1, 1)","[-1161.83723961, -1099.26452054, -1376.65661935]",log_likelihood,CountVectorizer
16,0.5,-959.049411587,1e-05,"(1, 1)","[-914.902814161, -895.245989632, -1066.99943097]",log_likelihood,CountVectorizer
17,1.0,-897.013876591,1e-05,"(1, 1)","[-852.771673761, -851.605871959, -986.664084051]",log_likelihood,CountVectorizer
18,0.0,-inf,5e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
19,0.001,-2609.15899457,5e-05,"(1, 1)","[-2553.34711859, -2342.64046846, -2931.48939665]",log_likelihood,CountVectorizer
20,0.05,-1367.55738883,5e-05,"(1, 1)","[-1312.71988018, -1233.6406796, -1556.31160671]",log_likelihood,CountVectorizer
21,0.1,-1212.5861265,5e-05,"(1, 1)","[-1161.83723961, -1099.26452054, -1376.65661935]",log_likelihood,CountVectorizer
22,0.5,-959.049411587,5e-05,"(1, 1)","[-914.902814161, -895.245989632, -1066.99943097]",log_likelihood,CountVectorizer
23,1.0,-897.013876591,5e-05,"(1, 1)","[-852.771673761, -851.605871959, -986.664084051]",log_likelihood,CountVectorizer
24,0.0,-inf,0.0001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
25,0.001,-2609.15899457,0.0001,"(1, 1)","[-2553.34711859, -2342.64046846, -2931.48939665]",log_likelihood,CountVectorizer
26,0.05,-1367.55738883,0.0001,"(1, 1)","[-1312.71988018, -1233.6406796, -1556.31160671]",log_likelihood,CountVectorizer
27,0.1,-1212.5861265,0.0001,"(1, 1)","[-1161.83723961, -1099.26452054, -1376.65661935]",log_likelihood,CountVectorizer
28,0.5,-959.049411587,0.0001,"(1, 1)","[-914.902814161, -895.245989632, -1066.99943097]",log_likelihood,CountVectorizer
29,1.0,-897.013876591,0.0001,"(1, 1)","[-852.771673761, -851.605871959, -986.664084051]",log_likelihood,CountVectorizer
30,0.0,0.0,1e-06,"(1, 2)","[0.0, 0.0, 0.0]",log_likelihood,CountVectorizer
31,0.001,-3889.82413476,1e-06,"(1, 2)","[-3746.13783029, -3568.34761542, -4354.98695857]",log_likelihood,CountVectorizer
32,0.05,-2118.00316009,1e-06,"(1, 2)","[-2059.55068814, -1906.78096941, -2387.67782271]",log_likelihood,CountVectorizer
33,0.1,-1861.13378293,1e-06,"(1, 2)","[-1810.57533818, -1678.42584925, -2094.40016136]",log_likelihood,CountVectorizer
34,0.5,-1374.93872847,1e-06,"(1, 2)","[-1321.64797696, -1264.77368418, -1538.39452427]",log_likelihood,CountVectorizer
35,1.0,-1227.43472534,1e-06,"(1, 2)","[-1168.82646813, -1140.85460284, -1372.62310504]",log_likelihood,CountVectorizer
36,0.0,0.0,5e-06,"(1, 2)","[0.0, 0.0, 0.0]",log_likelihood,CountVectorizer
37,0.001,-3889.82413476,5e-06,"(1, 2)","[-3746.13783029, -3568.34761542, -4354.98695857]",log_likelihood,CountVectorizer
38,0.05,-2118.00316009,5e-06,"(1, 2)","[-2059.55068814, -1906.78096941, -2387.67782271]",log_likelihood,CountVectorizer
39,0.1,-1861.13378293,5e-06,"(1, 2)","[-1810.57533818, -1678.42584925, -2094.40016136]",log_likelihood,CountVectorizer
