,alpha,avg_score,min_df,ngram,scores,scoring_method,vectorizer
0,0.0,-inf,1e-05,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
1,0.1,-5625.18776438,1e-05,"(1, 1)","[-5898.05478324, -5533.96828035, -5443.54022956]",log_likelihood,CountVectorizer
2,1.0,-4819.11960729,1e-05,"(1, 1)","[-5116.07152452, -4759.63157503, -4581.65572232]",log_likelihood,CountVectorizer
3,5.0,-4997.14758772,1e-05,"(1, 1)","[-5281.50233731, -5261.98754639, -4447.95287947]",log_likelihood,CountVectorizer
4,10.0,-6666.05887602,1e-05,"(1, 1)","[-7262.2497207, -7363.17025186, -5372.7566555]",log_likelihood,CountVectorizer
5,50.0,-18554.9476885,1e-05,"(1, 1)","[-20896.6547476, -21620.768666, -13147.419652]",log_likelihood,CountVectorizer
6,0.0,-inf,0.0001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
7,0.1,-5625.18776438,0.0001,"(1, 1)","[-5898.05478324, -5533.96828035, -5443.54022956]",log_likelihood,CountVectorizer
8,1.0,-4819.11960729,0.0001,"(1, 1)","[-5116.07152452, -4759.63157503, -4581.65572232]",log_likelihood,CountVectorizer
9,5.0,-4997.14758772,0.0001,"(1, 1)","[-5281.50233731, -5261.98754639, -4447.95287947]",log_likelihood,CountVectorizer
10,10.0,-6666.05887602,0.0001,"(1, 1)","[-7262.2497207, -7363.17025186, -5372.7566555]",log_likelihood,CountVectorizer
11,50.0,-18554.9476885,0.0001,"(1, 1)","[-20896.6547476, -21620.768666, -13147.419652]",log_likelihood,CountVectorizer
12,0.0,-inf,0.001,"(1, 1)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
13,0.1,-5000.7323351,0.001,"(1, 1)","[-5389.46261402, -5074.243588, -4538.4908033]",log_likelihood,CountVectorizer
14,1.0,-4673.28943821,0.001,"(1, 1)","[-5016.36440497, -4720.77011364, -4282.73379601]",log_likelihood,CountVectorizer
15,5.0,-4347.71070349,0.001,"(1, 1)","[-4609.40164933, -4429.00224141, -4004.72821973]",log_likelihood,CountVectorizer
16,10.0,-4233.48735409,0.001,"(1, 1)","[-4457.95352155, -4373.64521121, -3868.86332951]",log_likelihood,CountVectorizer
17,50.0,-7704.0224776,0.001,"(1, 1)","[-8426.36942655, -8784.36410336, -5901.33390289]",log_likelihood,CountVectorizer
18,0.0,-3923.72243449,0.01,"(1, 1)","[-4147.66213376, -3981.3210611, -3642.18410861]",log_likelihood,CountVectorizer
19,0.1,-3921.19580491,0.01,"(1, 1)","[-4144.638604, -3978.89984997, -3640.04896076]",log_likelihood,CountVectorizer
20,1.0,-3899.07931092,0.01,"(1, 1)","[-4118.27680169, -3957.62959908, -3621.33153199]",log_likelihood,CountVectorizer
21,5.0,-3811.27510786,0.01,"(1, 1)","[-4014.42596771, -3872.46552824, -3546.93382763]",log_likelihood,CountVectorizer
22,10.0,-3718.64415829,0.01,"(1, 1)","[-3905.60353585, -3782.04580671, -3468.28313232]",log_likelihood,CountVectorizer
23,50.0,-3366.17041874,0.01,"(1, 1)","[-3501.82540669, -3477.15985942, -3119.52599011]",log_likelihood,CountVectorizer
24,0.0,-2665.06767216,0.1,"(1, 1)","[-2759.97886955, -2692.48369513, -2542.7404518]",log_likelihood,CountVectorizer
25,0.1,-2664.92183834,0.1,"(1, 1)","[-2759.84142123, -2692.31789647, -2542.60619732]",log_likelihood,CountVectorizer
26,1.0,-2663.61326049,0.1,"(1, 1)","[-2758.60855321, -2690.83073778, -2541.40049048]",log_likelihood,CountVectorizer
27,5.0,-2657.88195284,0.1,"(1, 1)","[-2753.21896487, -2684.32940458, -2536.09748907]",log_likelihood,CountVectorizer
28,10.0,-2650.9080038,0.1,"(1, 1)","[-2746.68416846, -2676.44572836, -2529.59411457]",log_likelihood,CountVectorizer
29,50.0,-2602.03980617,0.1,"(1, 1)","[-2701.81120064, -2622.14865074, -2482.15956713]",log_likelihood,CountVectorizer
30,0.0,-inf,1e-05,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
31,0.1,-12454.8735146,1e-05,"(1, 2)","[-13422.996856, -12365.8360275, -11575.7876601]",log_likelihood,CountVectorizer
32,1.0,-9462.31065875,1e-05,"(1, 2)","[-10128.8508897, -9364.45028898, -8893.6307976]",log_likelihood,CountVectorizer
33,5.0,-19956.0936027,1e-05,"(1, 2)","[-22873.8499362, -22649.9165171, -14344.5143548]",log_likelihood,CountVectorizer
34,10.0,-28243.0513671,1e-05,"(1, 2)","[-32529.1931989, -33016.3849192, -19183.5759833]",log_likelihood,CountVectorizer
35,50.0,-35938.6811809,1e-05,"(1, 2)","[-41105.6403901, -42172.6259087, -24537.7772439]",log_likelihood,CountVectorizer
36,0.0,-inf,0.0001,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
37,0.1,-12454.8735146,0.0001,"(1, 2)","[-13422.996856, -12365.8360275, -11575.7876601]",log_likelihood,CountVectorizer
38,1.0,-9462.31065875,0.0001,"(1, 2)","[-10128.8508897, -9364.45028898, -8893.6307976]",log_likelihood,CountVectorizer
39,5.0,-19956.0936027,0.0001,"(1, 2)","[-22873.8499362, -22649.9165171, -14344.5143548]",log_likelihood,CountVectorizer
40,10.0,-28243.0513671,0.0001,"(1, 2)","[-32529.1931989, -33016.3849192, -19183.5759833]",log_likelihood,CountVectorizer
41,50.0,-35938.6811809,0.0001,"(1, 2)","[-41105.6403901, -42172.6259087, -24537.7772439]",log_likelihood,CountVectorizer
42,0.0,-inf,0.001,"(1, 2)","[-inf, -inf, -inf]",log_likelihood,CountVectorizer
43,0.1,-10038.7256537,0.001,"(1, 2)","[-10948.942452, -10018.5611723, -9148.67333676]",log_likelihood,CountVectorizer
44,1.0,-8775.83341569,0.001,"(1, 2)","[-9586.33045427, -8605.94866614, -8135.22112666]",log_likelihood,CountVectorizer
45,5.0,-7649.89024367,0.001,"(1, 2)","[-8355.11753532, -7572.42104874, -7022.13214695]",log_likelihood,CountVectorizer
46,10.0,-7740.71177186,0.001,"(1, 2)","[-8528.70681362, -7916.35181531, -6777.07668666]",log_likelihood,CountVectorizer
47,50.0,-17185.768319,0.001,"(1, 2)","[-19576.739585, -20080.9857204, -11899.5796516]",log_likelihood,CountVectorizer
48,0.0,-6174.50071879,0.01,"(1, 2)","[-6549.37267511, -6302.74449516, -5671.38498611]",log_likelihood,CountVectorizer
49,0.1,-6169.25209036,0.01,"(1, 2)","[-6543.93451032, -6297.37069418, -5666.45106658]",log_likelihood,CountVectorizer
50,1.0,-6123.57509043,0.01,"(1, 2)","[-6496.44234204, -6250.80629254, -5623.4766367]",log_likelihood,CountVectorizer
51,5.0,-5946.59728982,0.01,"(1, 2)","[-6309.52199145, -6073.44605864, -5456.82381935]",log_likelihood,CountVectorizer
52,10.0,-5766.79458751,0.01,"(1, 2)","[-6115.58659988, -5897.79600532, -5287.00115732]",log_likelihood,CountVectorizer
53,50.0,-5182.20406785,0.01,"(1, 2)","[-5469.9339559, -5458.48166716, -4618.19658049]",log_likelihood,CountVectorizer
