,abstract,author,date,headline,section,source,word_count,id,candidate
1," ATLANTA - Rick Santorum, hoping to narrow the Republican presidential contest to a duel with Mitt Romney, put pressure on Newt Gingrich yesterday in his old home state of Georgia, suggesting that a loss here on Super Tuesday could force the former speaker out of the race. [...] the fact that Santorum flew here for two rallies yesterday between visits to Ohio and Washington state shows that this state could prove pivotal, either as the spark that revives Gingrich's chances or as the clapboard that marks the end of his up-and-down run for the White House.","Levenson, Michael",2012-03-02,"Santorum forays into Georgia, hoping to upend Gingrich",National,Boston Globe,1046.0,1,Romney
10, [...] the Romney team went to extraordinary lengths to avoid surprises or embarrassments in a future presidential campaign.,,2011-11-19,Deleted e-mails show need for stronger public records law,Editorial,Boston Globe,391.0,10,Romney
15," [...]while there is a bigger prize at stake in 2012 - the White House - Club for Growth Action has not touched the presidential race, and its major donors have contributed little to presumptive GOP nominee Mitt Romney.","Borchers, Callum",2012-06-06,Tea Party super PAC pours funds into congressional races,National,Boston Globe,770.0,15,Romney
26," Bork is remembered mainly for his failed bid to become a Supreme Court justice, after a contentious nomination fight that focused on his right-wing positions. Shoving aside fellow Republican and acting Governor Jane Swift in order to run in 2002 also didn't help Romney with female voters.","Vennochi, Joan",2011-08-11,Romney's woman problem,Editorial,Boston Globe,678.0,26,Romney
30," Aspects of his candidacy echo earlier presidential primaries in New Hampshire and give the feeling of political deja vu. When former New Hampshire Governor John H. Sununu recently attacked Gingrich on behalf of Mitt Romney for Gingrich's opposition to the 1990 budget deal that broke President George H.W. Bush's ""no new taxes"" pledge, it wasn't the first time a strong-willed New Hampshire governor went beyond a campaign's control.","Cullen, Fergus",2011-12-22,Political reincarnation: What's old is Newt again,Opinion,Boston Globe,725.0,30,Romney
39," William I. Koch, the Osterville summer resident and fossil fuel magnate who helped bankroll the opposition to the Cape Wind energy project, has emerged as a key backer of Mitt Romney's presidential campaign, donating $2 million to Restore Our Future, the super PAC supporting Romney's drive for the White House.","Rezendes, Michael",2012-05-22,Cape Wind foe Koch chips in for Romney,Metro,Boston Globe,927.0,39,Romney
43, Mitt Romney's assertion that smaller class size doesn't matter because a consulting firm noted that in foreign countries it doesn't seem to make a difference.,,2012-05-29,Candidate's assertion on class size is questionable,EditorialOpinion,Boston Globe,226.0,43,Romney
47," During his State of the Union address, Obama proposed requiring the country's wealthiest - those earning more than $1 million a year in wages and investment income - to pay at least 30 percent in taxes.","Healy, Beth",2012-04-14,Romney files for tax extension; liability estimated at $3.2m,National,Boston Globe,459.0,47,Romney
51," A Dan Wasserman editorial cartoon depicts Former MA Gov. W. Mitt Romney, who is planning to run for president again in 2012, is telling a dog named ""Romney Care"" to ""Shoo! Go home! Stop following me!""",Dan Wasserman,2011-03-01,Editorial cartoon,,Boston Globe,,51,Romney
52," WASHINGTON - Mitt Romney is aggressively trying to coax high-dollar donors from the sidelines, offering incentives of special access and recognition to his top fund-raisers, as he plays catch-up to President Obama in the race for money. Several key Republican fund-raisers are now clambering aboard the Romney effort, including Al Hoffman, a contributor from Florida; John Moran, a retired chairman of a New York-based investment company who was a top fund-raiser for McCain; and Cathy Bailey, a prominent fund-raiser from Kentucky who served as ambassador to Latvia.","Viser, Matt",2012-04-21,Romney offering perks in his bid for major donors,National,Boston Globe,1306.0,52,Romney
53," COLUMBIA, S.C. - Two of Mitt Romney's rivals, facing what could be their last opportunity to stop his march to the nomination, redoubled their efforts yesterday to cast him as a heartless executive, setting off alarms in conservative circles. Are they fair to the American people, or are the deals being cut on behalf of Wall Street institutions and very rich people? Perry has pointed to a company in Gaffney that made photo albums and a steel plant in Georgetown that he says were closed after Romney's private equity firm, Bain Capital, acquired them.","Tracy, Jan; Levenson, Michael",2012-01-12,2 Romney foes hit Bain cuts Romney foes lean hard on Bain cuts,National,Boston Globe,1147.0,53,Romney
56," Dean Spiliotes, an independent political analyst in New Hampshire not affiliated with any presidential candidate, said Huntsman's challenge will be to distinguish himself from Romney, because he will not appeal to the more right-wing segment of the state's Republican Party.","Schoenberg, Shira",2011-06-22,Huntsman seeks to define candidacy in N.H. primary,National,Boston Globe,744.0,56,Romney
64," [...] he recommends ""a managed bankruptcy"" with the federal government providing guarantees for post-bankruptcy financing.",Anonymous,2011-06-19,THE NEW Mitt Romney is not a flip-flopper,Opinion,Boston Globe,672.0,64,Romney
69," According to Wyatt, Paul wants to deliver a prime-time speech in Tampa and is adamant that the Republican platform call for barring acts of war without congressional approval and auditing the Federal Reserve Bank.","Borchers, Callum",2012-05-11,"Romney rules, but Paul backers still take delegate seats",National,Boston Globe,847.0,69,Romney
76," Rick Santorum's campaign, pushed to the brink after losing badly to Mitt Romney in Illinois, believes it has found a way to cut into Romney's delegate lead and potentially prevent the former Massachusetts governor from collecting the 1,144 delegates needed to secure the Republican presidential nomination.","Levenson, Michael",2012-03-22,Santorum seeking to coax delegates,National,Boston Globe,794.0,76,Romney
79," Gingrich, who fell about 20 points in Iowa in 20 days after facing millions of dollars of televised attacks against him by a super political action committee that supports Romney, announced yesterday that he is planning a two-day bus tour of New Hampshire, ending speculation that he might join Bachmann in writing off the state.","Kranish, Michael",2012-01-04,"As eyes turn to N.H., front-runner becomes the target",National,Boston Globe,983.0,79,Romney
84," In a presidential primary season packed with debates, tonight's could be the most critical for Mitt Romney. Since he righted his campaign with robust debate performances and a strong primary win in Florida late last month, Romney has watched his momentum evaporate before a surprising surge from rival Rick Santorum.","Schoenberg, Shira",2012-02-22,Romney facing hurdle in debate,National,Boston Globe,792.0,84,Romney
88," Reiss highlighted several areas of disagreement that Romney has with the Obama administration's handling of the war in Afghanistan: allowing Hamid Karzai to win an election that many foreign observers considered rigged, announcing a timetable for withdrawal, and not having a broader civilian component to the war mission. Political observers say that Romney appears to be carefully calibrating his position to try to appease both those who are growing uneasy about the ongoing war and those who want to see him as strong on national security issues.","Viser, Matt",2011-06-16,Romney's remarks on Afghanistan exit stir GOP alarm,National,Boston Globe,919.0,88,Romney
90, On Point With Tom Ashbrook11 a.m. and 8 p.m. WBUR-FM (90.9) Mitt Romney's education reform plan. Radio Boston3 p.m. WBUR-FM (90.9) NightSide With Dan Rea8 p.m. WBZ-AM (1030) The future of the Pilgrim Power Plant.,,2012-05-29,Daily guide,Arts,Boston Globe,610.0,90,Romney
99," DETROIT - Mitt Romney set out yesterday to deliver a much-publicized speech thick with policy, one that would redirect the campaign conversation back to his experience in the economy, his prescriptions for reining in entitlement programs, and his ability to weave through tax policies involving terms such as ""C Corporations"" and ""Sub S."" Instead, it was an SRX that tripped him up. Some campaign watchers have blamed Romney's struggles on his difficulty in connecting with average voters, and Santorum increasingly is trying to target his pitch to blue-collar workers by playing up his working-class roots.","Viser, Matt",2012-02-25,"In Detroit, Romney says wife has 2 Cadillacs",National,Boston Globe,1114.0,99,Romney
111," Romney's strong performance in a trio of recent debates had helped his fund-raising by motivating his supporters, but it was not enough to move some of the fence-sitters over to his camp, according to the person, who spoke on the condition of anonymity because the campaign has not publicly released its numbers yet. Perry is also trying a late push to get as many as 18,000 donations by tonight, the same number of jobs that were lost in Massachusetts as a result of Romney's health care plan, according to a disputed study by the Beacon Hill Institute.","Viser, Matt",2011-09-30,Romney reportedly raised $11m to $13m in quarter,National,Boston Globe,868.0,111,Romney
122," [...]Romney runs the risk of alienatingthe growing number of Americans who say they are comfortable with gay marriage, and he also could face challenges in mobilizing young voters, who are far more willing to support it. ""Governor Romney is for an amendment to the US Constitution that would enshrine discrimination into our founding legal document,"" White House press secretary Jay Carney told reporters on Air Force One.","Viser, Matt",2012-05-11,Marriage issue to test Romney,National,Boston Globe,1127.0,122,Romney
126," TAMPA - Mitt Romney, backed by relentless attack ads, vocal support from the Republican establishment, and his own willingness to adopt a more aggressive tone, trounced Newt Gingrich in the Florida primary last night, gaining the upper hand as the race scatters to the seven states that vote over the next month.","Levenson, Michael; Viser, Matt",2012-02-01,Romney rolls in FloridaAggressive tack draws broad array of voters,National,Boston Globe,1086.0,126,Romney
129," Romney joined four other prospective GOP candidates - former governor Tim Pawlenty of Minnesota, Representative Michele Bachmann of Minnesota, former senator Rick Santorum of Pennsylvania, and businessman Herman Cain - at the forum held to discuss economic issues and budget priorities. Many political analysts have pointed out that the lack of foreign policy experience in the present field of prospective candidates - which does not include a sitting or former vice president, president, or senator for the first time in at least a half century - could hinder the GOP in a time of two wars and of protests that threaten to rearrange the political landscape of the Middle East.","Viser, Matt",2011-04-30,Romney stands by Bay State health law,National,Boston Globe,1399.0,129,Romney
137," The New Hampshire attorney general closed her case after finding no evidence that the worker, Jay Garrity, had used a law enforcement database to check a license plate, as he allegedly told a New York Times reporter who he felt had been trailing Romney's caravan too closely.","Johnson, Glen",2011-07-13,Parents chafe at Romney security,Metro,Boston Globe,523.0,137,Romney
138," Perry favors allowing the children of illegal immigrants in Texas to pay in-state tuition rates to public colleges and universities, an idea that Romney has blasted.","Johnson, Glen",2011-10-02,"Political Intelligence | COVERING POLITICS IN BOSTON, NEW ENGLAND, AND THE NATION Brown, others in Mass. GOP try to cast Warren as un-American Romney goes on the offensive in immigration debate Former transportation boss goes back to the law",Metro,Boston Globe,715.0,138,Romney
139," Herman Cain drew loud cheers from the audience as he defended himself once again against accusations of sexual harassment, and none of his rivals challenged him on the issue as the Republican presidential candidates met for their ninth debate last night. With less than two months until the Iowa caucuses and the New Hampshire primary, the candidates passed up repeated opportunities to challenge Mitt Romney, the presumptive front-runner, on his health care law in Massachusetts and the accusations that he frequently changes his policy positions.","Viser, Matt; Levenson, Michael",2011-11-10,Cain gets cheers and wide berth at debate,National,Boston Globe,1245.0,139,Romney
142," WASHINGTON - Senator Marco Rubio, considered an emerging voice of the Republican Party and a possible vice presidential candidate, said Wednesday night he was backing Mitt Romney, providing the former Massachusetts governor with one of the most prized endorsements of the presidential primaries.","Viser, Matt",2012-03-29,Florida's Rubio joins ranks of Romney backers,National,Boston Globe,832.0,142,Romney
152," STRATHAM, N.H. - Republican Mitt Romney launched his second bid for the presidency yesterday by focusing almost entirely on jobs and the deficit, saying the country needs someone with a business background to fix the ailing economy overseen by President Obama. [...] he also talked about his four-year term as governor, highlighting that he balanced the state budget without raising taxes - but neglecting to mention that he also raised fees for a host of services.","Viser, Matt",2011-06-03,"Officially in, Romney all about the economy",National,Boston Globe,1293.0,152,Romney
155," Romney had angered reproductive rights advocates in July 2005 when he vetoed a bill to make the morning-after pill available over the counter at Massachusetts pharmacies and to require hospitals to make it available to rape victims, even though he had supported emergency contraception during his 2002 campaign for governor.","Tracy, Jan",2012-02-03,Romney shifted on `conscience' issue,National,Boston Globe,1203.0,155,Romney
160," Rick Santorum and Mitt Romney yesterday accused each other of being unfit for the Republican presidential nomination in the finale to a primary vote today that could reshape the contest once again. Romney's campaign and the Restore Our Future super PAC that supports him spent $2.3 million to air ads 4,341 times on Michigan broadcast television stations through Feb. 23, according to data cited by Bloomberg News from New York-based Kantar Media's CMAG.","Viser, Matt; Bobby Caina Calvan",2012-02-28,Rivals trade last jabs in Michigan,National,Boston Globe,1346.0,160,Romney
164," The traditional outcasts - power-challenged in their home state and out-of-step with many in the national Republican Party - are now being treated as the kings of the court, by virtue of their connection to presumptive nominee Mitt Romney, the Bay State's former governor. What's it like living in a state that hasn't voted for a Republican president since 1984 - or was the only state to vote for Democrat George McGovern in 1972? ""We were treated like sideshow freaks,"" said state Senator Robert Hedlund, a Weymouth Republican who attended his first convention in 1988, where he protested nominee George H.W. Bush.","Viser, Matt",2012-05-04,State GOP prepares for center stage at convention,National,Boston Globe,946.0,164,Romney
168," Some also complain that Romney recently hired as his foreign-policy spokesman Richard Grenell, a former George W. Bush administration official who is gay and has expressed support for same-sex marriage.","Levenson, Michael",2012-05-01,Mitt Romney striving to win over the right,National,Boston Globe,1157.0,168,Romney
183," The first nominating contest is expected to be fewer than 90 days away and Romney's rounding into form may help his technocratic aura, even as some of the party's more ideological activists remain suspicious or skeptical of his core beliefs, particularly on social issues. Patrick Griffin, a New Hampshire-based political consultant who is unaligned in the presidential race, was impressed when he caught Romney for the first time in this cycle at a town hall meeting late last month at Saint Anselm College, where Griffin is a senior fellow at the New Hampshire Institute of Politics.","Mooney, Brian C",2011-10-18,Lessons from '08 strengthen Romney,National,Boston Globe,1392.0,183,Romney
195," The same outcome is possible this time. [...] Romney's rejection by the most conservative factions of the Republican Party is good news for him in a general election, when moderate is not a dirty word.","Vennochi, Joan",2012-03-15,Running on id,Editorial,Boston Globe,712.0,195,Romney
197," When Mitt Romney's longtime campaign adviser Eric Fehrnstrom was asked on CNN if Romney risked losing moderate voters by appearing too conservative in the Republican primaries, Fehrnstrom replied: I think you hit a reset button for the fall campaign. Protestant ministers from London to Boston--important community and political leaders of their day--prided themselves on being sincere and speaking from the heart (thus the invention of the sermon; reading from prepared texts was for Anglicans).","Magill, R Jay, Jr",2012-04-01,The case against sincerity in politics,Ideas,Boston Globe,1793.0,197,Romney
215," [...] the decision in Nevada, combined with scheduling restrictions from New Hampshire election laws and traditions, could push the Iowa caucuses into Christmastime, a prospect Gardner seeks to avoid. Romney criticized over appearance at summit Republican presidential candidate Mitt Romney is taking flak from a progressive group for planning to speak this weekend at a Values Voter Summit immediately before a controversial conservative figure.","Schoenberg, Shira",2011-10-07,Nevada caucus could push N.H. to Dec.,National,Boston Globe,890.0,215,Romney
226," [...] Perry's strong opposition to abortion rights and gay rights, and his open embrace of Christianity, put him to the right of the state GOP, which has traditionally nominated moderates, such as former governor William F. Weld, who espouse a mix of fiscal conservativism and liberal social views.","Levenson, Michael",2011-09-14,"In Bay State, Perry takes aim at Romney",National,Boston Globe,1070.0,226,Romney
238," Guests: Governors Deval Patrick of Massachusetts and John Kasich of Ohio; Kasim Reed, mayor of Atlanta; Kevin Madden, Romney adviser; Steve Schmidt, former McCain 2008 strategist; Neera Tanden, president of the Center for American Progress; Bill Bradley, former senator from New Jersey. 10:30 a.m. (7) This Week in Business.Topics: Regional job growth; Boston's innovation district; bringing a casino to Suffolk Downs; expanding the Convention Center; summer jobs; Boston as a biking city; US jobless figures; Curt Schilling's company faces independent audit; Massachusetts as a big data research hub.",,2012-06-03,Late TV Listings,National,Boston Globe,363.0,238,Romney
239, Unions plan to boycott Democrats' convention WASHINGTON - More than a dozen trade unions are planning to sit out the 2012 Democratic convention because they are angry it will be held in a right-to-work state.,"Schweitzer, Sarah",2011-08-13,Romney defends his comments about corporations,National,Boston Globe,391.0,239,Romney
243," At the event, Romney delivered a 15-minute stump speech, promoting his experience in the private sector, decrying the ballooning national deficit, and declaring that if he wins the New Hampshire primary, he will win the Republican presidential nomination.","Levenson, Michael",2011-11-19,Romney backs aides on '06 purchase of hard drives,National,Boston Globe,913.0,243,Romney
245," The upcoming Republican primary calendar holds a dwindling number of opportunities for the former senator, making it difficult for him to rebound from the defeat he suffered Tuesday in Illinois. Polls of voters in Illinois Tuesday demonstrated that Santorum won the support of ""very conservative"" voters, 48 percent to 33 percent, while Romney captured most of the votes from those who were somewhat conservative, moderate, or liberal, according to CNN.","Rowland, Christopher",2012-03-21,Going gets tougher for Santorum as focus shifts north,National,Boston Globe,982.0,245,Romney
251," Rick Perry and Mitt Romney, after weeks of subtle jabs at each other on the campaign trail, abandoned all prior graciousness during a debate last night and began vigorously squaring off over Social Security, health care, and who has the best record as a job creator. Romney's record on health care came under renewed scrutiny, with no candidate on the stage approving of Romney's decision to support a mandate that Massachusetts residents obtain health insurance.","Viser, Matt",2011-09-08,"Perry, Romney spar in debate",National,Boston Globe,1373.0,251,Romney
261," MIAMI - A combative Newt Gingrich and his GOP rival Mitt Romney, relying more on projecting a sense of sincerity, courted South Florida's potent Hispanic vote yesterday in a tightening race in the state. During an interview with the Spanish-language network Univision, Gingrich ridiculed Romney for suggesting during a debate Monday that illegal immigrants would return to their own countries through ""self-deportation"" if employers demanded they show a government-issued ID to keep working in the United States.","Johnson, Glen",2012-01-26,"Gingrich, Romney ramp up fight for Fla. Hispanic vote",National,Boston Globe,900.0,261,Romney
264," Everybody seemed pretty happy with it at the time, even National Rifle Association types, who extracted some concessions in return for the ban on AK-47s, Uzis, and other exotics. [...] the national electorate has lurched to the right, forcing Romney into inelegant contortions to explain even positions considered firmly Republican a few years ago.","Abraham, Yvonne",2011-09-08,Shot through with humor,Metro,Boston Globe,655.0,264,Romney
268," [...] with Newt Gingrich having caught the Tea Party trade winds, Romney is scrambling to chart a new course. Temperamental outbursts can create problems if they drive talented people away or turn an important decision-maker's inner circle into a group of eager-to-placate yes-men and women who tiptoe around a short-tempered boss.","Lehigh, Scot",2011-12-09,When Romney gets rattled,Editorial,Boston Globe,688.0,268,Romney
271," After The Washington Post published a story last week on the half-century-old incident, Romney's explanation - ""back in high school, I did some dumb things, and if anybody was hurt by that or offended by that, I apologize"" - was sufficient to stanch the political damage.",Anonymous,2012-05-15,Romney:A 'presidential moment',EditorialOpinion,Boston Globe,215.0,271,Romney
278," Beginning April 16, Murray will lead a five-day trade mission to the Nordic country, holding a series of meetings with government officials and business executives, with the goal of drumming up investment in Massachusetts' medical device, research and development, and life sciences industries.","Levenson, Michael",2011-04-10,Murray leading a junket to explore greater Bay State trade with FinlandDemocrats celebrate health law - with special thanks to RomneyPatrick begins his book tour on `Today' show,Metro,Boston Globe,624.0,278,Romney
284," Polls indicate Pennsylvanians are just as torn about Santorum today as they were six years ago, when he failed in his reelection bid for a third term, losing to Democrat Bob Casey by 18 points, the widest margin anyone can remember. According to recent polls, Romney has been cutting into Santorum's lead.",Bobby Caina Calvan,2012-04-07,Santorum moves fuel predictions he will exit,National,Boston Globe,1158.0,284,Romney
288," The measure, which the White House named after billionaire investor Warren Buffett, calls for extremely wealthy taxpayers to pay at least 30 percent of their income in federal taxes.","Bender, Bryan",2012-04-13,"In New Hampshire, Biden raps Romney's tax stance for the rich",National,Boston Globe,848.0,288,Romney
