,author,date,section,word_count,abstract
0,"Sweeney, Emily","Jan 1, 2012",South,1218,"
According to the Brockton District Court clerk's office, his next court date is Jan. 26.  According to the assessors' office, Maksy got a good deal:
"
1,"Rowland, Christopher","Jan 1, 2012",National,1435,"
DES MOINES - Iowa voters may be on the verge of delivering a caucus plot twist Tuesday that seemed unlikely just a few short weeks ago: propelling Mitt Romney toward the Republican presidential nomination.  Voters will gather Tuesday evening in county auditoriums, school gymnasiums, and senior centers to elect individual caucus chairmen, listen to five-minute speeches from the supporters of each candidate, and then cast ballots.
"
2,"Marquard, Bryan","Jan 1, 2012",Metro,1523,"
While 2012 takes its first breaths, pause to consider some of what lies ahead, from culture to politics, technology, the economy, sports, and casinos that may crop up in sight of the city on a hill.  Massachusetts gets a double dose, with the US Senate race between Republican incumbent Scott Brown and Elizabeth Warren, the presumed Democratic nominee, sure to generate nearly as many acidic ads as the presidential contest.
"
3,"Johnson, Glen","Jan 1, 2012",Metro,708,"
Since losing his first campaign in 2008, Romney has worked methodically and relentlessly to put himself into the position where he now stands: atop most polls leading into the crucial Iowa caucuses Tuesday and the New Hampshire primary one week later.
"
4,"Dodd, Josh","Jan 1, 2012",Letters,309,"
[...] Hamilton promoted the controversial federal assumption of states' debt, as part of a compromise that placed the nation's capital in Washington. 
"
5,"Neyfakh, Leon","Jan 1, 2012",Sunday,2576,"
[...] as our ability to mine vast amounts of information improves, the effort to invent the next generation of prediction tools has been fueled by an explosion of personal data, which offer the tantalizing prospect of much more fine-grained predictions through the analysis of details about people's lives.
"
6,"Zimmer, Ben","Jan 1, 2012",Sunday,899,"
CNN's Candy Crowley told The Plain Dealer of Cleveland at the dawn of the decade that the shorter pronunciation saves valuable time for television correspondents.  When the apocalyptic movie 2012 was released a few years ago (turning Mayan calendrical prophesies about the end of the world into a big-budget disaster flick), the trailers called it two thousand and twelve - perhaps as a callback to the epic nature of Kubrick's 2001.\n
"
7,"Carroll, James","Jan 2, 2012",Opinion,703,"
The future is the realm in which disappointment is unthinkable.  [...] every presidential campaign is necessarily built on hope.\n
"
8,"Levenson, Michael","Jan 3, 2012",National,1022,"
POLK CITY, Iowa - They are the hand-wringing holdouts of Iowa, unpersuaded by the onslaught of advertisements, unmoved by the patriotic political rhetoric, the debates, the endorsements, the folksy aphorisms, the family testimonials.  Even yesterday, in the final, frigid hours of the race, as the candidates charged into diners and banquet halls, shaking hands and pleading for votes, Iowans were to a surprising degree unwilling to settle on a favorite.
"
9,"Syre, Steven","Jan 3, 2012",Business,717,"
[...] the price of gasoline - something we see and pay every week - is also an important influence on consumer confidence and could hurt momentum this year.  Expect more mergers and consolidation of health services into giant medical networks reacting to pressures to cut costs and accept more financial risk.
"
10,"Rowland, Christopher","Jan 4, 2012",National,1059,"
""There remains a clear battle over who is going to dominate in the Republican Party,"" said David Redlawsk, a political science professor and director of polling at Rutgers University.  Paul's success in Iowa was built on a fervent coalition of students, libertarians, and Tea Party activists whose dedication helped them score well in a caucus environment, which requires two hours of commitment on a weeknight.
"
11,"Allen, Evan","Jan 4, 2012",Metro,539,"
NEWTON - US Representative Barney Frank took another shot last night at the political system from which he is soon retiring, contending that uncontrolled spending by special interests, an uniformed electorate, and a complicit news media have contributed to a breakdown of honesty in politics.
"
12,"Killeen, Wendy","Jan 5, 2012",North,647,"
FIGHT SONG:  Since 2002, musician Christine Baze of Salem has made more than 100 stops throughout the United States and Canada with The Yellow Umbrella Tour, which is aimed at educating and empowering women about cervical cancer prevention. 
"
13,,"Jan 5, 2012",National,289,"
8 - The votes that separated Mitt Romney (30,015) from Rick Santorum (30,007) 122,255 - Number of caucusgoers 6 - The difference between the number of votes Romney received in 2008 (30,021) and Tuesday night 6 - Hours it took to tally the vote 25 - Percent of vote shared by Santorum and Romney 25 - Percent of vote Romney garnered in 2008 10 - Major candidates who in 2011 entered the race for the Republican presidential nomination (Mitt Romney, Tim Pawlenty, Michele Bachmann, Rick Santorum, Rick Perry, Ron Paul, Jon Huntsman, Newt Gingrich, Herman Cain, and Gary Johnson) 6 - Republican presidential candidates today (minus Pawlenty, Cain, Johnson, Bachmann) 1 - Republican candidate switched to Libertarian Party (Johnson) 99 - Iowa counties visited by Santorum 99 - Number of counties in Iowa 381 - Number of meetings Santorum had with Iowa voters and party leaders 30 - Number of campaign events Santorum held at a Pizza Ranch restaurant 5 - Romney Iowa staff members for 2012 caucuses 52 - Romney Iowa staff members for 2008 caucuses 13 - Millions of dollars spent on advertising in Iowa, much of it negative. 3.5 - Millions of dollars spent on advertising, much of it negative, by Restore Our Future, a super PAC supporting Romney 1 - Candidate not competing in Iowa (Huntsman) 1 - Candidate staking it all on New Hampshire (Huntsman) 28 - Number of delegates to be awarded from Iowa 0 - Number of delegates from caucuses; the vote is nonbinding and only begins the process of selecting delegates to the national convention 1,144 - Number of delegates it takes to win GOP presidential nomination 6 - Date of November's presidential election Source: 
"
14,Dan Wasserman,"Jan 5, 2012",,,"
A Dan Wasserman editorial cartoon spoofs Republican presidential candidate Rick Santorum's tie with W. Mitt Romney in the Iowa caucuses January 3, 2012.
"
15,"Vennochi, Joan","Jan 5, 2012",Editorial,715,"
Last October, Amy Sullivan pointed out in Time that ""if you're a purist conservative Catholic, Santorum is your man; the defining issue of his Senate career was the fight he led to ban so-called `partial-birth' abortion.""
"
16,"Burns, Nicholas","Jan 6, 2012",Opinion,786,"
[...] Republicans cannot rely on their customary tactic of painting Democrats as soft on national security.
"
17,,"Jan 7, 2012",Living Arts,464,"
In 1800, the 13th president of the United States, Millard Fillmore, was born in Summerhill, N.Y. In 1894, one of the earliest motion picture experiments took place at the Thomas Edison studio in West Orange, N.J., as Fred Ott was filmed taking a pinch of snuff and sneezing.  An Iberia Caravelle jetliner crashed into a mountain while on approach to Ibiza Airport in Spain, killing all 104 people on board. 
"
18,,"Jan 8, 2012",National,348,"
The New Hampshire primary; the future of higher education, preparing students for the workforce; the future of community colleges; the US unemployment rate drop; MBTA proposes a fare increase and service cuts; President Obama's new defense strategy; US auto sales soar. 
"
19,"Rowland, Christopher","Jan 9, 2012",National,1121,"
The three major factions within the GOP - represented by Santorum and social conservatives; Ron Paul, with his Tea Party movement deficit hawks; and Mitt Romney, backed by the business, government, and foreign policy establishment - are in competition to define what the party stands for.  [...] we are, to their empire! Tea Party movement favorite Senator Rand Paul of Kentucky took the stage before his father and spelled out the mission: The Republican Party is an empty vessel unless we imbue it with values.
"
20,"Kayyem, Juliette","Jan 9, 2012",Editorial,757,"
The wars in Iraq and Afghanistan were brutal reality checks, proof that predictions about the future are rarely correct.  [...] as our focus turns toward the Pacific and Asia, the new strategic-guidance report offers a lot of tea leaves, nothing more.
"
21,"Kranish, Michael","Jan 11, 2012",National,1457,"
In the following two years, Romney provided that help, raising money for Republican candidates across the state, including sheriffs, councilors, state House and Senate candidates, and congressional aspirants.  With Sununu running the state Republican Party starting in 2009, and while Romney was helping to finance candidates, displeasure with Democrats and President Obama was on the rise, and the 2010 midterm elections became a huge GOP success.
"
22,"Lehigh, Scot","Jan 13, 2012",,,"
Scot Lehigh states he is here to help you decipher the 2012-model Mitt Romney.
"
23,"Levenson, Michael","Jan 14, 2012",National,1201,"
""Mitt Romney helped create and ran a company that invested in struggling businesses, grew new ones, and rebuilt old ones, creating thousands of jobs,"" the announcer says as the names Staples, Sports Authority, and Steel Dynamics flash across the screen.
"
24,,"Jan 15, 2012",Metro,705,"
Mitt Romney, Rick Perry, and Newt Gingrich are not just disputing President Obama's policies but his belief in the country, its Constitution, and its founding principles.
"
25,"Andersen, Travis","Jan 18, 2012",Metro,868,"
Elizabeth Childs of Brookline, who has formally declared she will join the race.  Besides Kennedy on the Democratic side, Michael P. Ross, a member of the Boston City Council, has announced the formation of an exploratory committee.\n
"
26,"Tuttle, Kate","Jan 18, 2012",Living Arts,697,"
Hoover's response to the snowballing bank failures was to call a national bank moratorium - in effect, blocking Americans from withdrawing all their cash by simply closing all the banks.
"
27,"Burns, Nicholas","Jan 20, 2012",Opinion,918,"
[...] it would be a serious strategic mistake to strike Iran now and give up on the most promising sanctions campaign in years.  [...] we should not discount the possibility that diplomacy might be the ultimate answer to the Iran threat.
"
28,,"Jan 20, 2012",Living Arts,520,"
In 1986, the United States observed the first federal holiday in honor of slain civil rights leader Martin Luther King Jr.  In 2011, federal authorities orchestrated one of the biggest Mafia takedowns in FBI history, charging 127 suspected mobsters and associates in the Northeast with crimes spanning decades. 20history.\n 
"
29,"Preer, Robert","Jan 22, 2012",South,866,"
Correction: 1/29/2012 - Correction:  Because of a reporting error, a Jan. 22 Globe South article incorrectly characterized the congressional district lines in Raynham. 
"
30,"Kandarian, Paul E","Jan 22, 2012",South,278,"
The kitchen is in a newly purchased duplex that houses eight formerly homeless men and two staff managers. 
"
31,,"Jan 22, 2012",National,396,"
Imran Khan, Pakistani political activist; David Frum, Republican analyst and columnist; Arianna Huffington, founder, The Huffington Post; Steven Rattner, former Obama administration ""car czar""; Mort Zuckerman, publisher. 10 a.m. and 1 p.m. (CNN) Face the Nation With Bob Schieffer.  Presidential candidate Newt Gingrich; Senator Lindsey Graham of South Carolina and Governor Haley Barbour of Mississippi; John Dickerson, CBS News; Joe Klein, Time magazine; Kelly Evans, Wall Street Journal. 10:30 a.m. (4) Meet the Press. 
"
32,"Whittemore, Katharine","Jan 22, 2012",Books,935,"
Party members all have encrypted phones; there are officially unacknowledged ""black jails"" that secretly hold prisoners; and the Politburo Standing Committee, which makes the top decisions, is almost never seen in public.  His ""Country Driving: A Journey Through China from Farm to Factory"" (Harper, 2010) is so wonderful, full of tableaux like the provincial highways where poor farmers dump their grain, so travelers will drive over the harvest, threshing it with their car wheels.
"
33,"Lewis, Kevin","Jan 22, 2012",Ideas,700,"
According to a recent analysis, both fraternities and sororities might be better described as affiliations of B+ students.
"
34,"Johnson, Glen","Jan 23, 2012",National,855,"
Romney warned against candidates who are ""picking up the weapons of the left"" in their attack on him and said, ""If Republican leaders want to join this president in demonizing success and disparaging conservative values, then they're not going to be fit to be our nominee.""  [...] when debate challenges and questions about releasing this income taxes revealed a political brittleness, there was only a thin reservoir of support upon which to draw.
"
35,,"Jan 23, 2012",Living Arts,371,"
Rock musician Nick Harmer (Death Cab for Cutie) is 37.  John Walker Lindh, a US-born Taliban fighter, was returned to the United States to face criminal charges that he had conspired to kill fellow Americans. 
"
36,"Putnam, Tom","Jan 24, 2012",Editorial,698,"
When those leaders double-crossed him and announced their intention to raise prices anyway, JFK described their plans as an ""unjustifiable and irresponsible defiance of the public interest by a tiny handful of steel executives whose pursuit of private power and profit exceeds their sense of public responsibility.""
"
