,author,date,section,word_count,abstract,headline,source
0,"Bedard, Greg A","Mar 4, 2011",Sports,610," After meeting for several hours at the Federal Mediation and Conciliation Service offices yesterday, the sides agreed to extend the deadline for reaching a collective bargaining agreement until midnight tonight. According to league sources, this does indicate that they are any closer to a new CBA.",NFL deadline extended by a day,Boston Globe
1,"Levenson, Michael","Mar 2, 2012",National,1046," ATLANTA - Rick Santorum, hoping to narrow the Republican presidential contest to a duel with Mitt Romney, put pressure on Newt Gingrich yesterday in his old home state of Georgia, suggesting that a loss here on Super Tuesday could force the former speaker out of the race. [...] the fact that Santorum flew here for two rallies yesterday between visits to Ohio and Washington state shows that this state could prove pivotal, either as the spark that revives Gingrich's chances or as the clapboard that marks the end of his up-and-down run for the White House.","Santorum forays into Georgia, hoping to upend Gingrich",Boston Globe
2,,"Mar 12, 2012",Letters,532," Professor of Mechanical Engineering, MIT Cambridge Sununu ignores the most prominent demagogue on his side of the aisle IT IS simply unbelievable to me that John E. Sununu could pen an op-ed decrying demagoguery at the pump and fail to mention the most dishonest and blatant example of such rhetoric - Newt Gingrich's ridiculous battle cry of ""$2.50 gas,"" which is now a central plank of the Gingrich campaign.",GAS PRICES ON THE RISE,Boston Globe
3,"Wallack, Todd; Healy, Beth","Jan 20, 2012",Business,1048," Firms such as Bain frequently set up shop in the Caymans and other tax havens to attract foreign investors who do not want to pay taxes to the United States, or American pension and endowment funds that normally cannot participate in certain types of investments without facing tax penalties, the specialists said.",CAYMAN FUNDS SPUR SCRUTINY FOR ROMNEY,Boston Globe
4,"Abraham, Yvonne","Aug 21, 2011",Metro,645," The new agency is designed to protect consumers from the deceptive, predatory practices of mortgage and credit card companies, and of banks - the institutions that led us into the subprime morass, derailed the economy and, in some cases, were rewarded with bailouts using our money.",A voice we need to hear,Boston Globe
5,,"Apr 23, 2012",EditorialOpinion,160," Regarding Senator Brown's stance on the Buffett rule (""Foes set to pounce on Brown 'no' vote,"" Page A1, April 17), and John Sununu's anti-Buffett rule screed (""Obama's cynical tax campaign,"" Op-ed, April 16): What if professional athletes got Congress to rewrite the tax code so that earnings from playing sports were taxed at 15 percent, even though the earnings of ordinary workers are taxed at up to two and a half times that rate?",Buffett rule simply a matter of fairness,Boston Globe
6,"Teitell, Beth","Jan 26, 2012",Living Arts,1142," Ward, the founder of the pet-obesity prevention group, blames the ""super sizing"" of American pets on several factors: the growth of sugary pet treats; the normalization of obesity in the human population; and the trend of rewarding pets with food for everything they do. (You might recall that Jerry and Elaine faced a somewhat similar problem on ""Seinfeld,"" as they gained weight eating what they thought was diet frozen yogurt.) But as nice as it would be to blame diet pet food, it's not the only culprit, said Deborah Linder, co-author of the Tufts diet pet food study, and a second year resident at Tufts veterinary school.","MY DOG'S NOT FAT, HE'S BIG BONED",Boston Globe
7,"Rezendes, Michael","Jun 7, 2012",Metro,1225," [...]small donors are often the volunteer foot soldiers of a campaign's ground operation, making phone calls on behalf of the candidate, posting lawn signs, and driving voters to the polls on Election Day.",Obama winning battle for small donors,Boston Globe
8,"Woolhouse, Megan","Aug 9, 2011",News,1058," President Obama tried to restore confidence in a midday speech addressing the credit rating downgrade, saying Congress will need to address tax reforms and entitlement programs in upcoming months to fix the political dysfunction contributing to a crisis in the stock market. While the downgrade may have been a catalyst for the sell-off, analysts said the steep decline was driven by deeper concerns about the US and European debt, stalling economic growth, and the lack of options to jump-start the economy.","An avalanche of worry World markets plunge on fears over US, European economies",Boston Globe
9,Anonymous,"Mar 27, 2012",Editorial,227," No, the change of venue won't affect the substance of the discussion on the global economy, and the summit of the leaders of eight leading economies is a natural event for Camp David, the exclusive and highly secure presidential retreat in Maryland that Obama hasn't much used.",Running from the Occupiers,Boston Globe
10,,"Nov 19, 2011",Editorial,391, [...] the Romney team went to extraordinary lengths to avoid surprises or embarrassments in a future presidential campaign.,Deleted e-mails show need for stronger public records law,Boston Globe
11,"Tracy, Jan","Aug 19, 2011",National,1357," The 17-year-old had driven four hours from his Minneapolis suburb to ask the presidential candidate to respond to a rash of teen suicides in her district, many of them by gay students. Bachmann, an evangelical Christian who in the past has called homosexuality a dangerous ""sexual dysfunction"" that amounts to ""personal enslavement,"" paid no mind to the wiry, bespectacled teen in braces.",Bachmann avoids gay rhetoric,Boston Globe
12,"Tracy, Jan","Aug 7, 2011",National,1403," ""While many of us in the field end up raising private philanthropy to do the work, it is very important that labs have access to NIH dollars so more research can actually be done,"" said Dr. Leonard Zon, director of the stem cell program at Children's Hospital and founding president of the International Society for Stem Cell Research. Since 2009, the NIH has released more than $300 million for research on human embryonic stem cells, provided the cells are derived from donated embryos that would otherwise be discarded from fertility clinics.",Most in GOP field would scale back stem cell funding,Boston Globe
13,Anonymous,"Aug 20, 2011",Living Arts,450," In 1977, the United States launched Voyager 2, an unmanned spacecraft carrying a 12-inch copper phonograph record containing greetings in dozens of languages, samples of music and sounds of nature. In 2010, President Barack Obama invited Israel and the Palestinians to meet face-to-face in Washington for talks aimed at achieving a historic agreement to establish an independent Palestinian state and secure peace for Israel. 20history.ART",This day in history,Boston Globe
14,"Casey, Ross","Oct 29, 2011",News,1060," [...] Winn himself was charged with just two misdemeanor criminal violations, for a total of $4,500 in donations he gave to the campaigns of Representatives Michael Capuano and Stephen Lynch.",Developer to admit campaign fraud,Boston Globe
15,"Borchers, Callum","Jun 6, 2012",National,770," [...]while there is a bigger prize at stake in 2012 - the White House - Club for Growth Action has not touched the presidential race, and its major donors have contributed little to presumptive GOP nominee Mitt Romney.",Tea Party super PAC pours funds into congressional races,Boston Globe
16,Anonymous,"Apr 2, 2011",Living Arts,1123," WESTON - It wasn't lunch time, but first- and second-graders at the Meadowbrook School were sitting around a table that was set for a formal meal. {bull} ""Before we touch our water, what's the first thing we do?"" asked Susan Callender, who sat with rod-straight posture at the head of the table, a meticulously fashioned ringlet framing her face. {bull} Emily Grape, 8, shot her hand up. Yet when Mark DeMoss, a conservative who heads a public relations firm in Atlanta, attempted to rally support from governors and members of Congress for the Civility Project, a pledge to be civil in public discourse, he got nowhere.",Susan Callender says civility and proper communication skills lead to a more mannered society,Boston Globe
17,"Sununu, John E","Jul 18, 2011",Opinion,742," [...] never. (His polite attempts to make the point over the crosstalk fell on deaf ears.) Throughout a distinguished career with the Clinton administration, the Federal Reserve Bank of New York, and the Treasury Department, he has been a policy-maker, a regulator, and an overseer.",A glut of bureaucrats,Boston Globe
18,"Emery, Theo","Jul 16, 2011",National,825, Constituents are concerned that an impasse could decimate markets - and their retirement savings plans - or that a deal packed with only spending cuts would slice such benefits as Medicare and Social Security.,Stakes high in debt talks for moderate GOP senators,Boston Globe
19,"Carroll, James","Mar 26, 2012",Opinion,710," Against the fantasy that US troops would be summarily brought before the court, Congress passed the American Servicemembers Protection Act. [...] under the Obama administration, American attitudes have moved from outright hostility to selective cooperation.",Much to gain for US in world court,Boston Globe
20,Dan Wasserman,"Jul 20, 2011",,," A Dan Wasserman editorial cartoon depicts the Democratic Party saying President Barack Obama is ""backpedaling again"" on spending, nominees, taxes, spying, cuts, and wars.",Editorial cartoon,Boston Globe
21,"Guilfoil, John M","Oct 11, 2011",Metro,1071," The crowd of protesters, energized by the sudden appearance of the Boston and Transit police officers, chanted, ""The people united will never be defeated,"" ""This is a peaceful protest,"" and ""the whole world is watching."" The notice informed the group of laws against trespassing on a new patch of the Greenway - bordered by Congress Street, Atlantic Avenue, Pearl Street, and Purchase Street - where tents had sprung up since about 4 p.m. The notice also included the potential legal consequence for unlawful assembly (up to one year in prison and up to a $500 fine) and trespassing (30 days in jail and $100 fine).",Police arrest protesters on Greenway,Boston Globe
22,"Wallack, Todd","May 15, 2011",Business,842," Because we need to move from the economy we had in 2007 - which was no savings, high debt, your house was your ATM - to an economy where people are saving and investing and creating jobs. First off, if I were to tell you Jan. 1 that the Middle East was going to blow up, we would have one of the largest natural disasters ever in Japan, there would be problems between the President and Congress over the budget and the deficit, you'd say that would be a bad environment to invest.",Reynolds is outspoken advocate for overhaul of US retirement system,Boston Globe
23,Anonymous,"May 27, 2011",Living Arts,237," (The spiffy crowd was serenaded by Kristin Chenoweth.) Britain is not renowned for its food - beans and toast, anyone? - but the menu was an appetizing medley: grilled fillet of Highlands beef and crushed Jersey Royal potatoes and a classic pecan pie and brandy ice cream for dessert.",Rafanelli's party for a queen (and a president),Boston Globe
24,"Schoenberg, Shira","Mar 17, 2012",National,621, A growing chorus of conservatives are calling on former House speaker Newt Gingrich to drop out of the Republican presidential race after Gingrich failed to win even the Southern states that play to his strengths.,Gingrich withdrawal may not aid Santorum,Boston Globe
25,"Montgomery, Lori; Irwin, Neil","Oct 5, 2011",Business,599," With his strong words, Bernanke reinserted himself into the roiling political debate over the nation's fiscal policy at a time when he is already under fire from some Republican presidential candidates, among others, for overplaying his hand as Fed chairman.","Recovery on brink, Fed chief says",Boston Globe
26,"Vennochi, Joan","Aug 11, 2011",Editorial,678," Bork is remembered mainly for his failed bid to become a Supreme Court justice, after a contentious nomination fight that focused on his right-wing positions. Shoving aside fellow Republican and acting Governor Jane Swift in order to run in 2002 also didn't help Romney with female voters.",Romney's woman problem,Boston Globe
27,"Lehigh, Scot","Nov 16, 2011",Editorial,707," Absent a deficit deal, Republicans will be accused of caring more about retaining the Bush tax cuts for upper earners than about protecting Medicare, Medicaid, and Social Security for everyday Americans. [...] that's a big political problem.",The deal the GOP should take,Boston Globe
28,"Salz, Norbert","Apr 12, 2011",Letters,776," Chicopee Echoes of an absent voice RE THE April 8 articles ""Nation girds for a shutdown"" (Page A1) and ""Victoria Kennedy focuses on preserving a legacy"" (Metro): The juxtaposition of the ceremonial groundbreaking of the Edward M. Kennedy Institute for the United States Senate with the ongoing budget battle between Republicans and Democrats highlights the stark contrast in vision between Democrats who work to preserve valuable federal programs that benefit large portions of the American populace and Republicans whose only goal seemingly is to cut the federal budget past the bone and into the marrow.",TACKLING THE FEDERAL BUDGET,Boston Globe
29,"McMorrow, Paul","Jan 24, 2012",Opinion,576," The companies were bleeding cash because they hadn't saved enough to cover all the souring mortgages they'd guaranteed, and they got a taxpayer-funded bottomless line of credit because their continued existence was needed to avoid a complete housing market shutdown.",A punt on Fannie and Freddie,Boston Globe
30,"Cullen, Fergus","Dec 22, 2011",Opinion,725," Aspects of his candidacy echo earlier presidential primaries in New Hampshire and give the feeling of political deja vu. When former New Hampshire Governor John H. Sununu recently attacked Gingrich on behalf of Mitt Romney for Gingrich's opposition to the 1990 budget deal that broke President George H.W. Bush's ""no new taxes"" pledge, it wasn't the first time a strong-willed New Hampshire governor went beyond a campaign's control.",Political reincarnation: What's old is Newt again,Boston Globe
31,,"Oct 17, 2011",Living Arts,318," Book lovers were able to see Chuck Klosterman, who promoted ""The Visible Man""; author and keynote speaker Michael Ondaatje, best known for ""The English Patient""; Siddhartha Mukherjee, who wrote the Pulitzer Prize-winning ""The Emperor of All Maladies: A Biography of Cancer""; Pulitzer-winning ""A Visit From the Goon Squad"" author Jennifer Egan; Meg Wolitzer, who spoke about ""Funny Kids' Fiction""; the always ""Wicked"" Gregory Maguire; acclaimed novelists Ha Jin and Jennifer Haigh; and the still-ravenous Very Hungry Caterpillar, who showed up at the StoryPlace event where kids could meet with their favorite book characters.",Names,Boston Globe
32,"Reed, James","Jul 9, 2011",Living Arts,771," ""Rejoice and Shout"" follows a loose chronology, putting gospel in it historical context with archival footage of social unrest and some of the genre's most gripping performers.",Singing the praises of gospel,Boston Globe
33,Anonymous,"Sep 1, 2011",Living Arts,427," In 1995, a ribbon-cutting ceremony was held for the Rock and Roll Hall of Fame and Museum in Cleveland. In 2010, President Barack Obama convened a new round of ambitious Mideast peace talks at the White House as he hosted Israeli Prime Minister Benjamin Netanyahu and Palestinian President Mahmoud Abbas in the first face-to-face negotiations in nearly two years. 01history.ART",36pt. MGC hed centered 2 linesggg DEAR MARGO,Boston Globe
34,"Shanahan, Mark; Goldstein, Meredith","Aug 23, 2011",Living Arts,349," First lady Michelle Obama, meanwhile, ventured into Edgartown yesterday to have lunch at The Atlantic Fish & Chop House.",The talk of the Vineyard,Boston Globe
35,Anonymous,"Aug 9, 2011",Opinion,493," Declaring that ""I will never vote to raise taxes"" sounds a lot cleaner than saying, ""I will fight to preserve tax benefits for oil and gas companies with record profits.""","S&P; mucks up the math, but sounds a needed wake-up call",Boston Globe
36,"Viser, Matt","Apr 11, 2011",National,1180," The comments reflect how the political environment surrounding once-sacred social benefits for the elderly and the poor is rapidly shifting, giving hope to deficit watchdogs who anticipate that the upcoming campaign season promises to feature the most robust debate in recent memory on major social programs.","Obama, GOP look to rein in benefits",Boston Globe
37,"Cummings, Deirdre","May 8, 2011",Letters,284," According to the Government Accountability Office, nearly two-thirds of corporations doing business in the United States manage to pay no income taxes at all.",We shouldn't have to pick up tax tab for big business,Boston Globe
38,"Bierman, Noah","Oct 26, 2011",Metro,1157," Warren has visited the tent city in Boston just once, without advertising it on her public schedule, avoiding television cameras in a highly unpredictable environment. Sarah Sobieraj, a Tufts University sociology professor who studies politics, media, and social movements, said the Occupy protesters are frustrated with electoral politics.",Warren walks fine line on Occupy movement,Boston Globe
39,"Rezendes, Michael","May 22, 2012",Metro,927," William I. Koch, the Osterville summer resident and fossil fuel magnate who helped bankroll the opposition to the Cape Wind energy project, has emerged as a key backer of Mitt Romney's presidential campaign, donating $2 million to Restore Our Future, the super PAC supporting Romney's drive for the White House.",Cape Wind foe Koch chips in for Romney,Boston Globe
40,"Conaboy, Chelsea","Feb 6, 2012",Business,557," Would the physician be prohibited from writing the necessary prescription? The letter suggests phasing in the program, focusing on high-volume prescribers and a single drug, OxyContin. Since writing about this issue, I've heard from a couple of doctors who prescribe narcotic painkillers who said they had no idea the program exists in Massachusetts.",Doctors uneasy on painkiller screening,Boston Globe
41,,"Jun 10, 2012",National,359," Guests: the Rev. Al Sharpton; Anthea Butler, University of Pennsylvania; Judith Browne Dianis, Advancement Project; Representative Jesse Jackson Jr. of Illinois. 10 a.m. (MSNBC) This Week.Guests: David Axelrod, Obama campaign adviser; Rick Santorum, former GOP presidential contender. 10 a.m. (5) The Newsmakers.Topics: The farm bill that will come up for debate in the Senate.",Late TV Listings,Boston Globe
42,"Johnson, Glen","Jun 3, 2012",Metro,713," Coakley has declared she will seek reelection as attorney general rather than run for governor, but two years after her devastating US Senate loss to Republican Scott Brown, she has rehabilitated her career to the point where she was greeted as a heroine both at the AFL-CIO breakfast and in the convention hall.",Mass. governor's race looms in background,Boston Globe
43,,"May 29, 2012",EditorialOpinion,226, Mitt Romney's assertion that smaller class size doesn't matter because a consulting firm noted that in foreign countries it doesn't seem to make a difference.,Candidate's assertion on class size is questionable,Boston Globe
44,"Johnson, Glen","Dec 22, 2011",Metro,669," In 1997, Blute started as executive director of the Massachusetts Port Authority, a tenure cut short in 1999, when he took a workday boat cruise on Boston Harbor with a female passenger - actress Gidget Churchill - who flashed her breasts at a Boston Herald photographer who had been alerted to the voyage.",Blute returns to politics with state GOP post,Boston Globe
45,"Mooney, Brian C","Jan 21, 2012",National,991," Gingrich received standing ovations at both televised debates in South Carolina this week, lashing out at the news media, a favorite target of conservatives and Gingrich. When Fox News panelist Juan Williams suggested in the state's first debate that Gingrich was belittling poor people with his incessant attacks on food stamps and references to Obama as the ""food stamp president,"" Gingrich retorted that food stamps are being distributed at record levels and he will ""continue to find ways to help poor people learn how to get a job, learn how to get a better job, and learn some day to own the job.""",Gingrich offensive redraws race,Boston Globe
46,"Slack, Donovan; Bierman, Noah","Feb 4, 2011",National,1275," If they all end up seeking re election, two must first face each other in a primary. [...] if Frank is the Democratic nominee, that could set the stage for one of the nation's highest-profile House races in the general election, possibly a rematch with Republican Sean Bielat, who ran against Frank last year.",Frank says he will seek another term,Boston Globe
47,"Healy, Beth","Apr 14, 2012",National,459," During his State of the Union address, Obama proposed requiring the country's wealthiest - those earning more than $1 million a year in wages and investment income - to pay at least 30 percent in taxes.",Romney files for tax extension; liability estimated at $3.2m,Boston Globe
48,"Schweitzer, Sarah","Dec 21, 2011",National,1318," Yet amid the gibes, people here struggle to name their own solutions for the country's fiscal woes - perhaps a confusion reflecting the national soul, befitting a bellwether town like Ashland that almost always picks the GOP primary winner. (The Globe estimated that figure by multiplying the average Medicare payment in Grafton County, where Ashland sits, in 2009, the most recent year for which data was available, by the number of residents 65 and older in Ashland, per the Census Bureau.) Federal dollars make their way to Ashland in less direct ways, too.",N.H. town sees no easy fix for deficit,Boston Globe
49,"Phillips, Frank","May 2, 2012",Metro,1188," According to the reports, Brown receives about 15 percent of the funds, while the Republican senatorial committee receives the rest.",A second committee raises funds for Brown,Boston Globe
50,"Schoenberg, Shira","Jan 10, 2012",National,374," HENNIKER, N.H. - A worker at Mary's Bakery and Cafe had to push through a crush of cameramen yesterday to hand a cup of coffee to Mary Kaye Huntsman, wife of Republican presidential candidate Jon Huntsman.",Jon Huntsman,Boston Globe
51,Dan Wasserman,"Mar 1, 2011",,," A Dan Wasserman editorial cartoon depicts Former MA Gov. W. Mitt Romney, who is planning to run for president again in 2012, is telling a dog named ""Romney Care"" to ""Shoo! Go home! Stop following me!""",Editorial cartoon,Boston Globe
52,"Viser, Matt","Apr 21, 2012",National,1306," WASHINGTON - Mitt Romney is aggressively trying to coax high-dollar donors from the sidelines, offering incentives of special access and recognition to his top fund-raisers, as he plays catch-up to President Obama in the race for money. Several key Republican fund-raisers are now clambering aboard the Romney effort, including Al Hoffman, a contributor from Florida; John Moran, a retired chairman of a New York-based investment company who was a top fund-raiser for McCain; and Cathy Bailey, a prominent fund-raiser from Kentucky who served as ambassador to Latvia.",Romney offering perks in his bid for major donors,Boston Globe
53,"Tracy, Jan; Levenson, Michael","Jan 12, 2012",National,1147," COLUMBIA, S.C. - Two of Mitt Romney's rivals, facing what could be their last opportunity to stop his march to the nomination, redoubled their efforts yesterday to cast him as a heartless executive, setting off alarms in conservative circles. Are they fair to the American people, or are the deals being cut on behalf of Wall Street institutions and very rich people? Perry has pointed to a company in Gaffney that made photo albums and a steel plant in Georgetown that he says were closed after Romney's private equity firm, Bain Capital, acquired them.",2 Romney foes hit Bain cuts Romney foes lean hard on Bain cuts,Boston Globe
54,Anonymous,"Jan 9, 2011",Books,245," Irish Americans, African Americans, and the Politics of Citizenship During the Civil War, at 6:30 p.m., Boston Public Library, Copley Square.",Bookings,Boston Globe
55,"Vaznis, James","Feb 10, 2012",Metro,990," Winchester, as in a growing number of affluent districts, had two elementary schools and a middle school identified for improvement last fall because a subgroup of students failed to demonstrate enough progress in reaching proficiency. [...] the Pioneer Institute, a conservative-leaning public policy research organization in Boston, viewed the waiver as a step backward for a state known to have some of the nation's most rigorous academic standards.",Mass. gets US waiver on school rules,Boston Globe
56,"Schoenberg, Shira","Jun 22, 2011",National,744," Dean Spiliotes, an independent political analyst in New Hampshire not affiliated with any presidential candidate, said Huntsman's challenge will be to distinguish himself from Romney, because he will not appeal to the more right-wing segment of the state's Republican Party.",Huntsman seeks to define candidacy in N.H. primary,Boston Globe
57,"Sununu, John E","Oct 10, 2011",Editorial,803," SOME DAY, the media covering the presidential primary may get what they most want - a cage match, winner take all: eight candidates enter, one nominee leaves. [...] they'll have to settle for the current arrangement: an endless series of debates, where ""lightning rounds"" and silly questions too often subvert the opportunity for substantive exchange.",Just answer the question,Boston Globe
58,Anonymous,"Jan 6, 2011",Opinion,455," Essentially, Patrick persuaded Massachusetts that he could continue investing in education, clean energy, and an innovation-friendly economy while slowly, cooperatively cleansing government of excessive pensions, unsustainable health insurance increases, and wasteful practices like paying police to preside over every construction site.",Harder new edge gives Patrick a better chance to deliver,Boston Globe
59,"Johnson, Glen","Jun 3, 2012",Metro,627," Afterward, Kennedy told the Globe that Warren taught his first law school class - contracts - and he was so impressed with her teaching style and open-door policy with students that he later took her bankruptcy class.",Joseph P. Kennedy III vouches for Elizabeth Warren,Boston Globe
60,"Stockman, Farah","Feb 12, 2011",National,796," Kerry said that he has received a number of calls from anxious leaders in the Middle East since the successful uprising in Tunisia sparked a rash of antigovernment protests across the region, which has been ruled for centuries by conservative monarchies and military dictators.",Kerry applauds sweeping change,Boston Globe
61,,"Apr 11, 2012",Arts,606," The Club 47 Folk Revival, at the Boston International Film Festival. First lady Michelle Obama.",Daily guide,Boston Globe
62,Anonymous,"Feb 1, 2011",Metro,619," The letter dated Friday said the federal government has denied proposals to balance fishermen's needs with measures to rebuild depleted fish stocks, including Patrick's emergency request to increase catch limits.",Sports Log,Boston Globe
63,Anonymous,"Jan 23, 2011",News,440," Topics: A preview of the president's State of the Union address; legislative goals and compromise; civility in Washington. Henry Kissinger, former secretary of state; Zbigniew Brzezinski, former national security adviser; Zanny Minton Beddoes, economics editor of The Economist; David Frum, author and editor of FrumForum.com; Hendrik Hertzberg, senior editor and staff political writer for The New Yorker. 10 a.m. and 1 p.m. (CNN) Face the Nation With Bob Schieffer.",Late TV Listings,Boston Globe
64,Anonymous,"Jun 19, 2011",Opinion,672," [...] he recommends ""a managed bankruptcy"" with the federal government providing guarantees for post-bankruptcy financing.",THE NEW Mitt Romney is not a flip-flopper,Boston Globe
65,"Ebbert, Stephanie","Mar 9, 2012",Metro,1208," In an election year characterized by voter resentment of the wealthy, some GOP critics see symbolic danger in Maginn - a chief executive who began tapping his personal wealth and his software company to raise contributions as party chairman.",Bay State GOP chief taking some heat,Boston Globe
66,Anonymous,"Mar 15, 2011",Editorial,260," Representative Michele Bachmann in Manchester, N.H. It's less than a year until the New Hampshire primary, and many GOP hopefuls are testing the waters, including Michele Bachmann of the great state of Minnesota, proud home of Mount Rushmore . 1 Bachmann, of course, is one of the leading voices of the Tea Party movement, which scored a landmark victory in last year's Senate race in Kentucky, the country music capital of the world, 2 and came very close in the Grand Canyon state of Nevada. 3 As a result, the congressional Tea Party caucus is gaining clout in Washington, D.C., where Starbucks and Microsoft usually hold sway. 4 The Tea Party asks that the US government return to its revolutionary roots, back when George Washington crossed the Connecticut River 5 and wintered his troops at snowy Saratoga, 6 setting the stage for victory.","Bachmann: Two if by land, one if by sea",Boston Globe
67,,"Apr 29, 2012",National,403," The White House action, which does not need congressional approval, aims mainly at for-profit colleges that market heavily to military families because of the easy availability of federal money under the GI Bill.",Obama pushes GI Bill safeguards for veterans,Boston Globe
68,"Levenson, Michael","Jan 12, 2011",Metro,888," Plucking examples of strident speech from both parties, he deplored liberal protesters crying Death to Cheney, Tea Party activists shouting racist and antigay slurs at members of Congress, and radio talk show hosts calling President Obama and congressional Democrats communists and traitors. Urging Americans to return to ""service and sacrifice, courage and judgment, integrity and dedication,"" he said, ""these are the ideals that ought to endure, rather than partisan rancor, naked self-interest, and other corrosive effects of promoting social divisions - a kind of moral gerrymandering that saps our spirit and collective will.""","On anniversary of JFK speech, a new Kennedy voice is heard",Boston Globe
69,"Borchers, Callum","May 11, 2012",National,847," According to Wyatt, Paul wants to deliver a prime-time speech in Tampa and is adamant that the Republican platform call for barring acts of war without congressional approval and auditing the Federal Reserve Bank.","Romney rules, but Paul backers still take delegate seats",Boston Globe
70,Anonymous,"Feb 27, 2011",Opinion,310," [...] during the last campaign cycle, states like Michigan and Florida that defied party rules and scheduled early primaries saw their influence greatly diminished as parties made good on threats of punishment.","Stop it, Florida",Boston Globe
71,,"Jun 2, 2012",Foreign,148," On Tuesday, Obama used the expression ""a Polish death camp"" while honoring a Polish World War II resistance hero rather than wording that would have made clear that he meant a death camp that Nazi Germany ran on Polish soil during its wartime occupation of Poland.",Obama apologizes for Polish gaffe,Boston Globe
72,,"Jan 10, 2012",National,759," Daley submitted his resignation to Obama last week, a senior administration official said, having discussed his future with his wife over the Christmas holiday and concluding that this was the right time to leave.",Obama shakes up inner circle,Boston Globe
73,,"Nov 4, 2011",National,208," The report outlines two projects in each state and one in the District of Columbia in various stages of development, ranging from the creation of an all-season trail system in Alaska's Denali State Park to the completion of a 32-mile trail through urban areas in central Florida.",US conservation projects face funding cuts,Boston Globe
74,"Phillips, Frank","Mar 6, 2012",Metro,1026," [...] Brown has wandered off the GOP reservation enough to claim some independence, but he has also toed a strong partisan line on a number of key issues: opposing President Obama's health care bill, cosponsoring a proposal to allow employers to deny certain health care coverage on moral grounds, and opposing any tax increases, even on the wealthy.",Democratic jitters in Senate race,Boston Globe
75,"Lehigh, Scot","Feb 16, 2011",Opinion,717," Put another way, this country won't solve its long-term fiscal problems if deficit-reduction efforts are focused largely on nondefense discretionary spending, which is only about 12 percent of the federal budget, and if 98 percent of Americans are exempt from any tax increases, as Obama promised in his presidential campaign.",Obama's punt on the budget,Boston Globe
76,"Levenson, Michael","Mar 22, 2012",National,794," Rick Santorum's campaign, pushed to the brink after losing badly to Mitt Romney in Illinois, believes it has found a way to cut into Romney's delegate lead and potentially prevent the former Massachusetts governor from collecting the 1,144 delegates needed to secure the Republican presidential nomination.",Santorum seeking to coax delegates,Boston Globe
77,Anonymous,"Feb 17, 2011",Opinion,698," [...] it would bring discretionary domestic spending as a portion of the budget down to the level of the Eisenhower years, White House senior adviser David Plouffe and National Economic Council Director Gene Sperling boasted during a conference call with reporters earlier this week.",The `Mad Men' of D.C.,Boston Globe
78,"Matchan, Linda","Feb 1, 2011",Metro,1240," According to the National Association of Colleges and Employers, only 19.7 percent of the college class of 2009 and 24.4 percent of the class of 2010 had jobs waiting for them at graduation; in 2007, the rate was 50 percent.",Volunteering spirit catches fire,Boston Globe
79,"Kranish, Michael","Jan 4, 2012",National,983," Gingrich, who fell about 20 points in Iowa in 20 days after facing millions of dollars of televised attacks against him by a super political action committee that supports Romney, announced yesterday that he is planning a two-day bus tour of New Hampshire, ending speculation that he might join Bachmann in writing off the state.","As eyes turn to N.H., front-runner becomes the target",Boston Globe
80,Anonymous,"Jan 30, 2011",National,1240," Rudy Giuliani, former New York City mayor, filed paperwork for exploratory committee. Karger, who would be the first openly gay presidential candidate of either party, formed an exploratory committee on July 18. Former chief executive of Godfather's Pizza, former chairman of the Federal Reserve Bank of Kansas City, and host of Atlanta-based radio show.","A change in political seasons By Jan. 30, 2007, 11 Republicans had made formal moves - announcing exploratory committees or full-fledged candidacies - to run for president the following year. Four years later, only two notable candidates - talk-show host and businessman Herman Cain, and California political consultant Fred Karger - have made similar announcements. 2012 POTENTIAL CANDIDATES",Boston Globe
81,"Green, Joshua","Feb 10, 2011",Opinion,719," Nearly two-thirds indicated that they would prefer solutions that are anathema to Republicans, such as higher payroll and gasoline taxes, a new levy on employer-provided health benefits, and limits on popular measures like a tax deduction for mortgage interest.",Making the cut,Boston Globe
82,"vennochi, joan","Sep 15, 2011",Editorial,724," According to a Bloomberg News report, Perry received at least $23,500 in campaign contributions from the drug company, including $5,000 in 2006, the year before he ordered girls to take the vaccine. Perry previously said he ""hated cancer"" and that's why he issued an executive order that girls be vaccinated against a virus that can cause cervical cancer.",How much shifting must they do?,Boston Globe
83,Anonymous,"Mar 20, 2011",National,332," Freshman Representative Jaime Herrera Beutler of Washington state issued the challenge in the Republicans' radio address, saying senators should ""step up"" and follow the House to rein in federal spending.",The Nation Today,Boston Globe
84,"Schoenberg, Shira","Feb 22, 2012",National,792," In a presidential primary season packed with debates, tonight's could be the most critical for Mitt Romney. Since he righted his campaign with robust debate performances and a strong primary win in Florida late last month, Romney has watched his momentum evaporate before a surprising surge from rival Rick Santorum.",Romney facing hurdle in debate,Boston Globe
85,"Sutherland, Amy","Apr 29, 2012",Arts,663," In the off-season, Joe Castiglione, a.k.a. the voice of the Red Sox, has plenty of time to write (his newest ""Can You Believe It?"" is just out), teach (he's a lecturer at Northeastern University), and read. First baseball books and then American history.","Joe Castiglione: Voice of the Red Sox, history buff",Boston Globe
