,author,date,section,word_count,abstract,headline,source
0,"Landsberg, Mitchell","Nov 1, 2012",Main News; Part A; National Desk,1122,"With polls showing the presidential race to be very close in the state, it isn't hard to imagine a scenario in which an electoral college majority hangs on the results in Ohio, but no winner can be determined until Nov. 17. * In the battleground states of Colorado and Florida, a recount is mandatory if the margin between the candidates is within 0.5% of the total vote.",THE NATION; Experts say a lot could go wrong; Irregularities in the 2012 vote will be scrutinized by all sides like never before.,LA Times
1,"Mehta, Seema; Hennessey, Kathleen","Nov 1, 2012",Main News; Part A; National Desk,902,"Biden noted that the ads, which imply that the auto industry bailout overseen by Obama prompted Chrysler to move jobs overseas and GM to lay off workers, are intended to scare Ohio voters who have just recently started to recover after years of loss, and that the claims have been denounced by officials with both companies ""They called it ... a leap that would be difficult even for professional circus acrobats,"" Biden said.","CAMPAIGN 2012; In storm's wake, politics is again on display",LA Times
2,"Ryan, Danielle","Nov 1, 2012",Main News; Part A; National Desk,681,"A poll conducted in late September for the Baltimore Sun showed the measure to legalize same-sex marriage ahead by 10 percentage points, with more than 50% of African Americans supporting the idea despite a history of opposition from black churches.",Measure to legalize gay marriage loses ground in Maryland,LA Times
3,"Memoli, Michael A","Nov 1, 2012",Main News; Part A; National Desk,1001,"The double-digit lead he built over Hillary Rodham Clinton in the state after winning the Iowa caucuses was undone in five days, and her victory forced the two combatants into a six-month battle for the nomination. Andy Smith, who conducts the UNH poll, said that while Obama maintains an advantage here, enthusiasm among Democrats lags behind 2008 levels, while Republicans appear to be more motivated behind Romney than they were for Sen. John McCain.",CAMPAIGN 2012; Casting no ballot before its time; New Hampshire is the rare presidential battleground without significant early or absentee voting.,LA Times
4,,"Nov 1, 2012",Main News; Part A; Editorial Desk,958,"Lawmakers became convinced in 2005 that state and federal laws dealing with kidnapping, extortion and other crimes were not keeping up with human trafficking, and they adopted a law that was painstakingly crafted with input from law enforcement, victims, advocates and others.",ELECTIONS 2012; All propositions aren't equal; Prop. 39 does just what ballot measures are supposed to do. But Prop. 35 shows the system's flaws.,LA Times
5,"Lauter, David","Nov 2, 2012",Main News; Part A; National Desk,1228,"Even as the lion's share of attention in the presidential campaign goes to the battleground of Ohio and the storm-battered states of the Mid-Atlantic, the outcome to the south, in the nation's largest swing state, now seems very much in doubt. Obama carried the state in 2008 by just over 236,000 votes. Because the recession largely shut down white migration here from other states as the black and Puerto Rican population grew, the electorate has grown more diverse.","CAMPAIGN 2012; Romney has his back to the wall in Florida; In a must-win state for the Republican where he once held an edge, polls are now even and Latino votes vital.",LA Times
6,"Parsons, Christi; Mehta, Seema; Reston, Maeve","Nov 2, 2012",Main News; Part A; National Desk,747,"The afterglow of post-Sandy bipartisanship lingered briefly in the air of the presidential campaign Thursday, then vaporized as President Obama and his challenger, former Massachusetts Gov. Mitt Romney, threw themselves back into the political fray for a final push before Tuesday's election.",CAMPAIGN 2012; Candidates shift back into attack mode; Obama and Romney return to the trail with a pair of dueling commercials.,LA Times
7,,"Nov 2, 2012",Main News; Part A; Editorial Desk,479,"An additional $80 million in cuts to various state departments could result in the closure of some CalFire stations, eliminate seasonal lifeguards at state parks, roll back some flood-control and boating safety programs, reduce the number of park rangers and curtail some services for the developmentally disabled.",ELECTIONS 2012; The case for Prop. 30,LA Times
8,"Horsey, David","Nov 2, 2012",,,"A David Horsey editorial cartoon lampoons 2012 Republican presidential contender Mitt Romney's predicament following Hurricane Sandy in which his longtime supporter, New Jersey Gov Chris Christie, praised Pres Obama's response during tours of Christie's devastated state.",Editorial cartoon,LA Times
9,"Mishak, Michael J","Nov 2, 2012",LATExtra; Part AA; Metro Desk,678,"In 2005, Republican Gov. Arnold Schwarzenegger called a special election to promote a series of conservative ballot measures, including one that would have restricted public employee unions' collection of dues for politics.",ELECTION 2012; Labor fiercely battles Prop. 32,LA Times
10,"Landsberg, Mitchell","Nov 1, 2012",Main News; Part A; National Desk,1122,"With polls showing the presidential race to be very close in the state, it isn't hard to imagine a scenario in which an electoral college majority hangs on the results in Ohio, but no winner can be determined until Nov. 17. * In the battleground states of Colorado and Florida, a recount is mandatory if the margin between the candidates is within 0.5% of the total vote.",THE NATION; Experts say a lot could go wrong; Irregularities in the 2012 vote will be scrutinized by all sides like never before.,LA Times
11,"Mehta, Seema; Hennessey, Kathleen","Nov 1, 2012",Main News; Part A; National Desk,902,"Biden noted that the ads, which imply that the auto industry bailout overseen by Obama prompted Chrysler to move jobs overseas and GM to lay off workers, are intended to scare Ohio voters who have just recently started to recover after years of loss, and that the claims have been denounced by officials with both companies ""They called it ... a leap that would be difficult even for professional circus acrobats,"" Biden said.","CAMPAIGN 2012; In storm's wake, politics is again on display",LA Times
