,author,date,section,word_count,abstract,headline,source
0,Anonymous,"May 27, 2011",NEWS,319,,NATION: IN BRIEF,Newsday
1,"Filler, Lane","Aug 10, 2012",OPINION,632,"Here's the rule that has held up among swing voters, as it has for apathetic Super Bowl party attendees, for decades:","In this year's vote, to the likable go the spoils Undecided voters are few, and know that neither candidate can do much if elected",Newsday
2,"Rock, Tom","Jun 9, 2012",SPORTS,515,"Four years ago, they celebrated another Super Bowl victory and were greeted by President George W. Bush.","BLUE HOUSE Giants, Obama both eye repeats",Newsday
3,"With Maria Alvarez; Valenti, John","Sep 30, 2011",NEWS,503,"Habib's lawyer, Aygul Charles, said yesterday's action could be short-lived, allowing her and her mother to go on with their lives while ICE considers their request for ""deferred action"" status - assurance by the agency that removal won't be pursued for a longer period of a year or more. [...] a decision on that request, her future is unsettled.","'THE BIGGEST GIFT' LI student, in U.S. since she was 1, wins deportation stay",Newsday
4,"Hadrick, Celeste; Brune, Tom; Yancey, Roy; Brand, Rick","Sep 3, 2012",NEWS,544,"Celeste Hadrick Koch opens up at RNC Few New York delegates at last week's Republican National Convention in Tampa, Fla., drew as much attention as David Koch, the Manhattan billionaire industrialist and political donor.",SPIN CYCLE: GUIDE TO POLITICS AND POLITICIANS,Newsday
5,"Liguori, Kathy","Mar 21, 2011",OPINION,694,"[...] as school districts across New York move toward installing programs to reduce bullying, as is required by the new state Dignity for All Students Act, we need to be careful not to focus solely on the experiences of the unfortunate victims.",Time to get to the heart of bullying Nipping childhood aggression in the bud takes compassion for instigators,Newsday
6,"Gay, Verne","Sep 30, 2012",FANFARE,1040,"[...]with Carrie now a blank slate, how to reanimate that strange, passionate and (above all) self-destructive relationship with Brody that propelled the first season right up to the jaw-clenching conclusion? A thinking person's '24' There's a certain urgency to the answers, particularly for Showtime, which sees ""Homeland"" as its own ""Sopranos,"" as well as for fans who seem to have embraced this as the thinking person's ""24,"" or at least a more plausible extension of the classic Fox series.",'Homeland' hits home Who would have expected this drama about the CIA and terrorism to resonate with viewers? Certainly not the show's creators,Newsday
7,,"Jan 29, 2012",KIDSDAY,1676,"[...] I was like, OK, that went well. Since you're British, how does it feel to be so popular in a different country, and are you just as popular there as you are here?",KIDSDAY,Newsday
8,Anonymous,"Feb 11, 2011",NEWS,324,"PAKISTAN Bomb kills 31 soldiers A suicide bomber linked to the Pakistani Taliban attacked soldiers during morning exercises yesterday at an army training camp in the northwest, killing 31 troops and wounding 42 others.",ABROAD,Newsday
9,wire service reports,"Oct 10, 2011",NEWS,649,,NYC: IN BRIEF,Newsday
10,"Salit, Jacqueline","Sep 24, 2012",OPINION,786,"Independents want a less partisan system, which is why they consistently support nonpartisan reforms that downsize the power of political parties. Independent voters have made their presence felt in recent political cycles, including the midterms in 2010 and the 2008 presidential race, when independents propelled Barack Obama to the Democratic nomination via open primary and caucus states.","Does Romney get independents? This crucial voting bloc doesn't like dependency, either ... on the parties",Newsday
11,"RAMOS, VCTOR MANUEL","Aug 16, 2012",NEWS,417,"Like many others who entered the country illegally as children, Sabrozo yesterday gained a chance to seek a federal ""discretionary determination"" that would allow her to receive a Social Security number, legally hold a job and pay taxes under a policy mandated by President Barack Obama.","Chance to stay, work and study",Newsday
12,ELLIS HENICAN,"Jul 1, 2012",NEWS,485,"1 Record ratings for has-been Charlie Sheens TV return 2 No. 100 Lukas Rosol power slams Rafael Nadal 3 Eurozone leaders play nicely on Italy and Spain 4 Congress abruptly OKs student loans, highway funds and flood insurance 5 Charlie Rangel isnt quite re-elected Credit: ELLIS HENICAN","Well, didn't expect that...",Newsday
13,,"Jan 27, 2012",OPINION,307,"For this phony to continue cooking as she did while knowing she was diabetic, and to announce her condition only because she will now be a spokeswoman for Novo Nordisk, is absolutely disgusting! - dforman1 On eliminating the Triborough Amendment, which mandates that all provisions of public employee union contracts, including ""step"" increases, remain in effect even after contracts expire:",Notable on newsday.com,Newsday
14,"Napolitano, Jo","Jan 10, 2012",NEWS,383,"New York could lose $700 million in federal Race to the Top money if it fails to meet the timeline for goals outlined in its school reform agenda, U.S. education officials said yesterday.",NY school funds at risk,Newsday
15,,"Mar 2, 2012",OPINION,851,,LETTERS,Newsday
16,"DeStefano, Anthony M","Aug 25, 2011",NEWS,441,"Names of victims of both the February 1993 World Trade Center bombing and the terrorist attacks on Sept. 11, 2001, will be listed on bronze parapets surrounding the pools. Because a construction site surrounds the memorial, the reservation system was set up to limit access to 1,500 visitors at any one time.","GROUND ZERO'S WAITING LIST More than 300,000 people have signed up to visit WTC",Newsday
17,Nielsen BookScan,"Sep 2, 2012",FANFARE,268,Publishers Weekly's list of national bestsellers powered by Nielsen BookScan HARDCOVER FICTION 1.,bestsellers,Newsday
18,"Brune, Tom","Jan 17, 2012",NEWS,561,"The next day, King went on radio to criticize the bloc for creating a ""self-inflicted wound,"" undermining House Speaker John Boehner (R-Ohio) and, quoting Fox commentator Bill O'Reilly, looking like ""pinheads.""",King's critique of tea party freshmen signals divide,Newsday
19,,"Nov 4, 2011",NEWS,202,"There is no room for error and things like economy, competition, earnings expectations and the local home construction industry all must be factored in.",OUR TOWNS: Notable on newsday.com,Newsday
20,,"Dec 16, 2011",EXPLORE LI,91,,TODAY'S PICKS,Newsday
21,MAGGIE HABERMAN Politicocom,"Apr 30, 2011",NEWS,219,"On the nation's involvement in military actions overseas, he said: ""We build a school, we build a road, they blow up the school, we build another school, we build another road, they blow them up, we build again, in the meantime we can't get a (expletive) school in Brooklyn.""",Trump's vulgar rant,Newsday
22,Anonymous,"May 26, 2011",NEWS,325,,NATION: IN BRIEF,Newsday
