,author,date,section,word_count,abstract,headline,source
0,"Krawczeniuk, Borys","Jan 28, 2012",News,1596,"""And that's where the system is broken,"" Barletta said. ""In a perfect world, if you and I were trying to negotiate on something, that's exactly what we would do. If I gave you something and said, 'Take a look at this' and you don't like it, well, then change it, amend it, send me something back, give me another opportunity to find the common ground where we could pass something. But if you're going to take it and throw it a drawer, we're not going to get anywhere.""",Barletta: A Frustrating First Year,Citizens' Voice
1,,"Aug 14, 2012",Opinion,345,"Further highlighting the absurdity of the law is that the at-risk voters include some who have voted in 50 consecutive general elections, some public officials and others who are valid voters but who may encounter needless obstacles on Election Day. For example, state Rep. Frank Dermody, a Clarks Summit native and the state House minority leader, told the Pittsburgh Post-Gazette that his name is ""Francis"" on his driver's license but ""Frank"" on his voter registration card.",Judge's Ruling Should Protect Right To Vote,Republican & Herald
2,"Sisak, Michael R","Jul 30, 2011",News,365,"""With the full faith and credit of the United States, once it's lost - for whatever reason, political, philosophical, craziness, some one senator filibustering - we will never again rise to the epitome of what we are today in the finances of the world,"" Mr. Kanjorski said. ""That's a loss of incredible value that you can't replace.""",Former Congressmen Weigh In On Potential Debt Ceiling Debacle,The Times - Tribune
3,,"Sep 28, 2012",Opinion,367,"Commentator: This is the problem. There are some elderly people who have voted every year since they were eligible. But now they can't get a photo ID because they never drove a car, do not have birth certificates due to their age or they were not born in a hospital. Now, our legislators, in their collective wisdom, decided to mandate every potential voter have a certified state photo ID in order to vote. What's ironic is that we can't get people to vote in the best circumstances, and now we make it more difficult, especially within a group that included the most loyal voters.","Thunder/Enlightning, Sept. 28, 2012",Republican & Herald
4,"Swift, Robert","Sep 10, 2011",News,578,Corbett said he wasn't aware of the environmental groups' statement. He said he told his cabinet officials to get word to Marcellus Shale drillers that they needed to act promptly to prevent any overflows from well wastewater retention ponds due to the flooding.,Flood-ravaged Pa. Enters Recovery Phase,Citizens' Voice
5,,"Sep 6, 2012",Opinion,368,"One thing is for sure: The governor's posture on the government's role in business does not mesh with one of the principal themes of the convention - that the government is a drag on business, and that its only role should be to get out of industries' way. An entire night of the convention was themed ""We Built It,"" a play on President Barack Obama's assertion, on the campaign trail, that public contributions to infrastructure, education and so on are a foundation for entrepreneurial success.","Corbett, GOP Don't Mesh On Business",Republican & Herald
6,"Staub, Andrew","Jan 15, 2011",News,1029,"""We've all been children,"" said [Nora Bredes], director of the Anthony Center for Women's Leadership at the University of Rochester. ""We've all had this sense of striving for something beyond ourselves, to believe in something that's greater than ourselves.""",Political Blame Game Continues To Smolder,Citizens' Voice
7,"KRAWCZENIUK, BORYS","Mar 15, 2011",News,758,"Mr. [Jim Wansacz] blasted Mr. O'Brien for running an already negative campaign. He favors old-school politics if it means ""opening the process and letting people have an idea what's going on,"" he said. Mr. O'Brien's and Mrs. [Jeanette Mariani]'s failure to appear signaled ""total disrespect"" and displayed the ""arrogance of this administration that people are tired of.""",Lackawanna County Democrats In Open Warfare,The Times - Tribune
8,"KRAWCZENIUK, BORYS","Mar 28, 2011",News,530,"Karen Murphy, [Moses Taylor]'s president and chief executive officer, said Scranton's three-hospital system is ""unsustainable"" and was even before President Barack Obama's health care reform plans and the proposed Medicaid cuts.",Corbett's Cuts Could Leave Tough Medical Care Choices,The Times - Tribune
9,,"Mar 22, 2012",Opinion,329,I noticed in the paper that Frackville borough wants to start up fireworks again. Let them put it in Frackville borough at Memorial Park instead of other communities like Gilberton borough.,Thunder/Enlightning,Republican & Herald
