,author,date,section,word_count,abstract,headline,source,subjects
0,"Bogus, Carl T","Nov 27, 2011",Main News; Part A; Editorial Desk,854," Josef Stalin of the Soviet Union and Mao Tse-tung of China, whose forces were killing American soldiers in Korea. [...] some on the right were ominously warning that even if the American military successfully defended the ramparts of freedom abroad, Keynesian economic theories would lead America down a slippery slope into collectivism at home.",God and man and William Buckley,Los Angeles Times,"Academic freedom, Neoconservatism, Colleges & universities, Economics, Christianity, Atheism, Conservatism, Freedom of religion"
1,Anonymous,"May 11, 2011",Main News; Part A; National Desk,246, An academic turnaround at an urban high school with a rich tradition of educating African Americans has earned graduating seniors a commencement address next week from President Obama.,Memphis school earns Obama visit,Los Angeles Times,Graduations & commencements
2,"Powers, Ashley; Abcarian, Robin; Reston, Maeve; Rojas, Rick; Mehta, Seema","Jan 10, 2011",Main News; Part A; National Desk,1892," The couple kept busy in retirement, taking a motor home to fishing holes in Oregon and Colorado and volunteering at the Mountain Avenue Church of Christ. In a corner of the church's sunlit worship area is a small, soundproof room that Dorwan built so parents could soothe their crying children and still hear the piped-in service.",TUCSON SHOOTING: THE VICTIMS; They had come to shake her hand,Los Angeles Times,"Mass murders, Shootings, Victims of crime"
3,"Bennett, Brian","Feb 25, 2011",Main News; Part A; National Desk,557," U.S. authorities launched a nationwide sweep of drug trafficking suspects, declaring the crackdown a retaliatory strike against the U.S. operations of Mexican drug cartels after the killing of an American agent in Mexico last week.",U.S. agent's slaying triggers drug raids,Los Angeles Times,"Murders & murder attempts, Cartels, Drug trafficking, National security"
4,"Jaff, Salar; Raheem Salman","Feb 6, 2011",Main News; Part A; Foreign Desk,640," Clamor for political change across the Arab world has reached Iraq, where protests over poor government services have broken out in the capital and other cities.",UNREST IN EGYPT; Iraq heeds a growing clamor for change; Prime minister says he won't seek a third term as protests over services break out.,Los Angeles Times,"Prime ministers, Demonstrations & protests -- Iraq, Social services, Wages & salaries, Iraq War-2003"
5,"Bausmith, Wes","Jun 26, 2011",Sunday Calendar; Part E; Calendar Desk,611," Steven Heller, a former art director at the New York Times, asked 80 experts in the field -- including designers, typographers and academics -- to each pick an influential example of graphic design that resonates beyond the context in which it was made and place it within the historical framework of the discipline.",BOOK REVIEW; Images worthy of embrace,Los Angeles Times,"Motion picture directors & producers, Designers, Design"
6,Anonymous,"May 19, 2011",LATExtra; Part AA; Foreign Desk,217," President Obama will use a sweeping Middle East speech at the State Department on Thursday to announce a multibillion-dollar plan for aid to countries that embrace reforms, hoping to steer a region roiling in violence toward democratic change that lasts.","Obama plans aid linked to uprisings in Mideast, Africa",Los Angeles Times,
7,"Acton, James M","Oct 12, 2011",Main News; Part A; Editorial Desk,790," Stopping this development -- and indeed all production of 20% enriched uranium -- is well worth the price of supplying Iran with a small quantity of reactor fuel (which would, of course, remain under International Atomic Energy Agency safeguards to prevent misuse). [...] the deal is verifiable.",Calling Iran's bluff,Los Angeles Times,"International relations-US -- Iran, Nuclear weapons, Uranium, Diplomacy"
8,"Hamilton, Walter","Mar 29, 2011",LATExtra; Part AA; Business Desk,405," Lauter spent eight years in the capital, covering national politics and the White House during the terms of Presidents George H.W. Bush and Bill Clinton.",Times names new editors for California and D.C.; Ashley Dunn of the National desk and California Editor David Lauter get new assignments.,Los Angeles Times,"Newspapers, Appointments & personnel changes, Media coverage, Editors"
9,"Kot, Greg","Sep 2, 2011",Calendar; Part D; Entertainment Desk,791," The piece, also a centerpiece of her latest album, ""The Light of the Sun"" (Blues Babe Records/Warner Bros.), is a humorous and pointed response to those who would reduce women to mere physical specimens to be ogled, seduced and discarded. ""The Light of the Sun"" was recorded after a tumultuous period in Scott's personal life, when she went through a divorce, gave birth to a child, broke up with the father, and switched record labels.",POP MUSIC; Rough patch helps singer get to 'Light'; Jill Scott shakes things up with a new album she describes as her renewal for music.,Los Angeles Times,Musicians & conductors
10,"Mascaro, Lisa","Apr 23, 2011",Main News; Part A; National Desk,1257," Members of the group say they do not expect their recommendations to calm the deficit debate, which got louder last week with President Obama's unveiling of his own plan and House approval of a GOP proposal that would dramatically change Medicare. Grover Norquist, an anti-tax activist and head of Americans for Tax Reform, warned in a stern letter that support of a deal that included tax policy changes ""would most likely be a violation of your Taxpayer Protection Pledge.""",Finding a middle course on the deficit,Los Angeles Times,"National debt, Government spending"
11,Anonymous,"Sep 8, 2011",Main News; Part A; Letters Desk,1232,,LETTERS; Mailing it in,Los Angeles Times,
12,Anonymous,"Jul 11, 2011",Main News; Part A; National Desk,192," Republican presidential contender Tim Pawlenty says rival and fellow Minnesotan Michele Bachmann has a ""nonexistent"" record of accomplishment during her three terms in Congress.",Pawlenty criticizes Bachmann's record,Los Angeles Times,Emissions trading
