,author,date,section,word_count,abstract,headline,source,subjects
0,"Williams, Carol J","Dec 16, 2011",Main News; Part A; Metro Desk,332," ""After inexcusable, unexplained Republican refusals to allow a vote, the Senate finally confirmed Morgan Christen"" months after her unanimous approval by the committee and the bipartisan backing of her home-state senators, said Glenn Sugameli, an attorney and judicial analyst for Defenders of Wildlife.","Jurist is confirmed, at last; After a 202-day delay, the Senate approves Morgan Christen for an appeals court seat.",Los Angeles Times,"Federal court decisions, Vacancies, Congressional committees, Judiciary"
1,"Puzzanghera, Jim; Tangel, Andrew","May 12, 2012",Main News; Part A; Business Desk,1037," ""The argument that financial institutions do not need the new rules to help them avoid the irresponsible actions that led to the crisis of 2008 is at least $2 billion harder to make today,"" said Rep. Barney Frank (D-Mass.), a lead author of the financial reform law. Dubbed by some the ""king of Wall Street,"" Dimon had a reputation burnished by the relative ease with which JPMorgan navigated the crisis compared with Citigroup Inc., Bank of America Corp., Goldman Sachs Group Inc. and other large financial institutions.",Bank's big loss renews debate; JPMorgan's $2-billion trading debacle raises new calls for greater regulatory scrutiny.,Los Angeles Times,"Banking industry, Derivatives, Investment banking, Bank stocks, Losses, Stock prices, Regulation of financial institutions"
2,"La Ganga, Maria L","Feb 26, 2012",Main News; Part A; Metro Desk,831," With his competition focused on the chilly Midwest, Newt Gingrich wooed California's Republican faithful Saturday, banking on a Republican contest so chaotic that the most populous state in the country could actually matter when voters go to the polls in June. The U.S. 9th Circuit Court of Appeals with its liberal bias and ""religious bigotry.""",CALIFORNIA; Gingrich rails against Obama at California GOP convention,Los Angeles Times,"Presidential elections, Speeches, Political campaigns"
3,"Parsons, Christi; Memoli, Michael A","Jun 30, 2012",Main News; Part A; National Desk,1005," For them, the issue provides an opportunity to intertwine two favorite attacks against the White House -- the healthcare law and new taxes -- into one argument, even if doing so leads away from their more straightforward focus on jobs and the economy. House Republicans have set a July 11 vote on repealing the healthcare law, a symbolic move since the Senate has no plans to follow suit, but one very popular with Republican voters.\n","On to the next battle; President Obama visits Colorado, not pausing to celebrate his victory in healthcare ruling.",Los Angeles Times,"Polls & surveys, Economic crisis, Health care policy, Presidential elections, Forest & brush fires, Bills"
4,,"Dec 1, 2011",Main News; Part A; Editorial Desk,429," Some congressional Republicans are, strangely, accusing the Obama administration of religious discrimination because the Department of Health and Human Services did not offer a grant to a Catholic organization to continue its work on behalf of trafficking victims, which includes providing counseling, housing, legal and medical assistance.",When faith is a barrier,Los Angeles Times,"Religion & politics, Nonprofit organizations, Abortion, Government grants, Editorials -- Religion & politics, Religious organizations, Birth control, Human trafficking"
5,,"Mar 4, 2012",Main News; Part A; Editorial Desk,453," Given North Korea's past duplicity about its commitment to a denuclearized Korean peninsula, there is no guarantee that it will abide by its latest agreement to suspend nuclear weapons testing and uranium enrichment and permit international inspectors to return to its principal nuclear complex.","'Trust but verify' on N. Korea; In return for U.S. food aid, it agrees to concessions on its nuclear program. But caution is in order.",Los Angeles Times,"International relations-US, Editorials -- North Korea, Nuclear weapons, Arms control & disarmament, Agreements"
6,,"Feb 16, 2012",Main News; Part A; Letters Desk,1178,,LETTERS; Is he a Hugo not?,Los Angeles Times,
7,"Reston, Maeve","Nov 30, 2011",Main News; Part A; National Desk,795," While he focused on a swift crackdown on illegal immigration, Perry's visit drew fresh attention to his past debate comment that only heartless Americans would begrudge in-state tuition benefits to children of illegal immigrants.",Perry gets backing of Arizona sheriff,Los Angeles Times,"Polls & surveys, Immigration policy, Political campaigns, Border patrol, Tuition, Presidential elections, Aliens"
8,"Semuels, Alana","Dec 8, 2011",Main News; Part A; National Desk,2084," Sandy was thinking of leaving her husband and moving to Utah with their two children, an anathema in a faith in which families come first and church leaders are encouraged to bring non-Mormon spouses of church members into the fold. According to a Gallup poll, nearly 20% of Republican and independent voters say they wouldn't support a Mormon for president.","Romney's Mormon faith is absent from campaign; He served as a church bishop and later presided over 12 congregations, roles he tends to keep quiet.",Los Angeles Times,"Mormonism, Presidential elections, Political campaigns, Religion & politics"
9,,"Mar 27, 2012",Business; Part B; Business Desk,219," The Supreme Court heard the first of three days of arguments on the constitutionality of President Obama's 2010 healthcare law, which will require Americans to carry health insurance or pay a penalty.",Stocks end higher on remarks by Bernanke,Los Angeles Times,Stock prices
10,"Romney, Lee","Apr 21, 2012",LATExtra; Part AA; Metro Desk,824," Fans massed at lunchtime Friday like roaches on a dirty counter, some driving for hours for a final taste of Sam Wo's signature chow fun, jook and barbecue pork rice noodle rolls.","CALIFORNIA; A day of Wo for San Francisco; Sad fans mob the Sam Wo Restaurant for a last chance to revel in its signature dishes, decaying architecture and memories of a rude waiter.",Los Angeles Times,"Business closings, Ethnic foods, Popularity, Restaurants"
11,"Mehta, Seema","Dec 15, 2011",Main News; Part A; National Desk,1005," (Both men are neutral in the race.) Paul has consistently polled in second or third place in Iowa. [...] those surveys may actually underestimate his support because they tend to be of Republican voters, whereas Paul also attracts independents and Democrats, who can caucus for him if they change their party registration. His foreign policy positions will pose problems for him in the states that follow; Florida Republicans are not likely to embrace his calls for normalizing relations with Cuba.",THE NATION; Ron Paul shows strength in Iowa; His hefty fan base and ample budget are a heady change from four years ago.,Los Angeles Times,"Election results, Candidates, Foreign policy, Nominations, Primaries & caucuses, Political advertising"
12,"Richter, Paul","Dec 20, 2011",Main News; Part A; Foreign Desk,1091, [...] the administration opted against issuing formal condolences for a leader notorious for running a brutal police state.,Kim's death stalls U.S. outreach; Washington's modest diplomatic gains may lose momentum as outsiders try to determine who holds power in North Korea.,Los Angeles Times,"Diplomatic & consular services, Nuclear weapons, International relations-US -- North Korea, Humanitarian aid, Political leadership"
13,"Mascaro, Lisa; Hennessey, Kathleen","Dec 22, 2011",Main News; Part A; National Desk,797," Because lawmakers were unable to agree on how to fund the full-year package, the Senate overwhelmingly approved the two-month compromise to provide more negotiating time.",Skeleton crew plugs away on payroll tax,Los Angeles Times,"Tax increases, Bills, Tax cuts, Unemployment insurance"
14,"Fleishman, Jeffrey; Richter, Paul","Jan 27, 2012",Main News; Part A; Foreign Desk,665, The son of a U.S. Cabinet official and other Americans working for a democracy rights group have been stopped from leaving Cairo as part of a criminal investigation of foreign funding of nongovernmental organizations operating in Egypt.,THE WORLD; Egypt bars U.S. staff of organization from leaving; Son of Transportation Secretary LaHood is among those targeted in an investigation of democracy groups.,Los Angeles Times,"Nongovernmental organizations--NGOs, Democracy, International relations-US -- Egypt, Raids, Diplomatic & consular services, Criminal investigations"
15,"Mehta, Seema; Abcarian, Robin","Dec 29, 2011",LATExtra; Part AA; National Desk,1014," Campaigning at the Iowa Speedway racetrack in Newton, Paul drew applause from a crowd of about 100 for his attacks on overseas military entanglements (""Bring our troops home""), what he deems to be a federal assault on personal liberties (""I'd like to repeal the Patriot Act"") and big banks (""They should go bankrupt, not us"").","Paul targeted by his GOP foes; With the congressman running strong in Iowa, rivals take aim at his foreign policy.",Los Angeles Times,"Presidential elections, Nominations, Negative campaigning, Primaries & caucuses"
16,"Watanabe, Teresa","Jun 12, 2012",LATExtra; Part AA; Metro Desk,774," Los Angeles County Superior Court Judge James C. Chalfant upheld contentions by a group of Los Angeles parents that the district was violating a 40-year-old state law, known as the Stull Act, which requires that teacher evaluations include measures of how well pupils are learning what the state and district expects them to know each year.",Teacher evaluation change backed; Judge says L.A. Unified should use students' achievement to judge teachers.,Los Angeles Times,"Academic achievement, Court decisions, Teacher evaluations, Collective bargaining, Teachers, Standardized tests"
17,"Harpaz, Beth J","Jun 3, 2012",Main News; Part A; News Desk,1178," [...]Americans viewed the war ""as an opportunity for us to throw off Britain once and for all,"" said Troy Bickham, author of a new book out in June called ""The Weight of Vengeance: The United States, the British Empire and the War of 1812."" [...]in Canada, the War of 1812 is seen as an attempted land grab by the U.S. The U.S. invaded Canada and at one point controlled Toronto, but the British, seeking control of the Great Lakes, won Detroit and other important ports.","Events mark War of 1812 at 200; It is a war that is still little understood, but key moments are being remembered.",Los Angeles Times,"Colonies & territories, War of 1812, National parks"
18,"Allen, Charlotte","Feb 5, 2012",Main News; Part A; Editorial Desk,1002," Besides contraception, practiced (according to polls) by more than 90% of sexually active Catholics despite the church's prohibition, the issues that divide the two groups include divorce (the church forbids it, but liberals argue that the prohibition is unrealistic in today's world), same-sex unions, the power of the papacy and admitting women to the all-male priesthood.","An affront Catholics agree on; Liberal and conservative Catholics don't agree on much, but they're both outraged by a new rule on contraception coverage.",Los Angeles Times,"Reproductive sterilization, Health care policy, Catholicism, Clergy, Birth control"
