,author,date,section,word_count,abstract,headline,source,subjects
0,"Reston, Maeve","Oct 6, 2012",Main News; Part A; National Desk,753," If Romney felt the jobs report was a political setback, he didn't let on. Since he knocked the president off stride with his debate performance Wednesday night, his campaign seemed to roar back to life after a dismal few weeks.","CAMPAIGN 2012; 'We can do better,' Romney tells voters; In Virginia, he seeks to build on his debate momentum and keep pressure on Obama's economic policies.",Los Angeles Times,"Presidential elections, Political campaigns, Economic conditions, Unemployment"
1,"Blake, Meredith","Jul 17, 2012",Calendar; Part D; Entertainment Desk,1454,,"A sketchy summer; 'SNL,' which has bolstered ratings-challenged NBC, has seen a significant loss of talent recently. But its creator has a knack for developing stars.",Los Angeles Times,"Television ratings, Popularity, Humor, Television programs -- Saturday Night Live, Comedians"
2,"Do, Anh","Sep 3, 2012",LATExtra; Part AA; Metro Desk,1049," [...]Kang holds court as the mayor of Irvine, just named by Money magazine as one of the 10 best places to live in the U.S. Four years into his term, and after four years as councilman, he has a higher goal: national office. Who they are and why they risk money and name speaks to a growing political confidence and a belief that their personal stories of assimilation resonate with voters.",CAMPAIGN 2012; Asians' clout on the rise in U.S.; Irvine mayor is among 17 candidates running for Congress. Number indicates a growing political confidence.,Los Angeles Times,"Asian Americans, Political campaigns, Candidates, Congressional elections -- California"
3,"Parsons, Christi; Memoli, Michael A","Jun 30, 2012",Main News; Part A; National Desk,1005," For them, the issue provides an opportunity to intertwine two favorite attacks against the White House -- the healthcare law and new taxes -- into one argument, even if doing so leads away from their more straightforward focus on jobs and the economy. House Republicans have set a July 11 vote on repealing the healthcare law, a symbolic move since the Senate has no plans to follow suit, but one very popular with Republican voters.\n","On to the next battle; President Obama visits Colorado, not pausing to celebrate his victory in healthcare ruling.",Los Angeles Times,"Polls & surveys, Economic crisis, Health care policy, Presidential elections, Forest & brush fires, Bills"
4,"Terhune, Chad","Aug 3, 2012",Business; Part B; Business Desk,1012," Cerner Corp., a leading supplier of electronic health records to hospitals and doctors, said ""human error"" caused the outage July 23 that it said affected an unspecified number of hospitals that rely on the Kansas City, Mo., company to remotely store their medical information.",HEALTHCARE; Risks of digital records exposed; A computer outage leaves many hospitals without access to patient data for hours.,Los Angeles Times,"Medical records, Physicians, Electronic health records, Patient safety, Back up systems, Children & youth, Colleges & universities, Hospitals"
5,"Gold, Matea; Tanfani, Joseph; Mascaro, Lisa","Jul 29, 2012",Main News; Part A; National Desk,1248," In a speech Thursday on the Senate floor calling for both sides to compromise, Sen. Charles E. Schumer (D-N.Y.), author of the now-expired federal assault weapons ban, said that the NRA's strength is that it can mobilize ""2, 3, 4 million people who care passionately about this issue ... at the drop of a hat.""",NRA's influence is more than cashn,Los Angeles Times,"Mass murders, Lobbying, Political parties, Influence, Firearm laws & regulations, Politics, Primaries & caucuses"
6,"Matthews, Mark K","Oct 5, 2012",Main News; Part A; National Desk,352," To settle the fight, lawmakers introduced a bill making clear that astronauts from the Mercury, Gemini and Apollo missions could keep mementos such as checklists, flight manuals and training gear -- with the exception that ""lunar rocks and other lunar material"" belonged to NASA.",Space crews allowed to keep relics; Obama signs a law giving early NASA astronauts ownership of small souvenirs.,Los Angeles Times,"Space exploration, Astronauts"
7,"Landsberg, Mitchell","Sep 14, 2012",Main News; Part A; National Desk,832," The back-to-basics speech was met with an enthusiastic reception by the crowd at a public park in suburban Fairfax County, across the Potomac River from Washington.","THE NATION; CAMPAIGN 2012: NEWS ANALYSIS; Romney tries to regain his footing; After an awkward foray into foreign policy, he returns his focus to the economy.",Los Angeles Times,"Presidential elections, Economic policy -- United States--US, Political campaigns"
8,"Hsu, Tiffany","Sep 13, 2012",Business; Part B; Business Desk,868," Last year, McDonald's bowed to pressure from health advocacy groups on its Happy Meals for children by adding apple slices and a fat-free or low-fat milk option and shrinking the portion of fries.",RESTAURANTS; McDonald's to post calorie counts nationwide; Fast-food chain yields to consumer demand and acts ahead of pending federal rules.,Los Angeles Times,"Descriptive labeling, Nutrition, Fast food industry, Recessions, Restaurants"
9,"Finnegan, Michael","Oct 28, 2012",Main News; Part A; National Desk,1330," [...]President Obama has tied three things together to build a potential firewall in Ohio for his reelection: the auto industry's recovery, the loss of U.S. jobs to China and Mitt Romney's record at Bain Capital.","Economic culture clash in Ohio; Obama tries to sour blue-collar voters on his rival, but Romney has ways to fight back.",Los Angeles Times,"Political campaigns, Presidential elections, Negative campaigning, Political advertising"
