,headline,metadata,pubdate,source,summary,url
0,Menu suggestions for Obama and Romney's lunch,"[{u'isPermalink': u'true', u'value': u'http://storify.com/USATODAY/what-s-for-lunch-at-the-white-house'}]",2012-11-28 01:40:30,USA Today,Twitter users serve up some suggestions for President Obama and Mitt Romney's lunch tomorrow.,http://storify.com/USATODAY/what-s-for-lunch-at-the-white-house
1,Horrific N.C. crash puts spotlight on dram shop laws,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/2012/11/24/dram-shop-laws/1660707/?kjnd=3W1J1x5gM4lLV4gJt0xbecOc27ESwCnfkEONGH36XRWwigTUnpdvVUNPpQqZAfEG-2bc14787-f250-4d6f-b4a2-a59188f73057_ivRwECitUDpXKTzB%2Bun4qR7BM15FpF5%2BvRb988%2Fi1eWK0SCkpGLQzCRjhCufyH5R'}]",2012-11-24 10:52:40,USA Today,"$1.7 million verdict in North Carolina drunken driving crash puts spotlight on ""dram shop"" laws, which vary across USA.",http://apidata.usatoday.com/story/news/2012/11/24/dram-shop-laws/1660707/?kjnd=doTgzKVzgs1VIZrK1UJCzCDjhNexkDphcxqJQKZMFMT8wfNtaVk0T%2BkfUhR%2Fj6fG-2bc14787-f250-4d6f-b4a2-a59188f73057_4IgEFP0Oou3l9JyrnHJu2Y6on7Eg5N9tXfAiUCfvOX5%2BUimRiYW5eDLdmrfM0MDf
2,Self-funding candidates fall short in Congress,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/politics/2012/11/20/self-funders-mcmahon-senate/1714225/?kjnd=l59fvCja2ls0Z9hmErbKRuPLK79SV3fVU969BRuyCB4j0Um7mCzIOyheKhpNVi7e-2bc14787-f250-4d6f-b4a2-a59188f73057_u8EkdeCbcMydYSqvezUSzktXs8OTXXLlhsNaNIBhs8Kq9dl0AZa%2F21ylaLrpq500'}]",2012-11-20 05:58:23,USA Today,Self-funding candidates prove again and again that money is not enough to win an election.,http://apidata.usatoday.com/story/news/politics/2012/11/20/self-funders-mcmahon-senate/1714225/?kjnd=lmd3xs%2FWZhKtizZSVs5474bUxFP4MgA6ynmY3zRdWE%2BiLa%2BHWktHF%2FYGeFFPexIC-2bc14787-f250-4d6f-b4a2-a59188f73057_iRc5mVp2dOSU13THOhKciikHTBrQIiIehoZdZwKZZb6EwDHadxb44cZnK6fwHg6D
3,Iowa governor: Straw poll 'outlived usefulness',"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/21/branstad-iowa-straw-poll/1719037/?kjnd=jTNoApwAitQwsm0dBeDmsnsoDIViBo8tBQkvG%2BxdYJwZ6xEJ1tg78w6YbsG2RiYl-2bc14787-f250-4d6f-b4a2-a59188f73057_xjkTFK%2F62hWfY6C6zcdGBgUc34tx%2FiQzBnDYeW%2B9%2FapTrMP8bJpBaJCyG2sIvMWM'}]",2012-11-21 10:10:05,USA Today,The Iowa Straw Poll is a GOP presidential ritual and fundraiser that goes back to 1979.,http://apidata.usatoday.com/story/onpolitics/2012/11/21/branstad-iowa-straw-poll/1719037/?kjnd=uZsusg76SQteSH%2BJGMsb%2BXcMzt6W1nkM6KAnWz2sp%2BPDDEMBGO6SaAWa3teqpfcN-2bc14787-f250-4d6f-b4a2-a59188f73057_2qMG39vLzMcc0OwGMIhkdXNIHAf4sHGaeFx1iXbc8Qk2xs%2Fu8Ke5wEVZXp8Ll9U0
4,"Split-ticket voting popular in Montana, N.D.","[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/21/split-ticket-election-tester-heitkamp/1719377/?kjnd=qfOmNDkKBYb7CjzvqvJwIf0Tc1iR155RYa%2BqwfZ1LERLSgePfFWXrNGbH%2FSNw66D-2bc14787-f250-4d6f-b4a2-a59188f73057_ITSy%2FlkO%2BHgyLatpEdp8C%2BN%2BgYKcoaWiyxY4e0R8BQqZeq1jqxToGvERjoKCDUV5'}]",2012-11-21 11:40:25,USA Today,"Montana and North Dakota voters backed Mitt Romney for president, but a Democrat for the U.S. Senate.",http://apidata.usatoday.com/story/onpolitics/2012/11/21/split-ticket-election-tester-heitkamp/1719377/?kjnd=zLwZwRIlG9zqENdkFMwnI7tKGkl2jYyAErWw4zLS78dPG55BA%2FARdpCBY4%2BoLRpe-2bc14787-f250-4d6f-b4a2-a59188f73057_GChL8wYXQQa9Mg1EAN6XlSF0st7F%2BlHJySapJM%2B3mt8Qx1QM%2B%2BvHXdmRZ7ASTExH
5,Rep. Jesse Jackson Jr. resigns from Congress,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/nation/2012/11/21/jesse-jackson-jr-resign-congress/1719963/?kjnd=mOh7Ahu96Fmqwj7N1y30c4F7ZZcCltdbfUugoTH19nEimuQgiV54vaeR2A8TGmaY-2bc14787-f250-4d6f-b4a2-a59188f73057_7RoLegLiLg3bF8vUWJjHFGbu762Ak07aVGsFRZ0ejmnHtUvghoFoYmybgxu52wx7'}]",2012-11-21 01:47:11,USA Today,Democrat Jesse Jackson Jr. resigned from Congress amid separate investigations of wrongdoing.,http://apidata.usatoday.com/story/news/nation/2012/11/21/jesse-jackson-jr-resign-congress/1719963/?kjnd=yA7ktHX6OXLfeomGzsZIARPPhSypb5%2FnzV0%2Ba%2FgRagD%2Byb%2FgmKvtzPahIvcd%2FNEc-2bc14787-f250-4d6f-b4a2-a59188f73057_UNGeTuKDQmiAXzlzgiKnrWiNWQU3D8j4zl2PqA236KxyZ%2B4U1LMlrEmWg2V%2B7TOT
6,Romney supporters form immigration super PAC,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/19/republicans-immigration-gutierrez-romney-super-pac/1715369/?kjnd=3FMbL4kMSdOVTZoibR%2BY5uNZa82AKmFcxMpZtupl2GfGXmWdY4tX2IZT4z9aXXC0-2bc14787-f250-4d6f-b4a2-a59188f73057_waLN2lL7PAMZt7%2BwN2B2wpRXPuygzq9zSy2Sjc9I9MHPgSHvgEx6A74N1hjaWTnY'}]",2012-11-19 03:21:24,USA Today,"Carlos Gutierrez, a former Commerce secretary, says the new GOP group's goal is to pass an immigration bill.",http://apidata.usatoday.com/story/onpolitics/2012/11/19/republicans-immigration-gutierrez-romney-super-pac/1715369/?kjnd=C9MQSPa8LccyIH1diS%2FCZrToFOQo6gkswJgSiAj%2FQJv6jOGtZUp%2B%2FCnBmxCK%2BbVe-2bc14787-f250-4d6f-b4a2-a59188f73057_g9TtHBJKTTf3Ufr0N0I0hiQkLWdAQWUWJ3M%2FDioFnIsZnUUivmyTAWMynKV6K7lc
7,GOP candidate asks for recount in North Carolina,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/20/rouzer-mcintyre-recount-election-north-carolina/1717329/?kjnd=la8XDqRC%2FVtKQS6CDg4EsCxdBDhx0ffgJtelrKjXr%2Fe6njw77Smi1WYC5l2gaDJQ-2bc14787-f250-4d6f-b4a2-a59188f73057_JA4Oc4o5hW0nOh%2FuQc3yS8lOyDvyHBoQknCn3sUagFGJkkZyjgru5K5UQNOFzkVB'}]",2012-11-20 01:49:22,USA Today,"State Sen. David Rouzer, R-N.C., says ""accidental human error"" could change the outcome in his race for Congress.",http://apidata.usatoday.com/story/onpolitics/2012/11/20/rouzer-mcintyre-recount-election-north-carolina/1717329/?kjnd=hxj8O4JMJHOn4XRLljMcE2hgJf5utBAhw093NB%2F0%2Ffc5MKgeWIWmhM6%2F2bQPD8Eo-2bc14787-f250-4d6f-b4a2-a59188f73057_ZCIOUP3%2BQYl0BwQG38nm8MudMUVMYKRN%2BFgppm4AB8zU%2BqJ9BcdsMzOE93Q38u77
8,Rand Paul 'interested' in 2016 presidential race,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/onpolitics/2012/11/20/rand-paul-president-2016/1717601/?kjnd=WsbaaT7BawI%2FHtzLdvpWKisMlKvBmrerGxyGZzudlfXKFv54we%2BuDP36Ux0FZDs8-2bc14787-f250-4d6f-b4a2-a59188f73057_djtBS9UePYUfPUOVyDuQwY%2FJoZRbbGjUEipGPxlxhJUF%2BcnvujanPawGjuzzLspW'}]",2012-11-20 02:47:52,USA Today,"The Kentucky senator, a Tea party favorite, has watched his dad run for the White House three times.",http://apidata.usatoday.com/story/onpolitics/2012/11/20/rand-paul-president-2016/1717601/?kjnd=BDwdQeFVZncXowwUZOw2l4EYihw2aF9jnIvHqsmUhjXK3BB3YEHLN5hRXTCkWwJL-2bc14787-f250-4d6f-b4a2-a59188f73057_XAxTw5QYgklBZAu7RMx4rkzt%2B7xFX50Ks5WhR1uA%2Fc7MqdVwAweea9TKokMhPe7L
9,"Candidate wins coin flip, but council seat up in air","[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/nation/2012/11/20/every-vote-counts/1717649/?kjnd=2RKdKw5gDct%2Bt2UGn8D4ikcBz%2BjfpgqplvczJWYnWwhiYWjqpb9u2jrFePVW%2Fw7M-2bc14787-f250-4d6f-b4a2-a59188f73057_DCfXgcnLLQY2FILr0R7fFhecrCET47oVYgFyHA3Kb8Fukj4O9PMMNE%2Bw4oLrMTVM'}]",2012-11-20 05:47:43,USA Today,A candidate whose wife couldn't vote on Election Day lost a tie-breaker but still might serve on his city's council.,http://apidata.usatoday.com/story/news/nation/2012/11/20/every-vote-counts/1717649/?kjnd=a3g7VZ0ot3IaVmRN16zn0b2xkI2rvt2pz3cpG9ykz6NpLvHaLtxHORw0Kf4skwYa-2bc14787-f250-4d6f-b4a2-a59188f73057_tA4T4gHrCn8hPlIaCD6XHIDN89Y%2BpjrX8GV%2BUk4JVcfk0Hpq%2B1ONv2k7X0bVeW%2BX
10,Menu suggestions for Obama and Romney's lunch,"[{u'isPermalink': u'true', u'value': u'http://storify.com/USATODAY/what-s-for-lunch-at-the-white-house'}]",2012-11-28 01:40:30,USA Today,Twitter users serve up some suggestions for President Obama and Mitt Romney's lunch tomorrow.,http://storify.com/USATODAY/what-s-for-lunch-at-the-white-house
11,Horrific N.C. crash puts spotlight on dram shop laws,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/2012/11/24/dram-shop-laws/1660707/?kjnd=WeoOs8XvvltF3KeZa6sVVecxOArBEe%2BorsT5DfZDsfelD0Oa5%2BlwHn1KezfTkVku-67e88923-59cf-4d08-9d1c-9e1efa822df2_odCUTB5ZPx3DpICY1kRR7A7LWTDXzFfzoh4SuI5pIJ9tMi93qCEUoTL9Fl71dpzB'}]",2012-11-24 10:52:40,USA Today,"$1.7 million verdict in North Carolina drunken driving crash puts spotlight on ""dram shop"" laws, which vary across USA.",http://apidata.usatoday.com/story/news/2012/11/24/dram-shop-laws/1660707/?kjnd=drcyiF1GeqmAieklQw19qeF5s42hyrtbGgX90UHT7XPZRSknRxzUYW24vFOnN2Bq-67e88923-59cf-4d08-9d1c-9e1efa822df2_eiGLz3%2B5OzOb4fJ9HU78hLazmPQ3Nk546dDEjwKOWpAOpcSlsGsA981SEPKIHY6k
12,Self-funding candidates fall short in Congress,"[{u'isPermalink': u'true', u'value': u'http://apidata.usatoday.com/story/news/politics/2012/11/20/self-funders-mcmahon-senate/1714225/?kjnd=r8LaKkwi98LDsEgaL74vCapFu%2Fov2rCj%2FpYcjNfh74L4jId1lVIvnKEtu3n9ChBz-67e88923-59cf-4d08-9d1c-9e1efa822df2_RDfaOry4res48q8FVswS10HRrlv74irPNCorZ%2FMB21O68MY0IlHsiCBVUd4h7yJ4'}]",2012-11-20 05:58:23,USA Today,Self-funding candidates prove again and again that money is not enough to win an election.,http://apidata.usatoday.com/story/news/politics/2012/11/20/self-funders-mcmahon-senate/1714225/?kjnd=wPcS50dODR0B6SQ%2BJXP1C2wDTmH%2BP4pE3Ptihu5Yam1fBo%2FSRdunGSNw5GKhqmif-67e88923-59cf-4d08-9d1c-9e1efa822df2_AjlW9vQfHLphYgx1KhjEJAhOY1CE%2Fcl4fDRt2wqKJX4UM%2F1N1as8iZnpjEFccO2S
