,author,date,word_count,abstract,headline,source
0,Maura Webber Sadovi,"May 4, 2011",605," [...] the timing of the offer by David Nassif Associates may not turn out to be as good as it looks. [...] the Washington market has outperformed those in most other cities, thanks to strong demand from government agencies and contractors.",Deal of the Week: D.C. Outlook Downsized,The Wall Street Journal
1,"Davis, Bob","May 28, 2011",850," While he is widely respected among central bankers and finance ministers, his current position as Israel's central bank governor would make it tough to win the support of Arab nations and other emerging-market countries, said one Arab official who has worked with Mr. Fischer.",World News: Dark Horse Explores IMF Bid,The Wall Street Journal
2,Anonymous,"Mar 14, 2011",390," [...] Gen. ""Hoss"" Cartwright is a Marine fighter pilot who flew F-4s and F/A-18s and was named carrier aviator of the year by the Association of Naval Aviators.","Fortunately, We Have a Few Good Men Ready for the Top",The Wall Street Journal
3,Anonymous,"May 28, 2011",186," Ninety of the people unaccounted for after Sunday's devastating twister have been located and are alive, as the city of 50,000 began rebuilding its school system and taking other tentative steps toward recovery.",World-Wide,The Wall Street Journal
4,"Dalrymple, Theodore","Apr 16, 2011",1176," [...] at any rate, has been my experience of the British health care system -- its famed, or infamous, National Health Service. [...] I could not but smile a little wanly when President Barack Obama said this week that he hoped an increase in the use of generic drugs, together with an expert commission to examine the cost-effectiveness of medical treatments, would make a significant impact on the vast budget deficit of the United States.","REVIEW --- New Efficiencies in Health Care? Not Likely --- If the British experience is any indication, generic drugs and expert commissions will do little to lower costs",The Wall Street Journal
5,Anonymous,"Feb 7, 2011",144, The U.S. Treasury reports on the federal budget deficit for January and weekly numbers on initial claims for jobless benefits are due. ---,What's Ahead -- People &amp; Events to Watch in the Coming Week,The Wall Street Journal
6,"Portman, Rob","Aug 4, 2011",802," [...] for many years the House of Representatives did not even take a stand-alone vote to raise the debt limit, but rather employed the so-called Gephardt Rule to ""deem"" the necessary increase every time they passed a budget expanding the debt. Entitlement programs like Social Security, Medicare and Medicaid must also be modernized and reformed to aid 77 million retiring baby boomers and yet ensure solvency for future generations.",Make the Dollar-for-Dollar Rule Permanent,The Wall Street Journal
7,Anonymous,"Feb 23, 2011",608," ""Congress had a rational basis for its conclusion that the aggregate of individual decisions not to purchase health insurance substantially affects the national health insurance market,"" Judge Kessler wrote.",U.S. News: U.S. Watch,The Wall Street Journal
8,"Page, Jeremy","Feb 18, 2011",282," BEIJING-- A Chinese court on Friday rejected an appeal by American geologist,Xue Feng, against his eight-year jail sentence for spying, despite public calls by President Barack Obama and other U.S. officials to free him.",World News: China Rejects American's Spy Appeal,The Wall Street Journal
9,"Bustillo, Miguel; Maher, Kris","Jun 16, 2011",475," The Web-based group, started last fall with seed money from the United Food and Commercial Workers Union, is the latest salvo in the long and so far fruitless efforts by U.S. labor unions to organize the 1.4 million U.S. workers at the world's largest retail chain.",Corporate News: Wal-Mart Is Facing Latest Salvo From Union,The Wall Street Journal
10,"Lee, Carol E; Weisman, Jonathan","Apr 28, 2011",758, Democratic officials said the White House wouldn't have released the president's long-form birth certificate if Mr. Obama's job-approval ratings were strong and his personal favorability ratings were high enough to counter negative innuendos.,U.S. News: Obama Seeks to Quell 'Birther' Talk,The Wall Street Journal
11,"Barnett, Randy E; Elizabeth Price Foley","Feb 2, 2011",1042," Because these reforms make health insurance more expensive, the government's lawyers claim that unless everyone is forced to buy health insurance, too many healthy people will sit on the market sidelines as ""free riders"" until they become ill.",The Nuts and Bolts of the ObamaCare Ruling,The Wall Street Journal
