,author,date,section,word_count,abstract,headline,source
0,"Hendrix, Steve","Nov 4, 2012",METRO,1177,"Brach's large local following, which includes lawyers, media personalities and many who work in and around government, is accustomed to the quadrennial uncertainty of a presidential election. At the Sine Irish Pub & Restaurant, a Defense Department hangout at Pentagon Row, manager Marybeth Brown said the threat of massive cuts has dampened not just spirits but business.",Capital strains,Washington Post
1,"Balz, Dan; Markon, Jerry; Kane, Paul","Nov 1, 2012",A-SECTION,1321,"In Pennsylvania, pollsters and political strategists not affiliated with either presidential campaign suggested that the race was close but that Obama had a clear lead.",GOP sees new hope in 3 states,Washington Post
2,"Gerson, Michael","Nov 2, 2012",EDITORIAL-OPINION,759,A presidential campaign consumed by the jabs and parries of the 24-hour news cycle was less focused on larger matters such as the economy.,A negative campaign foretold,Washington Post
3,"Donovan, Carrie","Nov 1, 2012",LOCAL LIVING,1056,"National Symphony Orchestra Christoph Eschenbach conducts Beethoven's little-performed ""Missa Solemnis"" with the Choral Arts Society of Washington, along with soprano Erin Wall, mezzo-soprano Iris Vermillion, tenor Richard Croft and bass Kwangchul Youn. ""The Government Inspector"" Shakespeare Theatre Company Artistic Director Michael Kahn directs Nikolai Gogol's farce about a group of corrupt Russian officials who mistake a visitor for an undercover investigator.","Going Out Guide for the District of Columbia, Nov. 1-7",Washington Post
4,"Cohen, Richard","Nov 6, 2012",EDITORIAL-OPINION,781,"For some reason, Akin's fellow Republicans demanded he quit the race, but he steadfastly refused. To spend $100 million for your own proclaimed greatness ought to be in the Diagnostic and Statistical Manual as a mental disease.",Campaign lessons for the kids,Washington Post
5,"Kamenetz, Anya","Nov 4, 2012",OUTLOOK,1631,"[...]in the showdown in Congress this Juneover a scheduled doubling of the student loan interest rate, Democrats kept the rate at 3.4 percentfor another year, saving 7.5 million borrowers about $1,000, but they gave up the traditional six-month grace period between graduation and the start of repayment.",Are young voters still excited about Obama?,Washington Post
6,,"Nov 4, 2012",A-SECTION,202,"On Tuesday, millions of Americans will go to the poll to declare their choices for president, 34 U.S. senators, the entire House of Representatives and thousands of states and local candidates.",Decision time,Washington Post
7,"Moyer, Justin","Nov 4, 2012",OUTLOOK,239,"""A lot of people don't realize the difference between someone who is psychic and an astrologer,"" Eugenia Last, a syndicated columnist who calls herself ""the astrological Ann Landers,"" wrote in an e-mail declining our request.",It just wasn't in the stars,Washington Post
8,,"Nov 2, 2012",WEEKEND,3043,"Pianist Mayron Tsong plays Brahms's Piano Concerto No. 1 with the Symphony Orchestra. Clarice Smith Performing Arts Center, Dekelboum Concert Hall, University of Maryland, Route 193 and Stadium Drive, College Park. 301-405-2787. www.claricesmithcenter.umd.edu. $10-$25. Clarice Smith Performing Arts Center, Gildenhorn Recital Hall, University of Maryland, Route 193 and Stadium Drive, College Park. 301-405-2787. www.claricesmithcenter.umd.edu.",Concerts,Washington Post
9,"Helderman, Rosalind S","Nov 3, 2012",A-SECTION,819,"In this state, considered by both sides to be the place likely to determine the outcome of the presidential election, it is impossible to get away from President Obama and Mitt Romney. A surprising number, say voters, are survey takers asking for their opinions as part of a poll, as the rest of the country joins the candidates in demanding to know what Ohio thinks.",Ohioans ready for their star turn to end,Washington Post
10,"Hendrix, Steve","Nov 4, 2012",METRO,1177,"Brach's large local following, which includes lawyers, media personalities and many who work in and around government, is accustomed to the quadrennial uncertainty of a presidential election. At the Sine Irish Pub & Restaurant, a Defense Department hangout at Pentagon Row, manager Marybeth Brown said the threat of massive cuts has dampened not just spirits but business.",Capital strains,Washington Post
11,"O'Keefe, Ed","Nov 2, 2012",A-SECTION,1108,"The sum is the most ever by a rank-and-file House member, but Democrat Patrick Murphy, a 29-year-old who helps run his family's construction company, is using his $3 million campaign war chest to remind voters of West's attacks on the Obama administration and House Democrats. Grayson, during debate over the health-care reform bill about a year before his defeat, took to the House floor and suggested that ""If you get sick, America, the Republican health-care plan is this:",Florida candidates proudly defend their partisanship,Washington Post
12,"Blake, Aaron","Nov 2, 2012",A-SECTION,402,"Even if elections officials in hard-hit areas can create accessible and well-staffed polling places, getting beleaguered storm sufferers to vote is a whole other problem.",Dodging a pitfall in Pa.,Washington Post
13,"Balz, Dan","Nov 6, 2012",A-SECTION,995,"In a recent interview with editors of the Des Moines Register, an interview that initially was off the record, he expressed confidence that, as a newly reelected president, he could produce the grand bargain with congressional Republicans on a plan to deal with the federal deficit that he could not reach in the summer of 2011. [...]he acknowledged, it would be messy.",What would Obama's Act II look like?,Washington Post
14,"Toles, Tom","Nov 4, 2012",,,A Tom Toles editorial cartoon satirizes 2012 Republican presidential candidate Mitt Romney's grandiose claims of accomplishment as governor and promises during debates that he will repeat those achievements as president.,Editorial cartoon,Washington Post
