,abstract,author,date,headline,section,source,word_count,id,candidate,rating
5," Regarding Senator Brown's stance on the Buffett rule (""Foes set to pounce on Brown 'no' vote,"" Page A1, April 17), and John Sununu's anti-Buffett rule screed (""Obama's cynical tax campaign,"" Op-ed, April 16): What if professional athletes got Congress to rewrite the tax code so that earnings from playing sports were taxed at 15 percent, even though the earnings of ordinary workers are taxed at up to two and a half times that rate?",,4/23/2012,Buffett rule simply a matter of fairness,EditorialOpinion,Boston Globe,160,5,Obama,1
7," [...]small donors are often the volunteer foot soldiers of a campaign's ground operation, making phone calls on behalf of the candidate, posting lawn signs, and driving voters to the polls on Election Day.","Rezendes, Michael",6/7/2012,Obama winning battle for small donors,Metro,Boston Globe,1225,7,Obama,1
9," No, the change of venue won't affect the substance of the discussion on the global economy, and the summit of the leaders of eight leading economies is a natural event for Camp David, the exclusive and highly secure presidential retreat in Maryland that Obama hasn't much used.",Anonymous,3/27/2012,Running from the Occupiers,Editorial,Boston Globe,227,9,Obama,1
13," In 1977, the United States launched Voyager 2, an unmanned spacecraft carrying a 12-inch copper phonograph record containing greetings in dozens of languages, samples of music and sounds of nature. In 2010, President Barack Obama invited Israel and the Palestinians to meet face-to-face in Washington for talks aimed at achieving a historic agreement to establish an independent Palestinian state and secure peace for Israel. 20history.ART",Anonymous,8/20/2011,This day in history,Living Arts,Boston Globe,450,13,Obama,1
19," Against the fantasy that US troops would be summarily brought before the court, Congress passed the American Servicemembers Protection Act. [...] under the Obama administration, American attitudes have moved from outright hostility to selective cooperation.","Carroll, James",3/26/2012,Much to gain for US in world court,Opinion,Boston Globe,710,19,Obama,1
33," In 1995, a ribbon-cutting ceremony was held for the Rock and Roll Hall of Fame and Museum in Cleveland. In 2010, President Barack Obama convened a new round of ambitious Mideast peace talks at the White House as he hosted Israeli Prime Minister Benjamin Netanyahu and Palestinian President Mahmoud Abbas in the first face-to-face negotiations in nearly two years. 01history.ART",Anonymous,9/1/2011,36pt. MGC hed centered 2 linesggg DEAR MARGO,Living Arts,Boston Globe,427,33,Obama,1
34," First lady Michelle Obama, meanwhile, ventured into Edgartown yesterday to have lunch at The Atlantic Fish & Chop House.","Shanahan, Mark; Goldstein, Meredith",8/23/2011,The talk of the Vineyard,Living Arts,Boston Globe,349,34,Obama,1
6194," [...] Romney is not one to lose his cool -- a trait one might hope for in a president. Because Perry had made this accusation before, Romney was prepared for it and probably figured a bet was a safe, well, bet.",,12/15/2011,"$10,000!!!",News,Chicago Tribune,766,6194,Romney,1
1207," Romney spokeswoman Andrea Saul shot back: ""This is simply a case of Speaker Gingrich lashing out at Governor Romney in a desperate attempt to save his floundering campaign.""","Ryan, Andrew; Levenson, Michael",1/10/2012,`Mass. moderate' insult has local Republicans wincing,Metro,Boston Globe,799,1207,Romney,1
429," [...] of two stories on Mitt Romney and the state health care overhaul. [...] there is no significant constituency here for repeal. [...] while health care costs continue to grow at alarming rates, as they have nationally, the consensus of industry leaders and health care economists is that this trend cannot be fairly traced to the makeover but rather to cost pressures baked into the existing health care payment system.","Mooney, Brian C",6/26/2011,`RomneyCare' - a revolution that basically worked,Metro,Boston Globe,4737,429,Romney,1
